k1,k2,teicher2015,tuominen2022,joint
25,18,0.308693,0.226412,0.280527
25,19,0.241067,0.184146,0.219491
25,20,0.282654,0.247866,0.269314
25,21,0.301575,0.310063,0.306752
25,22,0.38837,0.144709,0.28188
25,23,0.123373,0.269084,0.17619
25,24,0.14547,0.20183,0.164239
26,0,0.350212,0.268706,0.329646
26,1,0.477611,0.523202,0.500728
26,2,0.279278,0.306979,0.29293
26,3,0.169818,0.241442,0.202403
26,4,0.289303,0.351961,0.3139
26,5,0.332838,0.245416,0.305687
26,6,0.261965,0.272708,0.274519
26,7,0.383202,0.0883412,0.282042
26,8,0.224441,0.107714,0.188189
26,9,0.154662,0.21037,0.16962
26,10,0.197488,0.0701313,0.160552
26,11,0.290235,0.432498,0.361197
26,12,0.298371,0.512579,0.387067
26,13,0.287717,0.373548,0.32979
26,14,0.275621,0.323248,0.27455
26,15,0.415029,0.274723,0.358349
26,16,0.153033,0.891433,0.316255
26,17,0.266952,0.858327,0.345869
26,18,0.351224,0.360244,0.343263
26,19,0.176802,0.187473,0.183462
26,20,0.143238,0.162994,0.163104
26,21,0.1136,0.176108,0.14948
26,22,0.211953,-0.0466701,0.109731
26,23,0.153512,0.40944,0.233847
26,24,0.1339,0.344315,0.190839
26,25,0.830072,0.842718,0.833227
27,0,0.408995,0.303586,0.365709
27,1,0.41207,0.338716,0.380619
27,2,0.335075,0.273653,0.312397
27,3,0.339469,0.306685,0.325914
27,4,0.33784,0.177297,0.270467
27,5,0.300962,0.257127,0.285125
27,6,0.316349,0.117686,0.233944
27,7,0.355267,0.245252,0.319412
27,8,0.16786,0.150472,0.161981
27,9,0.122517,0.0524739,0.0978065
27,10,0.184868,0.0318141,0.124949
27,11,0.295208,0.402186,0.344605
27,12,0.204428,0.0305353,0.12028
27,13,0.351517,-0.128951,0.112064
27,14,0.273387,0.191861,0.239121
27,15,0.456879,0.106619,0.30764
27,16,0.332523,0.142526,0.233368
27,17,0.145156,0.00272545,0.0846477
27,18,0.28431,0.132903,0.236611
27,19,0.222836,0.226261,0.224032
27,20,0.247639,0.203571,0.22735
27,21,0.256621,0.236548,0.24653
27,22,0.430599,0.15921,0.312044
27,23,0.144881,0.143145,0.144427
27,24,0.259274,0.00922801,0.166967
27,25,0.627986,0.565194,0.606277
27,26,0.702161,0.683301,0.694063
28,0,0.218048,0.208358,0.216034
28,1,0.333427,0.400325,0.355916
28,2,0.252228,0.171131,0.223539
28,3,0.243035,0.33883,0.282393
28,4,0.31683,0.177297,0.260107
28,5,0.233108,0.165571,0.209415
28,6,0.167301,0.0886809,0.137401
28,7,0.409338,0.164136,0.328661
28,8,0.127446,0.0448404,0.0992453
28,9,0.134007,0.0962437,0.120152
28,10,0.0613412,0.0318141,0.0530837
28,11,0.192938,0.339153,0.264763
28,12,0.219635,-0.00932429,0.111806
28,13,0.290611,-0.200587,0.056509
28,14,0.155453,0.114991,0.133983
28,15,0.387998,-0.0935092,0.192203
28,16,0.118651,0.150432,0.138466
28,17,-0.0769585,0.00977983,-0.0383186
28,18,0.209812,0.0114605,0.146992
28,19,0.0199589,-0.0134965,0.00797717
28,20,0.113047,0.109569,0.11443
28,21,0.123531,0.0264162,0.0823953
28,22,0.258046,0.0393786,0.169332
28,23,0.136433,0.143145,0.139589
28,24,0.228358,0.0860996,0.176565
28,25,0.595391,0.486435,0.558141
28,26,0.691211,0.547417,0.644995
28,27,0.620268,0.616021,0.618772
29,0,0.32065,0.281028,0.304016
29,1,0.346981,0.28139,0.320845
29,2,0.360825,0.36494,0.362283
29,3,0.273562,0.256574,0.26685
29,4,0.364519,0.187459,0.295513
29,5,0.298964,0.327728,0.309808
29,6,0.169569,0.299301,0.223474
29,7,0.393467,0.392985,0.391114
29,8,0.128196,0.187459,0.149313
29,9,0.197796,0.238184,0.211793
29,10,0.12844,0.233328,0.169992
29,11,0.318945,0.289381,0.301881
29,12,0.340572,0.350879,0.343113
29,13,0.309912,0.261267,0.285464
29,14,0.258376,0.283587,0.265809
29,15,0.309705,0.10261,0.23369
29,16,0.303922,0.340782,0.318194
29,17,0.283151,0.60301,0.414293
29,18,0.270407,0.249392,0.261806
29,19,0.1117,0.285592,0.183777
29,20,0.117435,0.260646,0.180298
29,21,0.212476,0.359127,0.27929
29,22,0.194344,0.250246,0.217124
29,23,0.259977,0.151811,0.220502
29,24,0.310297,0.16628,0.259724
29,25,0.599291,0.576939,0.591417
29,26,0.566857,0.496469,0.543131
29,27,0.311454,0.355215,0.327288
29,28,0.458733,0.355215,0.42206
30,0,0.474428,0.146642,0.350468
30,1,0.520903,0.0845218,0.355775
30,2,0.378497,0.321066,0.357925
30,3,0.322862,0.131868,0.249015
30,4,0.420134,0.249091,0.353562
30,5,0.290924,0.22065,0.264293
30,6,0.247722,0.270851,0.266259
