k1,k2,stat,lb,ub,pval
49,35,0.003361,-0.003824,0.009051,0.63175
49,36,0.005257,-0.0047,0.009207,0.78825
49,37,0.009527,-0.002649,0.014353,0.79525
49,38,0.012521,-0.002615,0.016311,0.90325
49,39,0.01389,-0.001662,0.017037,0.89875
49,40,0.008804,-0.002779,0.014878,0.73125
49,41,-0.008463,-0.003026,0.005941,0.0
49,42,-0.016843,-0.004647,0.008214,0.0
49,43,-0.00931,-0.002994,0.007137,0.0
49,44,-0.003075,-0.003384,0.005225,0.02975
49,45,-0.001757,-0.003441,0.007512,0.07125
49,46,-0.003097,-0.002909,0.005506,0.01825
49,47,0.025359,-0.003952,0.015213,1.0
49,48,0.025052,-0.003948,0.015662,0.99975
50,0,0.002215,-0.000301,0.012787,0.098
50,1,0.003471,0.000747,0.012834,0.17925
50,2,-0.005487,0.000614,0.013293,0.0
50,3,0.003988,-0.001864,0.010739,0.48825
50,4,-0.002996,-0.002788,0.004892,0.0175
50,5,-0.010469,-0.000501,0.012972,0.0
50,6,-0.004722,-0.000802,0.011903,0.0015
50,7,-0.002908,-0.002152,0.005011,0.00375
50,8,-0.010227,-0.00322,0.009373,0.0
50,9,-0.010604,-0.004132,0.009637,0.0
50,10,-0.004616,-0.003063,0.011497,0.011
50,11,0.001187,-0.00226,0.006743,0.355
50,12,-0.000452,-0.002281,0.005353,0.15125
50,13,-0.001694,-0.001977,0.003944,0.03675
50,14,-0.016735,-0.002996,0.012522,0.0
50,15,-0.002441,-0.002041,0.004358,0.0165
50,16,-0.002098,-0.002323,0.00438,0.032
50,17,-0.000791,-0.001963,0.002978,0.13625
50,18,-0.007367,-0.003934,0.006853,0.0005
50,19,-0.003445,-0.002868,0.004667,0.00625
50,20,-0.003201,-0.001815,0.010417,0.009
50,21,-0.004045,-0.002273,0.006951,0.00275
50,22,-0.004464,-0.002224,0.004641,0.0005
50,23,-0.005756,-0.002474,0.00873,0.00025
50,24,-0.000885,-0.002113,0.004166,0.1065
50,25,-0.00722,-0.002264,0.010027,0.0
50,26,-0.009248,-0.002841,0.00901,0.0
50,27,-0.009017,-0.003487,0.010716,0.00025
