	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,272]	0.7	0.0027	0.24	0.31	0.71	1.1	8061.0	2.2	1.0
theta[1,273]	-0.87	0.0048	0.41	-1.6	-0.84	-0.24	7268.0	2.0	1.0
theta[1,274]	0.28	0.0032	0.27	-0.18	0.29	0.72	7153.0	2.0	1.0
theta[1,275]	-0.11	0.0032	0.3	-0.61	-0.096	0.35	8403.0	2.3	1.0
theta[1,276]	1.3	0.0027	0.24	0.89	1.3	1.7	7823.0	2.2	1.0
theta[1,277]	0.18	0.003	0.27	-0.28	0.19	0.61	8217.0	2.3	1.0
theta[1,278]	-0.15	0.0035	0.31	-0.67	-0.14	0.34	7664.0	2.1	1.0
theta[1,279]	-0.77	0.0046	0.41	-1.5	-0.75	-0.13	8106.0	2.2	1.0
theta[1,280]	-0.58	0.004	0.37	-1.2	-0.55	-0.005	8374.0	2.3	1.0
theta[1,281]	-0.97	0.0049	0.43	-1.7	-0.95	-0.31	7655.0	2.1	1.0
theta[1,282]	1.8	0.0024	0.21	1.4	1.8	2.1	7368.0	2.0	1.0
theta[1,283]	-0.66	0.0042	0.39	-1.3	-0.63	-0.072	8835.0	2.4	1.0
theta[1,284]	-1.9	0.0072	0.63	-3.0	-1.9	-0.94	7741.0	2.1	1.0
theta[1,285]	-1.2	0.0056	0.47	-2.0	-1.2	-0.47	7212.0	2.0	1.0
theta[1,286]	-0.2	0.0039	0.33	-0.76	-0.18	0.32	7220.0	2.0	1.0
theta[1,287]	-0.078	0.0032	0.29	-0.6	-0.065	0.4	8314.0	2.3	1.0
theta[1,288]	-1.9	0.0066	0.6	-2.9	-1.9	-1.0	8169.0	2.3	1.0
theta[1,289]	1.2	0.0025	0.22	0.88	1.2	1.6	7856.0	2.2	1.0
theta[1,290]	1.4	0.0026	0.22	1.1	1.5	1.8	7498.0	2.1	1.0
theta[1,291]	-0.15	0.0033	0.31	-0.67	-0.13	0.34	8712.0	2.4	1.0
theta[1,292]	-0.92	0.005	0.43	-1.7	-0.9	-0.25	7574.0	2.1	1.0
theta[1,293]	-0.83	0.0047	0.41	-1.5	-0.81	-0.21	7670.0	2.1	1.0
theta[1,294]	0.26	0.0029	0.26	-0.17	0.27	0.68	8262.0	2.3	1.0
theta[1,295]	2.9	0.0031	0.27	2.5	2.9	3.4	7646.0	2.1	1.0
theta[1,296]	0.9	0.0027	0.23	0.51	0.91	1.3	7290.0	2.0	1.0
theta[1,297]	-1.6	0.0064	0.54	-2.6	-1.6	-0.76	7125.0	2.0	1.0
theta[1,298]	0.58	0.0026	0.24	0.17	0.59	0.98	9132.0	2.5	1.0
theta[1,299]	0.58	0.0029	0.25	0.16	0.59	0.97	7331.0	2.0	1.0
theta[1,300]	-0.27	0.0035	0.33	-0.84	-0.26	0.25	8578.0	2.4	1.0
theta[1,301]	-0.61	0.0043	0.37	-1.3	-0.59	-0.029	7592.0	2.1	1.0
theta[1,302]	1.8	0.0023	0.22	1.4	1.8	2.1	8708.0	2.4	1.0
theta[1,303]	-0.52	0.0041	0.37	-1.2	-0.51	0.058	8036.0	2.2	1.0
theta[1,304]	-1.4	0.0062	0.53	-2.3	-1.4	-0.58	7254.0	2.0	1.0
theta[1,305]	-0.59	0.0045	0.38	-1.3	-0.56	0.0041	7235.0	2.0	1.0
theta[1,306]	-1.3	0.0059	0.49	-2.1	-1.2	-0.53	7027.0	1.9	1.0
theta[1,307]	-1.4	0.0057	0.51	-2.3	-1.4	-0.59	8082.0	2.2	1.0
theta[1,308]	-0.23	0.0036	0.31	-0.77	-0.21	0.26	7640.0	2.1	1.0
theta[1,309]	-1.2	0.0058	0.48	-2.1	-1.2	-0.5	7028.0	1.9	1.0
theta[1,310]	1.3	0.0025	0.23	0.96	1.3	1.7	8055.0	2.2	1.0
theta[1,311]	-0.53	0.004	0.36	-1.1	-0.51	0.031	8099.0	2.2	1.0
theta[1,312]	-1.6	0.0065	0.56	-2.6	-1.6	-0.75	7318.0	2.0	1.0
theta[1,313]	1.5	0.0026	0.22	1.2	1.5	1.9	7219.0	2.0	1.0
theta[1,314]	-0.46	0.0039	0.34	-1.0	-0.44	0.072	7455.0	2.1	1.0
theta[1,315]	-1.2	0.006	0.49	-2.1	-1.2	-0.45	6539.0	1.8	1.0
theta[1,316]	-0.75	0.0045	0.41	-1.5	-0.73	-0.11	8412.0	2.3	1.0
theta[1,317]	-1.9	0.0073	0.64	-3.0	-1.9	-0.95	7673.0	2.1	1.0
theta[1,318]	-1.3	0.0047	0.48	-2.1	-1.3	-0.56	10501.0	2.9	1.0
theta[1,319]	0.56	0.0027	0.25	0.16	0.56	0.96	8255.0	2.3	1.0
theta[1,320]	-1.2	0.0057	0.48	-2.0	-1.1	-0.44	6903.0	1.9	1.0
theta[1,321]	-0.95	0.005	0.44	-1.7	-0.92	-0.28	7569.0	2.1	1.0
theta[1,322]	-0.091	0.0034	0.3	-0.6	-0.078	0.39	7761.0	2.1	1.0
theta[1,323]	-0.29	0.004	0.34	-0.88	-0.27	0.24	7240.0	2.0	1.0
theta[1,324]	-1.1	0.0056	0.46	-1.8	-1.0	-0.37	6695.0	1.9	1.0
theta[1,325]	1.1	0.0026	0.23	0.7	1.1	1.5	7816.0	2.2	1.0
theta[1,326]	1.9	0.0025	0.21	1.6	1.9	2.3	7365.0	2.0	1.0
theta[1,327]	0.47	0.003	0.25	0.062	0.47	0.87	6838.0	1.9	1.0
theta[1,328]	0.83	0.0025	0.24	0.43	0.83	1.2	9159.0	2.5	1.0
theta[1,329]	0.93	0.0026	0.23	0.56	0.94	1.3	7717.0	2.1	1.0
theta[1,330]	-0.19	0.0042	0.38	-0.84	-0.17	0.41	8064.0	2.2	1.0
theta[1,331]	-0.53	0.0043	0.36	-1.1	-0.51	0.018	6919.0	1.9	1.0
theta[1,332]	1.3	0.0025	0.22	0.94	1.3	1.7	7960.0	2.2	1.0
theta[1,333]	-1.9	0.0065	0.6	-2.9	-1.9	-0.97	8546.0	2.4	1.0
theta[1,334]	1.1	0.0025	0.24	0.75	1.2	1.5	8985.0	2.5	1.0
theta[1,335]	-0.23	0.0038	0.32	-0.78	-0.21	0.27	6961.0	1.9	1.0
theta[1,336]	-0.14	0.0035	0.31	-0.68	-0.12	0.35	7955.0	2.2	1.0
