k1,k2,mu,lb,ub,pval
39,34,0.017645,-0.009266,0.043055,0.7375
39,35,-0.015544,-0.053127,0.017262,0.3125
39,36,0.012768,-0.026166,0.046272,0.65625
39,37,0.035484,0.016498,0.053414,0.9005
39,38,0.055086,0.039225,0.073804,0.97525
40,0,-0.023904,-0.05684,0.013234,0.24
40,1,0.025626,-0.006205,0.056908,0.78825
40,2,-0.057743,-0.086343,-0.031178,0.03875
40,3,-0.014154,-0.03465,0.006397,0.33775
40,4,-0.005949,-0.022424,0.009556,0.4125
40,5,-0.115575,-0.14094,-0.093135,0.00075
40,6,-0.062458,-0.089765,-0.035941,0.0305
40,7,0.045969,0.02864,0.063049,0.9415
40,8,-0.023307,-0.060202,0.011898,0.22425
40,9,0.012708,-0.01398,0.038266,0.6565
40,10,0.019662,-0.005772,0.045591,0.73225
40,11,0.027804,0.007728,0.04689,0.8185
40,12,-0.018854,-0.037253,-0.00031,0.275
40,13,-0.009525,-0.027243,0.00791,0.382
40,14,-0.094726,-0.125405,-0.04728,0.0075
40,15,-0.009211,-0.034445,0.017767,0.38
40,16,0.025348,-0.000285,0.053634,0.7685
40,17,-0.001389,-0.023981,0.026668,0.46675
40,18,-0.034693,-0.052926,-0.015421,0.1295
40,19,-0.002563,-0.02293,0.017152,0.463
40,20,-0.031743,-0.071316,0.008106,0.193
40,21,-0.008048,-0.045649,0.029098,0.40175
40,22,0.046548,0.017194,0.074451,0.921
40,23,-0.063416,-0.084326,-0.0418,0.0215
40,24,0.00508,-0.013142,0.024923,0.56575
40,25,2e-05,-0.021831,0.023269,0.498
40,26,-0.028065,-0.059268,0.001898,0.1605
40,27,-0.008822,-0.031182,0.011457,0.36425
40,28,0.050901,0.030908,0.072869,0.97225
40,29,0.001184,-0.016041,0.019645,0.51925
40,30,-0.00588,-0.024174,0.013458,0.4185
40,31,0.015825,-0.001467,0.035057,0.70675
40,32,-0.02337,-0.055673,0.010225,0.23625
40,33,-0.033456,-0.068858,0.003459,0.15425
40,34,0.029754,0.001271,0.059359,0.8205
40,35,0.015793,-0.022236,0.05616,0.67675
40,36,0.003174,-0.036286,0.04363,0.544
40,37,0.120703,0.099544,0.142214,0.99975
40,38,0.1729,0.155641,0.189497,1.0
40,39,0.152678,0.135401,0.169672,1.0
41,0,0.008022,-0.031811,0.045242,0.59875
41,1,-0.013519,-0.046257,0.019365,0.32975
41,2,0.013683,-0.0208,0.048449,0.66775
41,3,-0.033651,-0.070959,-0.001914,0.17
41,4,-0.022609,-0.0582,0.013446,0.27975
41,5,-0.004278,-0.035449,0.027067,0.45625
41,6,0.004059,-0.034319,0.037478,0.55525
41,7,0.014129,-0.023553,0.056045,0.63375
41,8,0.000743,-0.040248,0.040201,0.50475
41,9,0.013537,-0.018864,0.048936,0.6685
41,10,0.007881,-0.026867,0.040914,0.592
41,11,0.007286,-0.035664,0.049159,0.572
41,12,0.008161,-0.037479,0.049889,0.58925
41,13,-0.000547,-0.0434,0.043432,0.502
41,14,-0.013617,-0.054602,0.026718,0.35
41,15,-0.024229,-0.068303,0.014064,0.2865
41,16,-0.01535,-0.060014,0.035823,0.3585
41,17,-0.033615,-0.084453,0.014112,0.24075
41,18,-0.019156,-0.052663,0.01217,0.28325
41,19,-0.033421,-0.064934,0.000402,0.18325
41,20,-0.008994,-0.053862,0.038933,0.38925
41,21,0.051662,-0.000576,0.100428,0.89525
41,22,-0.028011,-0.069775,0.010661,0.238
41,23,-0.025336,-0.059142,0.012372,0.2405
41,24,0.036319,-0.004241,0.073239,0.822
41,25,0.047065,0.018714,0.076111,0.956
41,26,-0.018791,-0.053917,0.018048,0.25425
41,27,-0.021945,-0.052545,0.007561,0.21975
41,28,-0.004539,-0.034007,0.02554,0.44325
41,29,0.03042,-0.000369,0.061727,0.825
41,30,0.042858,0.005462,0.078696,0.87875
41,31,-0.026629,-0.059915,0.004713,0.21325
41,32,-0.003574,-0.040373,0.03261,0.459
41,33,0.001885,-0.039346,0.047493,0.526
41,34,0.02501,-0.020796,0.072579,0.74
41,35,-0.017796,-0.063897,0.027261,0.32275
41,36,0.010023,-0.038129,0.052801,0.61475
41,37,-0.029705,-0.067605,0.005021,0.2055
41,38,-0.046436,-0.079208,-0.016071,0.069
41,39,-0.00872,-0.03913,0.020261,0.38325
41,40,-0.007534,-0.0412,0.024047,0.4075
42,0,0.024287,-0.018012,0.064253,0.76875
42,1,-0.004327,-0.039556,0.031118,0.44625
42,2,-0.004477,-0.043435,0.034777,0.4585
42,3,0.021569,-0.016404,0.059909,0.72575
42,4,0.01302,-0.033027,0.056195,0.633
42,5,0.023539,-0.011034,0.061886,0.7555
42,6,0.019274,-0.023273,0.059963,0.7015
42,7,-0.018908,-0.058649,0.021027,0.3275
42,8,-0.034368,-0.075836,0.007861,0.1385
42,9,-0.045279,-0.082117,-0.010875,0.08475
42,10,0.067625,0.031065,0.106585,0.9785
42,11,0.000304,-0.042907,0.044091,0.5055
42,12,0.041445,-0.003478,0.086723,0.8435
42,13,0.01745,-0.024782,0.064332,0.66125
42,14,-0.04141,-0.086602,0.002539,0.13475
42,15,0.008434,-0.03712,0.055877,0.58375
42,16,-0.002545,-0.052189,0.047378,0.4855
42,17,0.018533,-0.037314,0.070031,0.6675
42,18,-0.017242,-0.053561,0.022614,0.31425
42,19,0.003342,-0.036521,0.042634,0.52925
42,20,0.008057,-0.039574,0.054686,0.58325
42,21,0.003846,-0.043026,0.057052,0.53825
42,22,-0.006136,-0.049511,0.038641,0.448
42,23,-0.017042,-0.056751,0.022993,0.32225
42,24,-0.033839,-0.072231,0.010584,0.20025
42,25,-0.015794,-0.050897,0.016079,0.301
42,26,-0.016648,-0.058457,0.020829,0.28325
42,27,-0.013036,-0.046943,0.021583,0.33325
42,28,-0.023119,-0.054615,0.010541,0.2155
42,29,-0.013091,-0.048824,0.020736,0.3505
42,30,-0.013701,-0.052151,0.026763,0.343
42,31,-0.016227,-0.054039,0.019227,0.3115
42,32,-0.016672,-0.059167,0.019523,0.30075
42,33,0.007242,-0.032796,0.049817,0.5765
42,34,0.011063,-0.032666,0.057154,0.626
42,35,-0.004171,-0.051557,0.044172,0.46775
42,36,-0.013786,-0.061646,0.031388,0.37225
42,37,-0.043451,-0.089155,0.005561,0.12475
42,38,0.004079,-0.035048,0.044033,0.55725
42,39,-0.001211,-0.032111,0.033867,0.47625
42,40,-0.000274,-0.038339,0.037141,0.5005
42,41,0.094234,0.006028,0.191371,0.91375
43,0,-0.032045,-0.069046,0.007178,0.17225
43,1,-0.0128,-0.043509,0.020396,0.32175
43,2,-0.038116,-0.073362,0.001256,0.12125
43,3,-0.013467,-0.054711,0.023892,0.3715
43,4,0.004293,-0.038904,0.046134,0.54
43,5,0.015318,-0.018645,0.047501,0.684
43,6,-0.004369,-0.045412,0.035332,0.45475
43,7,-0.041528,-0.09047,0.007361,0.193
43,8,-0.026467,-0.061854,0.01126,0.18
43,9,-0.005817,-0.042466,0.029283,0.437
43,10,0.036628,0.000234,0.071921,0.8645
43,11,0.074494,0.022653,0.122756,0.94825
43,12,-0.01633,-0.06314,0.028528,0.346
43,13,-3.4e-05,-0.042709,0.043937,0.509
43,14,-0.025166,-0.068717,0.0187,0.25425
43,15,-0.082642,-0.135363,-0.030821,0.04475
43,16,0.064744,-0.002858,0.124514,0.88525
43,17,0.02077,-0.044454,0.084774,0.6585
43,18,0.010486,-0.029897,0.047902,0.605
43,19,-0.004943,-0.048457,0.039912,0.46375
43,20,0.02242,-0.028008,0.070187,0.70275
43,21,0.031972,-0.026234,0.087999,0.75825
43,22,-0.019098,-0.071272,0.031213,0.34625
43,23,-0.008445,-0.049566,0.032096,0.4225
43,24,0.013608,-0.036462,0.065486,0.61975
43,25,-0.014101,-0.043885,0.016407,0.30525
43,26,-0.013142,-0.047605,0.021575,0.3195
43,27,-0.010527,-0.042463,0.021694,0.36225
43,28,-0.02228,-0.054487,0.008565,0.2245
43,29,0.017153,-0.01844,0.048867,0.68925
43,30,0.015353,-0.024433,0.056794,0.64975
43,31,-0.006474,-0.044586,0.03065,0.42975
43,32,0.00934,-0.027249,0.046577,0.60875
43,33,-0.012136,-0.055945,0.028963,0.3635
43,34,-0.002002,-0.050945,0.04902,0.488
43,35,-0.002602,-0.050294,0.048991,0.4735
43,36,0.004252,-0.044705,0.054447,0.55025
43,37,0.008293,-0.029611,0.046683,0.58925
43,38,0.006989,-0.026672,0.039639,0.58975
43,39,-0.048821,-0.077961,-0.015472,0.04675
43,40,-0.013799,-0.048381,0.023284,0.3535
43,41,0.084362,0.013316,0.157064,0.942
43,42,0.124593,0.06582,0.186893,0.9975
44,0,0.028409,-0.004815,0.063313,0.82225
44,1,-0.013869,-0.039995,0.012754,0.29825
44,2,0.014845,-0.013519,0.04554,0.67675
44,3,-0.015524,-0.045795,0.017645,0.3295
44,4,0.055341,0.015475,0.090644,0.90625
44,5,0.022714,-0.001955,0.048891,0.76425
44,6,0.04052,0.009236,0.074615,0.87875
44,7,0.052404,0.007948,0.09503,0.87125
44,8,0.004469,-0.026885,0.039548,0.56025
44,9,-0.025953,-0.057242,0.008952,0.201
44,10,0.022135,-0.010831,0.054224,0.75875
44,11,-0.026212,-0.064313,0.013815,0.27575
44,12,0.026633,-0.009651,0.063602,0.74575
44,13,0.014608,-0.023796,0.055319,0.65525
44,14,-0.01253,-0.047636,0.02674,0.38275
44,15,0.007965,-0.033308,0.053459,0.585
44,16,0.017613,-0.036494,0.070958,0.65325
44,17,-0.026975,-0.08104,0.027712,0.31175
44,18,-0.002098,-0.031825,0.029054,0.48425
44,19,0.037314,0.00091,0.073425,0.822
