name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[10,317]	-0.479	0.0127	0.792	-1.87	-0.43	0.725	3858.0	1.13	1.0
theta[11,317]	-0.282	0.0134	0.941	-1.92	-0.259	1.25	4931.0	1.45	1.0
theta[1,318]	0.119	0.0069	0.3	-0.375	0.124	0.606	1884.0	0.554	1.0
theta[2,318]	1.19	0.00875	0.519	0.334	1.19	2.04	3519.0	1.03	1.0
theta[3,318]	-0.528	0.0128	0.762	-1.85	-0.49	0.682	3542.0	1.04	1.0
theta[4,318]	0.387	0.014	0.818	-1.04	0.433	1.67	3430.0	1.01	1.0
theta[5,318]	0.366	0.00869	0.547	-0.529	0.353	1.28	3962.0	1.16	1.0
theta[6,318]	0.588	0.014	0.743	-0.583	0.569	1.84	2828.0	0.831	1.0
theta[7,318]	-0.514	0.011	0.721	-1.81	-0.463	0.585	4271.0	1.26	1.0
theta[8,318]	-0.387	0.00886	0.5	-1.17	-0.408	0.46	3188.0	0.937	1.0
theta[9,318]	-0.307	0.0138	0.805	-1.73	-0.233	0.893	3406.0	1.0	1.0
theta[10,318]	-0.352	0.0128	0.833	-1.79	-0.303	0.938	4214.0	1.24	1.0
theta[11,318]	-0.194	0.0143	0.929	-1.78	-0.17	1.35	4248.0	1.25	0.999
theta[1,319]	1.09	0.00651	0.283	0.627	1.1	1.56	1891.0	0.556	1.0
theta[2,319]	-0.362	0.0113	0.632	-1.49	-0.323	0.616	3112.0	0.915	1.0
theta[3,319]	0.69	0.013	0.804	-0.543	0.637	2.08	3845.0	1.13	1.0
theta[4,319]	-0.082	0.0118	0.713	-1.3	-0.039	1.02	3627.0	1.07	1.0
theta[5,319]	-1.41	0.00887	0.561	-2.37	-1.37	-0.528	3997.0	1.18	1.0
theta[6,319]	0.596	0.0138	0.873	-0.758	0.565	2.06	3972.0	1.17	1.0
theta[7,319]	0.0166	0.00865	0.508	-0.851	0.0444	0.812	3453.0	1.02	1.0
theta[8,319]	0.253	0.0112	0.708	-0.852	0.214	1.47	3978.0	1.17	1.0
theta[9,319]	1.12	0.00724	0.413	0.46	1.11	1.8	3253.0	0.956	1.0
theta[10,319]	-0.785	0.0107	0.694	-2.02	-0.753	0.302	4192.0	1.23	1.0
theta[11,319]	-0.387	0.013	0.844	-1.79	-0.397	0.995	4221.0	1.24	0.999
theta[1,320]	-0.833	0.00887	0.456	-1.63	-0.802	-0.129	2637.0	0.775	1.0
theta[2,320]	-0.051	0.0143	0.903	-1.6	-0.00439	1.35	4007.0	1.18	1.0
theta[3,320]	-0.562	0.0143	0.877	-2.05	-0.551	0.822	3750.0	1.1	1.0
theta[4,320]	-0.0531	0.0137	0.964	-1.68	-0.0262	1.46	4957.0	1.46	0.999
theta[5,320]	-0.765	0.0108	0.655	-1.96	-0.707	0.205	3701.0	1.09	1.0
theta[6,320]	-0.585	0.0138	0.853	-2.04	-0.553	0.77	3804.0	1.12	1.0
theta[7,320]	-0.492	0.0139	0.865	-1.98	-0.461	0.839	3870.0	1.14	1.0
theta[8,320]	1.52	0.0124	0.723	0.369	1.49	2.79	3414.0	1.0	1.0
theta[9,320]	-0.222	0.0135	0.889	-1.76	-0.182	1.14	4342.0	1.28	1.0
theta[10,320]	-0.0214	0.0138	0.878	-1.54	0.0235	1.37	4074.0	1.2	1.0
theta[11,320]	-0.0124	0.0143	0.969	-1.64	0.013	1.55	4602.0	1.35	1.0
theta[1,321]	1.5	0.00682	0.314	0.996	1.5	2.02	2118.0	0.623	1.0
theta[2,321]	1.04	0.0117	0.615	0.111	1.0	2.11	2769.0	0.814	0.999
theta[3,321]	-0.616	0.0214	0.781	-1.9	-0.638	0.712	1335.0	0.393	1.0
theta[4,321]	1.21	0.0118	0.74	0.00433	1.2	2.42	3954.0	1.16	1.0
theta[5,321]	1.24	0.012	0.754	0.0786	1.22	2.53	3916.0	1.15	1.0
theta[6,321]	0.0719	0.0135	0.881	-1.33	0.0433	1.6	4268.0	1.25	1.0
theta[7,321]	-1.13	0.0105	0.666	-2.3	-1.07	-0.108	4026.0	1.18	1.0
theta[8,321]	0.602	0.0124	0.832	-0.666	0.559	1.99	4523.0	1.33	1.0
theta[9,321]	-0.768	0.0114	0.698	-2.03	-0.714	0.28	3766.0	1.11	1.0
theta[10,321]	0.588	0.00985	0.572	-0.341	0.574	1.54	3376.0	0.993	1.0
theta[11,321]	0.138	0.0164	0.834	-1.26	0.147	1.46	2593.0	0.762	1.0
theta[1,322]	0.287	0.00613	0.3	-0.2	0.284	0.778	2401.0	0.706	1.0
theta[2,322]	-0.634	0.0134	0.816	-2.07	-0.589	0.624	3735.0	1.1	1.0
theta[3,322]	1.07	0.0117	0.739	-0.115	1.06	2.29	3995.0	1.17	1.0
theta[4,322]	-0.269	0.0137	0.879	-1.78	-0.232	1.12	4137.0	1.22	1.0
theta[5,322]	-0.108	0.0079	0.519	-0.939	-0.124	0.775	4314.0	1.27	1.0
theta[6,322]	0.737	0.0125	0.788	-0.509	0.704	2.1	3956.0	1.16	0.999
theta[7,322]	-0.635	0.012	0.727	-1.92	-0.567	0.439	3643.0	1.07	0.999
theta[8,322]	0.201	0.01	0.606	-0.741	0.164	1.25	3663.0	1.08	1.0
theta[9,322]	-0.388	0.0129	0.791	-1.83	-0.329	0.788	3774.0	1.11	0.999
theta[10,322]	-0.00274	0.0131	0.733	-1.29	0.0485	1.12	3135.0	0.922	1.0
theta[11,322]	-0.21	0.0136	0.922	-1.73	-0.191	1.28	4567.0	1.34	1.0
theta[1,323]	-0.807	0.00829	0.436	-1.56	-0.788	-0.113	2767.0	0.813	1.0
theta[2,323]	-0.21	0.0141	0.902	-1.76	-0.189	1.23	4091.0	1.2	1.0
theta[3,323]	0.339	0.0254	0.831	-1.1	0.376	1.66	1068.0	0.314	1.0
theta[4,323]	-0.0819	0.0149	0.949	-1.68	-0.0699	1.47	4050.0	1.19	1.0
theta[5,323]	-0.929	0.0108	0.7	-2.14	-0.877	0.154	4200.0	1.23	1.0
theta[6,323]	-0.417	0.0129	0.798	-1.75	-0.39	0.847	3828.0	1.13	1.0
theta[7,323]	1.25	0.00807	0.493	0.427	1.26	2.06	3727.0	1.1	1.0
theta[8,323]	-0.312	0.009	0.52	-1.17	-0.317	0.547	3333.0	0.98	1.0
theta[9,323]	-0.245	0.0135	0.873	-1.79	-0.232	1.12	4164.0	1.22	1.0
theta[10,323]	-0.0431	0.0137	0.898	-1.6	0.00427	1.36	4321.0	1.27	1.0
theta[11,323]	0.0401	0.0141	0.97	-1.61	0.0624	1.62	4708.0	1.38	1.0
theta[1,324]	-1.88	0.0107	0.618	-2.95	-1.83	-0.938	3362.0	0.988	1.0
theta[2,324]	-0.121	0.0159	0.958	-1.73	-0.0909	1.42	3652.0	1.07	1.0
theta[3,324]	-0.138	0.0139	0.937	-1.7	-0.104	1.35	4527.0	1.33	1.0
theta[4,324]	-0.0866	0.0154	0.989	-1.72	-0.0741	1.55	4122.0	1.21	1.0
theta[5,324]	-0.617	0.0123	0.733	-1.89	-0.556	0.498	3554.0	1.04	1.0
theta[6,324]	-0.0969	0.0142	0.922	-1.69	-0.0718	1.37	4203.0	1.24	1.0
theta[7,324]	-0.0381	0.0142	0.893	-1.56	-0.00338	1.39	3949.0	1.16	1.0
theta[8,324]	-0.73	0.0125	0.733	-2.02	-0.683	0.374	3428.0	1.01	1.0
theta[9,324]	-0.0538	0.0153	0.927	-1.63	-0.0249	1.39	3660.0	1.08	1.0
theta[10,324]	-0.0227	0.0142	0.947	-1.59	-0.00961	1.5	4465.0	1.31	1.0
theta[11,324]	0.0402	0.0142	0.993	-1.59	0.0145	1.66	4873.0	1.43	1.0
theta[1,325]	-0.023	0.00697	0.326	-0.575	-0.0145	0.476	2181.0	0.641	1.0
theta[2,325]	-0.338	0.0137	0.814	-1.75	-0.3	0.919	3532.0	1.04	1.0
theta[3,325]	1.34	0.0133	0.754	0.11	1.31	2.65	3236.0	0.951	1.0
theta[4,325]	-0.185	0.0139	0.896	-1.68	-0.165	1.27	4125.0	1.21	1.0
theta[5,325]	0.451	0.00977	0.554	-0.434	0.444	1.36	3215.0	0.945	1.0
theta[6,325]	-0.185	0.0146	0.685	-1.31	-0.184	0.955	2196.0	0.646	1.0
theta[7,325]	-0.608	0.0136	0.771	-1.99	-0.55	0.554	3232.0	0.95	1.0
theta[8,325]	0.382	0.0102	0.613	-0.538	0.344	1.44	3625.0	1.07	1.0
theta[9,325]	-0.372	0.0142	0.824	-1.81	-0.312	0.875	3367.0	0.99	1.0
theta[10,325]	-0.297	0.0124	0.829	-1.77	-0.237	0.98	4472.0	1.31	1.0
theta[11,325]	-0.178	0.0145	0.937	-1.72	-0.172	1.34	4156.0	1.22	1.0
theta[1,326]	-0.527	0.00795	0.385	-1.17	-0.52	0.0864	2341.0	0.688	1.0
theta[2,326]	-0.296	0.0157	0.894	-1.81	-0.26	1.12	3235.0	0.951	1.0
theta[3,326]	0.169	0.0268	0.831	-1.27	0.209	1.48	965.0	0.284	1.0
theta[4,326]	-0.0699	0.0145	0.943	-1.66	-0.058	1.43	4250.0	1.25	1.0
theta[5,326]	-1.03	0.011	0.664	-2.2	-0.983	-0.0309	3664.0	1.08	1.0
theta[6,326]	1.2	0.0122	0.735	0.0197	1.19	2.45	3631.0	1.07	1.0
theta[7,326]	0.837	0.0099	0.528	-0.0852	0.865	1.65	2839.0	0.835	1.0
theta[8,326]	0.105	0.0094	0.518	-0.715	0.0909	0.968	3029.0	0.89	1.0
theta[9,326]	-0.241	0.0131	0.84	-1.68	-0.2	1.07	4105.0	1.21	0.999
theta[10,326]	-0.146	0.0133	0.887	-1.68	-0.097	1.22	4457.0	1.31	1.0
theta[11,326]	0.114	0.0151	0.973	-1.48	0.114	1.71	4133.0	1.21	1.0
theta[1,327]	0.951	0.00576	0.288	0.483	0.95	1.42	2490.0	0.732	1.0
theta[2,327]	-0.101	0.0102	0.599	-1.11	-0.0768	0.842	3421.0	1.01	0.999
theta[3,327]	0.436	0.0134	0.769	-0.778	0.414	1.76	3300.0	0.97	1.0
theta[4,327]	-0.605	0.0122	0.8	-1.96	-0.587	0.657	4314.0	1.27	1.0
theta[5,327]	1.16	0.0107	0.665	0.147	1.12	2.33	3858.0	1.13	1.0
theta[6,327]	0.223	0.0137	0.818	-1.06	0.189	1.61	3542.0	1.04	1.0
theta[7,327]	0.758	0.00725	0.473	-0.0248	0.76	1.53	4253.0	1.25	1.0
theta[8,327]	0.753	0.0115	0.762	-0.447	0.732	2.05	4377.0	1.29	1.0
theta[9,327]	-0.628	0.0127	0.76	-1.97	-0.574	0.5	3598.0	1.06	1.0
theta[10,327]	-0.687	0.0123	0.717	-1.92	-0.626	0.404	3421.0	1.01	1.0
theta[11,327]	-0.504	0.0178	0.919	-2.02	-0.501	0.967	2669.0	0.785	1.0
theta[1,328]	-1.86	0.0111	0.629	-2.95	-1.83	-0.879	3237.0	0.952	1.0
theta[2,328]	-0.13	0.0154	0.969	-1.75	-0.14	1.44	3957.0	1.16	1.0
theta[3,328]	-0.138	0.0147	0.927	-1.69	-0.139	1.39	3954.0	1.16	1.0
theta[4,328]	-0.0796	0.0148	0.989	-1.71	-0.0775	1.54	4457.0	1.31	1.0
theta[5,328]	-0.654	0.0127	0.746	-1.99	-0.608	0.478	3443.0	1.01	1.0
theta[6,328]	-0.0704	0.0146	0.903	-1.58	-0.0636	1.39	3803.0	1.12	1.0
theta[7,328]	-0.0201	0.0137	0.877	-1.53	0.0334	1.37	4089.0	1.2	0.999
theta[8,328]	-0.75	0.0124	0.743	-2.03	-0.707	0.386	3608.0	1.06	1.0
theta[9,328]	-0.0577	0.014	0.922	-1.64	-0.0225	1.37	4348.0	1.28	0.999
theta[10,328]	-0.0838	0.0148	1.0	-1.79	-0.0628	1.55	4605.0	1.35	0.999
theta[11,328]	0.0291	0.0149	0.986	-1.62	0.0468	1.64	4369.0	1.28	1.0
theta[1,329]	1.57	0.00625	0.304	1.06	1.57	2.07	2362.0	0.694	1.0
theta[2,329]	-0.67	0.0113	0.647	-1.79	-0.622	0.318	3291.0	0.967	1.0
theta[3,329]	-0.241	0.0278	0.797	-1.52	-0.258	1.13	822.0	0.242	1.0
theta[4,329]	-0.259	0.0118	0.705	-1.45	-0.236	0.897	3581.0	1.05	1.0
theta[5,329]	0.308	0.0107	0.625	-0.686	0.278	1.36	3387.0	0.996	1.0
theta[6,329]	0.145	0.0132	0.891	-1.24	0.115	1.67	4577.0	1.35	1.0
theta[7,329]	-0.86	0.0103	0.608	-1.98	-0.811	0.061	3490.0	1.03	1.0
theta[8,329]	0.305	0.0121	0.768	-0.893	0.278	1.6	4015.0	1.18	0.999
theta[9,329]	-0.558	0.012	0.659	-1.75	-0.493	0.4	3038.0	0.893	1.0
theta[10,329]	-0.507	0.0113	0.596	-1.52	-0.483	0.439	2807.0	0.825	1.0
theta[11,329]	-0.719	0.0159	0.883	-2.13	-0.727	0.737	3067.0	0.902	1.0
theta[1,330]	0.595	0.00645	0.287	0.121	0.595	1.06	1979.0	0.582	1.0
theta[2,330]	0.983	0.00898	0.503	0.172	0.973	1.82	3144.0	0.924	1.0
theta[3,330]	0.447	0.0151	0.747	-0.749	0.433	1.67	2444.0	0.719	1.0
theta[4,330]	0.339	0.0139	0.736	-0.952	0.383	1.49	2796.0	0.822	0.999
theta[5,330]	-0.44	0.00879	0.526	-1.32	-0.438	0.431	3575.0	1.05	1.0
theta[6,330]	0.305	0.0141	0.767	-0.854	0.269	1.6	2947.0	0.866	1.0
theta[7,330]	1.39	0.00804	0.491	0.615	1.37	2.24	3719.0	1.09	1.0
theta[8,330]	0.227	0.0101	0.654	-0.787	0.182	1.39	4213.0	1.24	1.0
theta[9,330]	0.741	0.00735	0.438	-0.0281	0.766	1.4	3547.0	1.04	1.0
theta[10,330]	-0.479	0.0116	0.743	-1.79	-0.448	0.654	4103.0	1.21	1.0
theta[11,330]	-0.213	0.0142	0.897	-1.72	-0.192	1.25	4020.0	1.18	1.0
theta[1,331]	0.221	0.00606	0.301	-0.291	0.23	0.704	2459.0	0.723	1.0
theta[2,331]	-0.389	0.0141	0.793	-1.77	-0.333	0.821	3183.0	0.936	1.0
theta[3,331]	0.328	0.0264	0.777	-0.976	0.345	1.57	864.0	0.254	1.0
theta[4,331]	-0.318	0.0136	0.865	-1.8	-0.295	1.09	4046.0	1.19	1.0
theta[5,331]	0.576	0.00983	0.573	-0.344	0.571	1.53	3398.0	0.999	1.0
theta[6,331]	-0.156	0.0147	0.681	-1.27	-0.161	0.977	2159.0	0.635	1.0
theta[7,331]	-0.503	0.0124	0.716	-1.8	-0.453	0.57	3336.0	0.981	1.0
theta[8,331]	-1.55	0.00973	0.6	-2.61	-1.5	-0.636	3802.0	1.12	1.0
theta[9,331]	-0.354	0.0138	0.802	-1.74	-0.291	0.821	3397.0	0.999	1.0
theta[10,331]	-0.455	0.0132	0.841	-1.94	-0.402	0.828	4083.0	1.2	1.0
theta[11,331]	0.74	0.0246	0.901	-0.888	0.785	2.13	1337.0	0.393	1.0
theta[1,332]	-0.926	0.0101	0.463	-1.74	-0.894	-0.2	2104.0	0.619	1.0
theta[2,332]	-0.16	0.0144	0.919	-1.74	-0.15	1.26	4067.0	1.2	0.999
theta[3,332]	-0.514	0.0143	0.876	-1.98	-0.48	0.871	3740.0	1.1	1.0
theta[4,332]	-0.0624	0.0145	0.959	-1.66	-0.0612	1.54	4397.0	1.29	1.0
theta[5,332]	-0.817	0.0116	0.681	-2.02	-0.758	0.204	3430.0	1.01	1.0
theta[6,332]	-0.366	0.0136	0.81	-1.73	-0.349	0.923	3534.0	1.04	1.0
theta[7,332]	0.0733	0.0125	0.74	-1.21	0.13	1.22	3477.0	1.02	1.0
theta[8,332]	0.785	0.0104	0.594	-0.146	0.755	1.82	3235.0	0.951	1.0
theta[9,332]	2.06	0.00856	0.464	1.32	2.04	2.86	2942.0	0.865	1.0
theta[10,332]	-0.0473	0.014	0.915	-1.6	-0.0273	1.42	4288.0	1.26	1.0
theta[11,332]	0.0437	0.0145	0.946	-1.58	0.0487	1.59	4248.0	1.25	0.999
theta[1,333]	0.753	0.00599	0.29	0.281	0.755	1.21	2347.0	0.69	1.0
theta[2,333]	1.44	0.00951	0.568	0.567	1.41	2.42	3565.0	1.05	1.0
theta[3,333]	0.0414	0.0235	0.767	-1.24	0.052	1.29	1070.0	0.315	1.0
theta[4,333]	1.49	0.0112	0.672	0.392	1.48	2.6	3585.0	1.05	1.0
theta[5,333]	-0.523	0.00864	0.517	-1.36	-0.517	0.316	3573.0	1.05	0.999
theta[6,333]	0.123	0.0124	0.764	-1.08	0.0819	1.46	3786.0	1.11	1.0
theta[7,333]	0.219	0.0085	0.507	-0.64	0.241	1.02	3555.0	1.05	1.0
theta[8,333]	-0.0621	0.00978	0.617	-0.999	-0.0967	1.01	3988.0	1.17	1.0
theta[9,333]	-0.509	0.0122	0.753	-1.84	-0.445	0.628	3841.0	1.13	0.999
theta[10,333]	0.438	0.011	0.597	-0.57	0.453	1.4	2950.0	0.867	1.0
theta[11,333]	0.117	0.0286	0.947	-1.39	0.0864	1.7	1098.0	0.323	1.0
theta[1,334]	0.627	0.00607	0.296	0.147	0.62	1.12	2380.0	0.7	1.0
theta[2,334]	-0.719	0.014	0.794	-2.1	-0.676	0.518	3236.0	0.952	1.0
theta[3,334]	-0.0893	0.0243	0.77	-1.36	-0.108	1.19	1002.0	0.295	1.0
theta[4,334]	-0.368	0.013	0.808	-1.79	-0.326	0.881	3867.0	1.14	1.0
theta[5,334]	1.29	0.0104	0.666	0.243	1.26	2.45	4072.0	1.2	0.999
theta[6,334]	0.669	0.0137	0.839	-0.64	0.635	2.12	3754.0	1.1	1.0
theta[7,334]	1.07	0.0073	0.468	0.322	1.06	1.85	4115.0	1.21	1.0
theta[8,334]	0.513	0.0106	0.683	-0.566	0.478	1.7	4148.0	1.22	1.0
