k1,k2,mu,lb,ub,pval
27,4,0.016915,-0.003076,0.037712,0.7055
27,5,-0.018077,-0.046594,0.009988,0.30725
27,6,0.026898,0.000232,0.054178,0.77925
27,7,-0.004773,-0.028125,0.018829,0.43825
27,8,-0.005403,-0.054668,0.043596,0.45625
27,9,-0.024241,-0.056244,0.012661,0.25225
27,10,0.00327,-0.029244,0.038319,0.5315
27,11,-0.005544,-0.027812,0.01804,0.4275
27,12,-0.034043,-0.055074,-0.01168,0.14025
27,13,0.012188,-0.010872,0.033189,0.65625
27,14,0.008973,-0.033602,0.052592,0.59725
27,15,0.025838,-0.001081,0.054014,0.76475
27,16,0.033825,0.006688,0.062506,0.8165
27,17,-0.009375,-0.037473,0.017493,0.39575
27,18,-0.005161,-0.030477,0.021559,0.441
27,19,0.003324,-0.023798,0.030543,0.54975
27,20,0.013134,-0.02943,0.051652,0.635
27,21,0.00878,-0.029181,0.042604,0.5905
27,22,0.04617,0.017382,0.076249,0.91775
27,23,-0.043568,-0.070596,-0.014924,0.101
27,24,0.002737,-0.018157,0.024444,0.508
27,25,-0.03279,-0.079992,0.015212,0.2215
27,26,-0.012923,-0.072129,0.04314,0.401
28,0,-0.052765,-0.09506,-0.012168,0.08425
28,1,0.023593,-0.013455,0.063218,0.73125
28,2,0.007905,-0.023923,0.039561,0.6025
28,3,0.03938,0.012162,0.06562,0.876
28,4,0.024174,-0.00205,0.046586,0.7595
28,5,-0.011206,-0.039119,0.017739,0.38175
28,6,-0.032984,-0.062628,-0.003116,0.15975
28,7,0.039545,0.011854,0.066333,0.879
28,8,0.000883,-0.04845,0.051236,0.51075
28,9,0.023741,-0.013009,0.058432,0.7555
28,10,-0.055737,-0.088868,-0.022879,0.06175
28,11,-0.025554,-0.052464,0.000229,0.2185
28,12,-0.004689,-0.030183,0.020051,0.42775
28,13,0.01097,-0.014854,0.037092,0.6225
28,14,-0.041595,-0.086373,0.005053,0.1605
28,15,0.022588,-0.010084,0.057245,0.71275
28,16,-0.016532,-0.048066,0.018274,0.32125
28,17,-0.052787,-0.085759,-0.021191,0.08175
28,18,0.001908,-0.027184,0.027793,0.54025
28,19,-0.041122,-0.067012,-0.012813,0.10975
28,20,-0.029723,-0.069686,0.012774,0.20725
28,21,-0.019847,-0.056563,0.016634,0.29275
28,22,0.017186,-0.014339,0.049627,0.70975
28,23,0.010905,-0.017684,0.04104,0.61975
28,24,0.020519,-0.002407,0.046685,0.73475
28,25,-0.058381,-0.104877,-0.010803,0.09225
28,26,-0.011712,-0.067013,0.047,0.4015
28,27,0.082843,0.037134,0.125661,0.97675
29,0,-0.027155,-0.065277,0.012516,0.2385
29,1,-0.024041,-0.058585,0.014244,0.25175
29,2,-0.004902,-0.034683,0.023195,0.44825
29,3,-0.011646,-0.033886,0.011191,0.38975
29,4,0.026706,0.005184,0.04784,0.77125
29,5,-0.021554,-0.045351,0.004303,0.276
29,6,-0.104519,-0.132562,-0.076189,0.0035
29,7,0.01098,-0.013426,0.03938,0.613
29,8,-0.029362,-0.074502,0.018883,0.221
29,9,0.04759,0.014065,0.080983,0.90375
29,10,-0.045659,-0.079178,-0.0122,0.11325
29,11,-0.019398,-0.046511,0.005643,0.29925
29,12,-0.001899,-0.025304,0.022073,0.47275
29,13,-0.02746,-0.051502,-0.003432,0.2395
29,14,-0.013457,-0.055751,0.02836,0.3765
29,15,-0.028328,-0.062214,0.005674,0.26575
29,16,0.010953,-0.018713,0.03956,0.59825
29,17,0.006915,-0.02129,0.034189,0.5645
29,18,-0.007201,-0.032665,0.015966,0.42725
29,19,-0.057309,-0.084716,-0.031201,0.0675
29,20,-0.076895,-0.119309,-0.037158,0.03
29,21,-0.002507,-0.043769,0.036297,0.4795
29,22,-0.03959,-0.074244,-0.00564,0.16075
29,23,0.039599,0.011845,0.068782,0.85575
29,24,0.015628,-0.008573,0.040405,0.667
29,25,0.08139,0.050418,0.110732,0.99475
29,26,0.030072,-0.00466,0.068048,0.816
29,27,-0.092602,-0.125105,-0.064581,0.00175
29,28,0.043874,0.013605,0.078807,0.891
30,0,0.022802,-0.01836,0.065783,0.7205
30,1,0.041421,0.008322,0.073109,0.883
30,2,-0.035213,-0.067843,-0.004369,0.18475
30,3,0.006734,-0.02252,0.033178,0.577
30,4,0.030226,-0.000822,0.059078,0.738
30,5,-0.062833,-0.088005,-0.038273,0.04325
30,6,-0.051484,-0.086299,-0.017691,0.129
30,7,0.009218,-0.027208,0.04478,0.58275
30,8,-0.019386,-0.06296,0.026653,0.28975
30,9,0.020738,-0.014193,0.055313,0.70325
30,10,0.005833,-0.026829,0.037959,0.55575
30,11,-0.014472,-0.048536,0.019782,0.3905
30,12,-0.05159,-0.085919,-0.019947,0.15925
30,13,-0.06256,-0.098065,-0.025755,0.10825
30,14,-0.059958,-0.103034,-0.001078,0.10575
30,15,0.010564,-0.040816,0.057785,0.59
30,16,0.020225,-0.026442,0.068793,0.64275
30,17,-0.035362,-0.087554,0.013654,0.27775
30,18,0.047971,0.019662,0.074107,0.86525
30,19,0.007544,-0.020681,0.039106,0.59225
30,20,-0.050454,-0.099658,5.6e-05,0.144
30,21,0.034484,-0.014021,0.081873,0.759
30,22,0.020245,-0.021395,0.064169,0.668
30,23,0.020696,-0.01113,0.0543,0.69875
30,24,0.029243,-0.00633,0.06131,0.72875
30,25,0.03424,0.008421,0.0594,0.865
30,26,-0.001841,-0.031998,0.026007,0.486
30,27,-0.007566,-0.031932,0.017793,0.4075
30,28,0.024852,-0.003995,0.051673,0.76875
30,29,0.082611,0.038054,0.125778,0.974
31,0,-0.015073,-0.056738,0.023914,0.35025
31,1,0.009194,-0.026385,0.046659,0.60675
31,2,-0.097834,-0.12645,-0.064801,0.0055
31,3,-0.035778,-0.060954,-0.010752,0.1875
31,4,-0.040628,-0.064527,-0.017404,0.165
31,5,-0.042936,-0.066755,-0.017585,0.12025
31,6,-0.071879,-0.103083,-0.04191,0.03725
31,7,-0.005646,-0.035026,0.023517,0.4675
31,8,-0.003402,-0.049073,0.044277,0.45725
31,9,0.028859,-0.003883,0.064493,0.779
31,10,-0.025723,-0.058965,0.003854,0.248
31,11,0.014522,-0.025443,0.052707,0.626
31,12,-0.069135,-0.100574,-0.03921,0.054
31,13,-0.013589,-0.044456,0.017526,0.398
31,14,0.005829,-0.036263,0.055273,0.55425
31,15,-0.013903,-0.055833,0.026101,0.40575
31,16,0.076445,0.040834,0.11288,0.93075
31,17,0.033372,-0.005444,0.070662,0.75225
31,18,-0.026452,-0.066814,0.018514,0.2845
31,19,0.035157,-0.020746,0.087806,0.77675
31,20,-0.092342,-0.135993,-0.045762,0.01925
31,21,0.033337,-0.007218,0.075421,0.77625
31,22,0.021002,-0.013131,0.054407,0.689
31,23,0.008367,-0.02158,0.039894,0.60125
31,24,-0.033023,-0.06085,-0.005145,0.234
31,25,-0.010641,-0.037752,0.016533,0.3725
31,26,0.018864,-0.016931,0.050513,0.708
31,27,0.047574,0.020717,0.072309,0.926
31,28,0.009282,-0.016789,0.036263,0.6135
31,29,0.149941,0.111096,0.192971,1.0
31,30,0.178064,0.141567,0.210581,0.99975
