	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[41,1]	-1.8	0.0088	0.63	-2.9	-1.7	-0.8	5123.0	1.0	1.0
theta[42,1]	-0.63	0.0066	0.4	-1.3	-0.6	-0.027	3576.0	0.7	1.0
theta[43,1]	0.098	0.0044	0.29	-0.39	0.11	0.55	4287.0	0.84	1.0
theta[44,1]	-0.16	0.0055	0.32	-0.69	-0.15	0.35	3292.0	0.64	1.0
theta[45,1]	-1.2	0.0077	0.51	-2.1	-1.2	-0.46	4338.0	0.85	1.0
theta[46,1]	-1.6	0.0083	0.58	-2.6	-1.6	-0.72	4908.0	0.96	1.0
theta[47,1]	-1.2	0.0087	0.51	-2.1	-1.2	-0.42	3451.0	0.67	1.0
theta[48,1]	0.037	0.0047	0.29	-0.45	0.039	0.5	3828.0	0.75	1.0
theta[49,1]	-0.83	0.0061	0.44	-1.6	-0.81	-0.14	5232.0	1.0	1.0
theta[50,1]	0.18	0.0045	0.29	-0.32	0.18	0.65	4189.0	0.82	1.0
theta[51,1]	-0.42	0.0059	0.37	-1.1	-0.4	0.16	3917.0	0.77	1.0
theta[52,1]	-1.2	0.0078	0.48	-2.0	-1.1	-0.43	3881.0	0.76	1.0
theta[53,1]	1.0	0.0041	0.28	0.6	1.0	1.5	4446.0	0.87	1.0
theta[54,1]	-1.8	0.0093	0.62	-2.8	-1.7	-0.82	4354.0	0.85	1.0
theta[55,1]	-1.3	0.0083	0.52	-2.2	-1.2	-0.47	4023.0	0.79	1.0
theta[56,1]	-1.5	0.0098	0.57	-2.5	-1.4	-0.59	3417.0	0.67	1.0
theta[57,1]	-0.68	0.0064	0.39	-1.3	-0.66	-0.076	3705.0	0.72	1.0
theta[58,1]	-0.48	0.0062	0.38	-1.2	-0.46	0.11	3766.0	0.74	1.0
theta[59,1]	0.38	0.0046	0.28	-0.081	0.38	0.84	3812.0	0.75	1.0
theta[60,1]	-0.35	0.0058	0.34	-0.93	-0.35	0.2	3472.0	0.68	1.0
theta[61,1]	-1.1	0.0076	0.49	-2.0	-1.1	-0.36	4219.0	0.83	1.0
theta[62,1]	-0.74	0.0066	0.42	-1.5	-0.71	-0.089	4081.0	0.8	1.0
theta[63,1]	-1.7	0.0099	0.63	-2.8	-1.7	-0.79	4003.0	0.78	1.0
theta[64,1]	-0.49	0.0054	0.34	-1.1	-0.47	0.047	3989.0	0.78	1.0
theta[65,1]	-1.0	0.0068	0.46	-1.8	-0.98	-0.27	4587.0	0.9	1.0
theta[66,1]	-1.1	0.0075	0.49	-2.0	-1.1	-0.4	4260.0	0.83	1.0
theta[67,1]	-1.2	0.0086	0.5	-2.1	-1.1	-0.43	3389.0	0.66	1.0
theta[68,1]	1.0	0.0045	0.3	0.54	1.0	1.5	4372.0	0.86	1.0
theta[69,1]	1.3	0.0051	0.3	0.76	1.3	1.8	3568.0	0.7	1.0
theta[70,1]	-0.87	0.0077	0.45	-1.7	-0.85	-0.17	3410.0	0.67	1.0
theta[71,1]	-0.31	0.0056	0.35	-0.9	-0.29	0.24	3835.0	0.75	1.0
theta[72,1]	-0.42	0.0056	0.37	-1.1	-0.4	0.15	4224.0	0.83	1.0
theta[73,1]	-0.73	0.007	0.4	-1.4	-0.7	-0.11	3311.0	0.65	1.0
theta[74,1]	-0.058	0.0051	0.32	-0.6	-0.043	0.44	3921.0	0.77	1.0
theta[75,1]	-1.3	0.0091	0.54	-2.3	-1.3	-0.48	3577.0	0.7	1.0
theta[76,1]	-0.027	0.0046	0.31	-0.55	-0.02	0.48	4538.0	0.89	1.0
theta[77,1]	-1.2	0.0085	0.51	-2.1	-1.2	-0.42	3567.0	0.7	1.0
theta[78,1]	-0.83	0.0071	0.44	-1.6	-0.8	-0.15	3917.0	0.77	1.0
theta[79,1]	-0.23	0.0051	0.32	-0.78	-0.21	0.28	4043.0	0.79	1.0
theta[80,1]	-1.4	0.0096	0.56	-2.3	-1.4	-0.53	3463.0	0.68	1.0
theta[81,1]	-0.67	0.0064	0.41	-1.4	-0.65	-0.02	4182.0	0.82	1.0
theta[82,1]	0.15	0.0049	0.29	-0.33	0.14	0.61	3387.0	0.66	1.0
theta[83,1]	-0.86	0.007	0.45	-1.6	-0.83	-0.17	4140.0	0.81	1.0
theta[84,1]	-1.5	0.009	0.56	-2.5	-1.4	-0.61	3965.0	0.78	1.0
theta[85,1]	0.21	0.0044	0.29	-0.28	0.21	0.69	4523.0	0.88	1.0
theta[86,1]	-0.2	0.0051	0.33	-0.77	-0.19	0.32	4355.0	0.85	1.0
theta[87,1]	0.0096	0.0047	0.29	-0.49	0.018	0.47	3868.0	0.76	1.0
theta[88,1]	-0.54	0.0056	0.36	-1.2	-0.53	0.0087	3959.0	0.77	1.0
theta[89,1]	-0.81	0.0069	0.4	-1.5	-0.8	-0.19	3422.0	0.67	1.0
theta[90,1]	0.0078	0.0045	0.3	-0.5	0.01	0.49	4430.0	0.87	1.0
theta[91,1]	0.33	0.0047	0.29	-0.16	0.33	0.82	3836.0	0.75	1.0
theta[92,1]	0.0023	0.0049	0.31	-0.53	0.018	0.5	4057.0	0.79	1.0
theta[93,1]	1.0	0.0046	0.29	0.55	1.0	1.5	3896.0	0.76	1.0
theta[94,1]	-1.1	0.0072	0.5	-2.0	-1.1	-0.33	4885.0	0.96	1.0
theta[95,1]	-1.1	0.0081	0.49	-2.0	-1.1	-0.38	3726.0	0.73	1.0
theta[96,1]	-0.42	0.006	0.35	-1.0	-0.4	0.13	3435.0	0.67	1.0
theta[97,1]	0.58	0.0044	0.29	0.1	0.59	1.0	4327.0	0.85	1.0
theta[98,1]	-1.4	0.0088	0.56	-2.4	-1.3	-0.55	4074.0	0.8	1.0
theta[99,1]	-0.47	0.0056	0.36	-1.1	-0.46	0.1	4199.0	0.82	1.0
theta[100,1]	-1.4	0.0082	0.54	-2.4	-1.4	-0.6	4468.0	0.87	1.0
theta[101,1]	0.16	0.0043	0.29	-0.33	0.16	0.62	4637.0	0.91	1.0
theta[102,1]	0.88	0.0045	0.29	0.42	0.88	1.4	4192.0	0.82	1.0
theta[103,1]	-0.94	0.008	0.47	-1.8	-0.9	-0.23	3492.0	0.68	1.0
theta[104,1]	-0.27	0.005	0.33	-0.84	-0.26	0.26	4354.0	0.85	1.0
theta[105,1]	1.0	0.0046	0.29	0.56	1.0	1.5	3994.0	0.78	1.0
theta[106,1]	-0.5	0.0057	0.37	-1.1	-0.49	0.069	4288.0	0.84	1.0
theta[107,1]	0.96	0.0044	0.3	0.48	0.96	1.5	4637.0	0.91	1.0
theta[108,1]	-0.42	0.0053	0.36	-1.0	-0.41	0.15	4659.0	0.91	1.0
theta[109,1]	-0.77	0.0064	0.43	-1.5	-0.75	-0.12	4605.0	0.9	1.0
theta[110,1]	-0.51	0.006	0.37	-1.1	-0.49	0.067	3795.0	0.74	1.0
theta[111,1]	0.43	0.0046	0.29	-0.037	0.43	0.9	3888.0	0.76	1.0
theta[112,1]	-0.91	0.0068	0.45	-1.7	-0.88	-0.2	4291.0	0.84	1.0
theta[113,1]	-0.33	0.0056	0.34	-0.91	-0.31	0.19	3663.0	0.72	1.0
theta[114,1]	-0.52	0.0064	0.35	-1.1	-0.5	0.045	3067.0	0.6	1.0
theta[115,1]	-0.27	0.0058	0.34	-0.84	-0.26	0.27	3387.0	0.66	1.0
theta[116,1]	0.47	0.0048	0.29	-0.0092	0.47	0.96	3756.0	0.73	1.0
theta[117,1]	-0.19	0.0051	0.32	-0.74	-0.18	0.34	4123.0	0.81	1.0
theta[118,1]	-0.87	0.0065	0.41	-1.6	-0.85	-0.24	4010.0	0.78	1.0
theta[119,1]	-1.8	0.0093	0.62	-2.8	-1.7	-0.83	4361.0	0.85	1.0
theta[120,1]	-1.3	0.0083	0.54	-2.2	-1.3	-0.48	4244.0	0.83	1.0
theta[121,1]	-0.15	0.0055	0.34	-0.72	-0.14	0.38	3830.0	0.75	1.0
theta[122,1]	-0.64	0.0063	0.39	-1.3	-0.62	-0.044	3803.0	0.74	1.0
theta[123,1]	0.61	0.0044	0.29	0.14	0.61	1.1	4210.0	0.82	1.0
theta[124,1]	0.36	0.005	0.29	-0.12	0.37	0.83	3273.0	0.64	1.0
theta[125,1]	-0.69	0.0067	0.42	-1.4	-0.67	-0.046	3813.0	0.75	1.0
theta[126,1]	-0.16	0.005	0.32	-0.71	-0.14	0.32	3977.0	0.78	1.0
theta[127,1]	1.9	0.005	0.3	1.4	1.9	2.4	3719.0	0.73	1.0
theta[128,1]	-1.5	0.0094	0.57	-2.4	-1.4	-0.6	3587.0	0.7	1.0
theta[129,1]	-0.62	0.0061	0.38	-1.3	-0.59	-0.04	3825.0	0.75	1.0
theta[130,1]	0.18	0.0047	0.29	-0.32	0.18	0.64	3855.0	0.75	1.0
theta[131,1]	-1.2	0.0079	0.5	-2.1	-1.2	-0.45	4097.0	0.8	1.0
theta[132,1]	0.02	0.005	0.3	-0.49	0.028	0.5	3641.0	0.71	1.0
theta[133,1]	1.5	0.0045	0.29	1.0	1.5	2.0	4325.0	0.85	1.0
theta[134,1]	0.41	0.0044	0.27	-0.039	0.41	0.85	3715.0	0.73	1.0
theta[135,1]	0.89	0.0046	0.28	0.43	0.89	1.4	3674.0	0.72	1.0
theta[136,1]	1.2	0.0045	0.3	0.67	1.2	1.7	4402.0	0.86	1.0
theta[137,1]	0.29	0.005	0.31	-0.21	0.29	0.8	3742.0	0.73	1.0
theta[138,1]	0.59	0.0042	0.28	0.13	0.59	1.1	4509.0	0.88	1.0
theta[139,1]	0.37	0.0045	0.29	-0.12	0.37	0.84	4150.0	0.81	1.0
theta[140,1]	-0.61	0.0067	0.37	-1.3	-0.59	-0.041	3003.0	0.59	1.0
theta[141,1]	-0.068	0.0049	0.31	-0.6	-0.053	0.42	3892.0	0.76	1.0
theta[142,1]	-0.37	0.0057	0.37	-1.0	-0.35	0.21	4132.0	0.81	1.0
theta[143,1]	-0.8	0.007	0.43	-1.5	-0.78	-0.13	3756.0	0.73	1.0
theta[144,1]	-1.6	0.0098	0.59	-2.7	-1.6	-0.71	3651.0	0.71	1.0
theta[145,1]	-0.28	0.0055	0.35	-0.87	-0.26	0.26	3942.0	0.77	1.0
theta[146,1]	-0.06	0.0047	0.31	-0.58	-0.052	0.44	4426.0	0.87	1.0
theta[147,1]	0.41	0.005	0.29	-0.062	0.41	0.88	3284.0	0.64	1.0
theta[148,1]	-0.27	0.0051	0.33	-0.83	-0.25	0.25	4031.0	0.79	1.0
theta[149,1]	1.3	0.0044	0.28	0.8	1.3	1.7	4054.0	0.79	1.0
theta[150,1]	-1.0	0.0074	0.46	-1.8	-0.99	-0.3	3830.0	0.75	1.0
theta[151,1]	-0.38	0.0059	0.35	-0.99	-0.36	0.17	3557.0	0.7	1.0
theta[152,1]	0.15	0.0045	0.28	-0.34	0.15	0.61	3988.0	0.78	1.0
theta[153,1]	0.76	0.0044	0.29	0.27	0.76	1.2	4529.0	0.89	1.0
theta[154,1]	-1.7	0.0092	0.63	-2.9	-1.7	-0.79	4681.0	0.92	1.0
theta[155,1]	-1.5	0.0098	0.58	-2.5	-1.5	-0.64	3459.0	0.68	1.0
theta[156,1]	0.33	0.0045	0.3	-0.15	0.32	0.82	4329.0	0.85	1.0
theta[157,1]	-1.4	0.0091	0.56	-2.4	-1.4	-0.61	3791.0	0.74	1.0
theta[158,1]	-0.31	0.0056	0.32	-0.86	-0.29	0.2	3307.0	0.65	1.0
theta[159,1]	0.82	0.0042	0.28	0.35	0.82	1.3	4511.0	0.88	1.0
theta[160,1]	0.85	0.0053	0.28	0.39	0.86	1.3	2819.0	0.55	1.0
theta[161,1]	0.36	0.0044	0.3	-0.13	0.36	0.84	4570.0	0.89	1.0
theta[162,1]	-0.6	0.0065	0.41	-1.3	-0.58	0.041	3985.0	0.78	1.0
theta[163,1]	-0.38	0.0049	0.35	-0.97	-0.37	0.16	4952.0	0.97	1.0
theta[164,1]	0.68	0.0048	0.3	0.18	0.67	1.2	4005.0	0.78	1.0
theta[165,1]	-0.4	0.0057	0.36	-1.0	-0.38	0.16	4025.0	0.79	1.0
theta[166,1]	0.52	0.0043	0.27	0.074	0.52	0.98	4020.0	0.79	1.0
theta[167,1]	-1.8	0.0096	0.62	-2.8	-1.7	-0.82	4201.0	0.82	1.0
theta[168,1]	-0.086	0.0045	0.31	-0.62	-0.077	0.42	4711.0	0.92	1.0
theta[169,1]	-0.97	0.0068	0.47	-1.8	-0.93	-0.25	4754.0	0.93	1.0
theta[170,1]	-1.7	0.0096	0.6	-2.7	-1.6	-0.72	3947.0	0.77	1.0
theta[171,1]	0.069	0.0053	0.31	-0.45	0.076	0.56	3356.0	0.66	1.0
theta[172,1]	-0.75	0.0067	0.43	-1.5	-0.73	-0.085	4067.0	0.8	1.0
theta[173,1]	0.3	0.0042	0.28	-0.16	0.3	0.75	4293.0	0.84	1.0
theta[174,1]	-0.42	0.0062	0.37	-1.1	-0.41	0.15	3544.0	0.69	1.0
theta[175,1]	1.2	0.0048	0.32	0.66	1.2	1.7	4578.0	0.9	1.0
theta[176,1]	-1.7	0.0094	0.64	-2.9	-1.7	-0.78	4587.0	0.9	1.0
theta[177,1]	0.37	0.0044	0.28	-0.09	0.38	0.84	4099.0	0.8	1.0
theta[178,1]	-0.88	0.0072	0.42	-1.6	-0.85	-0.22	3475.0	0.68	1.0
theta[179,1]	-0.33	0.0051	0.35	-0.93	-0.32	0.21	4775.0	0.93	1.0
theta[180,1]	-0.3	0.0055	0.35	-0.9	-0.28	0.25	4053.0	0.79	1.0
theta[181,1]	0.66	0.0046	0.28	0.19	0.66	1.1	3792.0	0.74	1.0
theta[182,1]	-0.58	0.0062	0.38	-1.2	-0.56	0.0065	3681.0	0.72	1.0
theta[183,1]	1.3	0.0048	0.32	0.74	1.3	1.8	4593.0	0.9	1.0
theta[184,1]	0.46	0.0043	0.28	0.0021	0.47	0.92	4148.0	0.81	1.0
theta[185,1]	-0.93	0.0076	0.45	-1.7	-0.89	-0.23	3450.0	0.67	1.0
theta[186,1]	0.48	0.0042	0.28	0.02	0.48	0.94	4470.0	0.87	1.0
theta[187,1]	1.1	0.0047	0.3	0.65	1.1	1.6	4072.0	0.8	1.0
theta[188,1]	-1.3	0.0087	0.53	-2.3	-1.3	-0.53	3745.0	0.73	1.0
theta[189,1]	-0.6	0.0059	0.39	-1.3	-0.59	0.015	4465.0	0.87	1.0
theta[190,1]	1.6	0.0045	0.3	1.1	1.6	2.1	4495.0	0.88	1.0
theta[191,1]	-1.4	0.0079	0.53	-2.3	-1.4	-0.59	4463.0	0.87	1.0
theta[192,1]	0.6	0.005	0.3	0.12	0.61	1.1	3548.0	0.69	1.0
theta[193,1]	-0.79	0.0065	0.43	-1.5	-0.77	-0.12	4355.0	0.85	1.0
theta[194,1]	0.88	0.0046	0.29	0.41	0.88	1.4	4058.0	0.79	1.0
theta[195,1]	-0.47	0.0064	0.35	-1.1	-0.46	0.07	2955.0	0.58	1.0
theta[196,1]	1.5	0.0049	0.31	0.94	1.4	2.0	4138.0	0.81	1.0
theta[197,1]	-0.96	0.0069	0.45	-1.8	-0.94	-0.28	4267.0	0.83	1.0
theta[198,1]	-0.89	0.0072	0.46	-1.7	-0.86	-0.19	4018.0	0.79	1.0
theta[199,1]	1.1	0.0049	0.3	0.65	1.1	1.6	3666.0	0.72	1.0
theta[200,1]	-0.42	0.0053	0.35	-1.0	-0.41	0.13	4370.0	0.85	1.0
theta[201,1]	-0.2	0.0052	0.33	-0.75	-0.19	0.31	3921.0	0.77	1.0
theta[202,1]	-0.18	0.0053	0.32	-0.72	-0.18	0.34	3645.0	0.71	1.0
theta[203,1]	0.067	0.0047	0.3	-0.44	0.067	0.56	4000.0	0.78	1.0
theta[204,1]	-0.64	0.0062	0.4	-1.3	-0.61	-0.018	4151.0	0.81	1.0
theta[205,1]	0.73	0.0045	0.29	0.26	0.72	1.2	4019.0	0.79	1.0
theta[206,1]	-1.3	0.0086	0.53	-2.2	-1.2	-0.46	3760.0	0.74	1.0
theta[207,1]	-1.5	0.0094	0.56	-2.5	-1.4	-0.63	3526.0	0.69	1.0
theta[208,1]	-1.0	0.0082	0.47	-1.8	-0.97	-0.27	3307.0	0.65	1.0
theta[209,1]	0.065	0.0048	0.3	-0.44	0.073	0.54	3746.0	0.73	1.0
theta[210,1]	1.4	0.0046	0.3	0.88	1.4	1.9	4207.0	0.82	1.0
theta[211,1]	-0.25	0.0052	0.34	-0.85	-0.23	0.3	4257.0	0.83	1.0
theta[212,1]	-1.0	0.0076	0.47	-1.9	-1.0	-0.31	3908.0	0.76	1.0
theta[213,1]	0.078	0.0051	0.31	-0.45	0.09	0.58	3710.0	0.73	1.0
theta[214,1]	-0.12	0.0052	0.33	-0.69	-0.11	0.41	4100.0	0.8	1.0
theta[215,1]	1.3	0.0046	0.31	0.81	1.3	1.8	4468.0	0.87	1.0
theta[216,1]	-0.77	0.0067	0.43	-1.5	-0.74	-0.1	4106.0	0.8	1.0
theta[217,1]	-0.16	0.0048	0.32	-0.7	-0.15	0.36	4421.0	0.86	1.0
theta[218,1]	1.2	0.0046	0.3	0.7	1.2	1.7	4137.0	0.81	1.0
theta[219,1]	-0.16	0.0054	0.33	-0.71	-0.15	0.35	3724.0	0.73	1.0
theta[220,1]	-0.53	0.0062	0.38	-1.2	-0.51	0.048	3757.0	0.73	1.0
theta[221,1]	1.0	0.0046	0.28	0.59	1.0	1.5	3810.0	0.75	1.0
theta[222,1]	0.12	0.0047	0.28	-0.35	0.12	0.57	3462.0	0.68	1.0
theta[223,1]	1.0	0.0045	0.29	0.53	1.0	1.5	4160.0	0.81	1.0
theta[224,1]	-1.2	0.0081	0.52	-2.1	-1.2	-0.45	4123.0	0.81	1.0
theta[225,1]	-0.34	0.0057	0.35	-0.94	-0.32	0.21	3711.0	0.73	1.0
theta[226,1]	-0.55	0.0061	0.38	-1.2	-0.53	0.048	3858.0	0.75	1.0
theta[227,1]	-0.15	0.0048	0.32	-0.7	-0.13	0.36	4491.0	0.88	1.0
theta[228,1]	0.084	0.0048	0.3	-0.41	0.091	0.58	4027.0	0.79	1.0
theta[229,1]	-0.33	0.0056	0.34	-0.9	-0.32	0.21	3652.0	0.71	1.0
theta[230,1]	-1.3	0.0093	0.55	-2.3	-1.2	-0.45	3527.0	0.69	1.0
theta[231,1]	-1.5	0.009	0.55	-2.4	-1.4	-0.62	3779.0	0.74	1.0
theta[232,1]	-1.2	0.0087	0.52	-2.1	-1.1	-0.4	3616.0	0.71	1.0
theta[233,1]	-0.45	0.0057	0.37	-1.1	-0.43	0.15	4348.0	0.85	1.0
theta[234,1]	-0.81	0.0065	0.42	-1.5	-0.78	-0.16	4087.0	0.8	1.0
theta[235,1]	-0.5	0.0064	0.37	-1.2	-0.48	0.055	3392.0	0.66	1.0
theta[236,1]	1.6	0.0048	0.32	1.0	1.5	2.1	4507.0	0.88	1.0
theta[237,1]	-1.1	0.0075	0.49	-2.0	-1.1	-0.4	4302.0	0.84	1.0
theta[238,1]	0.32	0.0045	0.28	-0.15	0.32	0.77	3973.0	0.78	1.0
theta[239,1]	-0.01	0.0047	0.31	-0.54	0.0049	0.48	4303.0	0.84	1.0
theta[240,1]	-1.5	0.0093	0.57	-2.5	-1.5	-0.63	3769.0	0.74	1.0
theta[241,1]	-0.61	0.0063	0.4	-1.3	-0.59	0.027	4026.0	0.79	1.0
theta[242,1]	0.5	0.004	0.28	0.034	0.51	0.95	4795.0	0.94	1.0
theta[243,1]	0.7	0.0044	0.29	0.23	0.7	1.2	4185.0	0.82	1.0
theta[244,1]	0.75	0.0046	0.29	0.28	0.75	1.2	3872.0	0.76	1.0
theta[245,1]	-0.67	0.0061	0.38	-1.3	-0.65	-0.082	3857.0	0.75	1.0
theta[246,1]	0.74	0.0042	0.27	0.3	0.74	1.2	4135.0	0.81	1.0
theta[247,1]	0.66	0.0043	0.3	0.17	0.66	1.2	4888.0	0.96	1.0
theta[248,1]	-1.6	0.0094	0.58	-2.6	-1.6	-0.7	3808.0	0.74	1.0
theta[249,1]	0.078	0.005	0.31	-0.43	0.085	0.57	3791.0	0.74	1.0
theta[250,1]	-1.2	0.0078	0.49	-2.0	-1.2	-0.41	4031.0	0.79	1.0
theta[251,1]	-1.2	0.0085	0.5	-2.0	-1.2	-0.43	3399.0	0.66	1.0
theta[252,1]	-1.4	0.0087	0.57	-2.4	-1.4	-0.59	4251.0	0.83	1.0
theta[253,1]	0.69	0.0043	0.27	0.25	0.69	1.1	3918.0	0.77	1.0
theta[254,1]	-0.36	0.0058	0.35	-0.98	-0.35	0.18	3697.0	0.72	1.0
theta[255,1]	-0.25	0.0057	0.34	-0.82	-0.24	0.3	3596.0	0.7	1.0
theta[256,1]	-1.1	0.0074	0.49	-1.9	-1.1	-0.34	4276.0	0.84	1.0
theta[257,1]	-1.5	0.0089	0.57	-2.5	-1.5	-0.62	4103.0	0.8	1.0
theta[258,1]	-0.35	0.0057	0.32	-0.9	-0.32	0.16	3264.0	0.64	1.0
theta[259,1]	0.28	0.0046	0.29	-0.2	0.27	0.76	3997.0	0.78	1.0
theta[260,1]	-0.33	0.0054	0.36	-0.96	-0.31	0.24	4442.0	0.87	1.0
theta[261,1]	0.09	0.0047	0.31	-0.42	0.094	0.58	4277.0	0.84	1.0
theta[262,1]	0.53	0.0048	0.3	0.035	0.53	1.0	3898.0	0.76	1.0
theta[263,1]	0.53	0.0043	0.3	0.034	0.54	1.0	4757.0	0.93	1.0
theta[264,1]	-0.68	0.007	0.42	-1.4	-0.65	-0.043	3618.0	0.71	1.0
theta[265,1]	-0.96	0.0078	0.45	-1.7	-0.92	-0.29	3327.0	0.65	1.0
theta[266,1]	1.4	0.0048	0.29	0.91	1.4	1.9	3835.0	0.75	1.0
theta[267,1]	-0.16	0.0049	0.3	-0.67	-0.14	0.32	3899.0	0.76	1.0
theta[268,1]	0.46	0.0045	0.28	-0.0066	0.46	0.93	3961.0	0.77	1.0
theta[269,1]	-0.81	0.0064	0.41	-1.5	-0.79	-0.17	4191.0	0.82	1.0
theta[270,1]	-0.14	0.0048	0.31	-0.66	-0.14	0.36	4125.0	0.81	1.0
theta[271,1]	-1.5	0.0083	0.57	-2.5	-1.4	-0.61	4593.0	0.9	1.0
theta[272,1]	0.37	0.0043	0.29	-0.13	0.38	0.83	4555.0	0.89	1.0
theta[273,1]	-0.77	0.0063	0.39	-1.5	-0.74	-0.16	3864.0	0.76	1.0
theta[274,1]	-0.16	0.0052	0.33	-0.74	-0.15	0.34	3909.0	0.76	1.0
theta[275,1]	-0.12	0.0048	0.31	-0.65	-0.11	0.36	4203.0	0.82	1.0
theta[276,1]	1.2	0.0046	0.3	0.73	1.2	1.7	4157.0	0.81	1.0
theta[277,1]	-0.016	0.0046	0.32	-0.56	-0.0076	0.48	4744.0	0.93	1.0
theta[278,1]	-0.58	0.0064	0.4	-1.3	-0.56	0.029	3864.0	0.76	1.0
theta[279,1]	-1.1	0.0075	0.47	-1.9	-1.0	-0.34	3936.0	0.77	1.0
theta[280,1]	-0.92	0.0075	0.45	-1.7	-0.9	-0.21	3636.0	0.71	1.0
theta[281,1]	-1.3	0.0085	0.52	-2.2	-1.2	-0.48	3767.0	0.74	1.0
theta[282,1]	1.6	0.0043	0.3	1.1	1.5	2.1	4859.0	0.95	1.0
theta[283,1]	-0.54	0.006	0.39	-1.2	-0.52	0.073	4221.0	0.83	1.0
theta[284,1]	-1.8	0.0095	0.65	-2.9	-1.7	-0.76	4699.0	0.92	1.0
theta[285,1]	-1.1	0.0072	0.49	-1.9	-1.0	-0.33	4576.0	0.9	1.0
theta[286,1]	-0.2	0.0053	0.34	-0.79	-0.18	0.33	4126.0	0.81	1.0
theta[287,1]	-0.0047	0.0058	0.31	-0.54	0.0078	0.48	2825.0	0.55	1.0
