sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
48,32,58,58,67,80,67,63,66,50,48,60,39,51,45,34,22,20,34,31,16,12,18,23,8,11,8,7,4,4,3,2,0,2,1,3,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
49,36,53,61,68,71,65,71,66,49,57,64,47,49,40,30,33,21,22,20,23,16,14,16,10,9,14,4,4,4,4,1,2,1,1,1,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
50,32,44,68,60,80,69,69,75,43,55,61,42,35,36,27,34,26,34,22,22,24,15,17,12,7,14,7,3,4,0,3,0,2,2,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
51,35,51,67,68,88,56,68,57,49,48,46,59,37,33,31,37,25,25,32,20,24,19,13,16,10,5,7,3,3,2,3,1,2,1,2,3,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
52,34,44,68,64,76,66,72,70,63,49,42,41,45,39,28,37,29,32,21,25,16,16,15,6,8,17,4,4,5,1,2,4,1,0,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
53,36,57,61,65,78,71,69,57,41,58,56,45,47,39,45,26,34,20,22,28,11,13,13,7,10,7,6,4,5,3,3,3,1,3,0,0,2,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
54,32,47,62,74,66,71,67,69,64,66,36,42,42,37,32,29,29,25,20,28,20,12,16,11,12,6,10,3,3,5,3,2,4,0,1,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
55,36,61,63,65,59,65,71,74,65,50,41,46,47,34,43,25,32,18,24,20,19,18,11,12,8,10,9,3,6,3,4,1,1,1,0,1,0,1,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
56,34,51,54,55,76,78,68,61,67,54,62,40,36,35,35,32,41,27,15,15,18,21,14,10,10,6,9,7,2,4,2,1,2,0,4,0,0,0,0,2,0,1,0,1,0,0,1,0,0,0,0,0,0
57,28,54,63,59,61,80,89,72,47,54,54,33,29,46,32,35,30,29,24,26,20,19,13,8,7,9,9,6,2,0,0,3,2,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
58,33,48,54,74,67,77,59,58,73,50,68,39,47,29,44,25,40,25,30,11,12,13,17,6,12,6,6,8,2,4,1,2,0,3,0,2,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
59,43,50,57,59,82,80,59,64,54,35,42,48,43,50,33,36,23,30,28,20,25,18,10,13,7,6,9,7,8,1,2,1,1,0,2,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0
60,26,52,52,75,78,67,79,58,60,50,60,43,29,34,40,33,35,24,24,22,16,16,16,14,10,9,6,3,3,4,4,3,1,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
61,44,41,66,55,66,68,67,63,65,51,55,54,38,37,30,35,36,26,33,18,18,22,8,12,5,5,9,6,4,2,2,1,0,1,0,1,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
62,39,48,48,79,83,67,63,79,52,51,46,47,36,53,41,22,24,26,24,22,15,12,17,9,10,9,5,6,3,4,1,2,1,0,2,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
63,35,40,60,65,72,68,74,58,60,60,47,64,40,35,32,30,36,22,22,22,17,17,16,8,11,10,4,2,8,2,2,1,2,0,0,2,1,1,2,0,2,0,0,0,0,0,0,1,0,0,0,0,0
64,31,52,59,59,76,73,70,73,65,55,37,52,45,39,38,28,17,25,31,22,20,13,8,17,9,7,6,10,2,2,3,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0
65,36,40,75,70,63,50,73,86,61,48,44,43,45,41,40,31,27,26,19,20,25,16,15,11,9,8,6,6,1,2,2,3,1,1,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
66,27,49,50,79,95,66,60,69,44,76,48,43,36,35,31,29,22,19,28,25,16,14,18,15,13,6,7,3,8,6,6,1,1,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,26,51,63,60,81,77,62,63,67,56,40,41,45,37,35,33,23,27,33,23,18,16,15,13,7,9,5,4,2,7,2,0,2,1,1,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
68,39,56,62,72,73,68,66,67,42,53,43,44,40,41,37,26,31,29,23,17,28,19,19,6,10,8,6,5,6,1,0,0,6,2,0,1,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
69,36,52,52,67,83,66,61,73,65,57,53,40,42,37,38,33,20,27,27,16,19,19,10,9,5,10,3,9,7,2,3,1,1,0,1,0,1,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0
70,44,48,59,76,63,65,68,62,65,54,55,36,46,41,42,28,26,30,16,15,16,19,10,13,13,9,9,3,5,2,1,2,2,3,0,0,0,2,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
71,28,45,60,66,86,85,69,50,56,50,56,46,41,34,31,31,29,15,31,21,23,19,13,14,10,8,7,7,4,1,3,2,1,0,2,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
72,32,55,58,69,61,62,75,73,64,69,43,55,36,43,29,20,26,22,26,25,24,10,15,15,9,9,7,3,0,3,3,2,1,1,0,1,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
73,37,31,67,66,84,69,72,68,65,48,39,60,42,37,34,34,33,26,21,19,14,21,14,8,8,9,2,3,6,4,0,1,3,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
74,35,58,68,52,70,68,57,69,67,62,49,54,32,36,37,23,24,33,22,26,23,21,12,9,6,6,7,5,2,3,0,2,3,1,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
75,40,52,59,57,78,67,68,69,57,58,55,45,39,39,34,21,27,31,28,15,20,18,18,3,10,7,8,7,6,3,3,2,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
76,33,51,61,74,78,54,78,62,56,49,53,47,33,31,44,28,33,28,21,14,13,18,21,14,12,10,10,5,2,3,2,3,1,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0
77,38,55,65,65,65,68,78,65,45,55,53,55,40,21,38,32,33,23,27,18,18,24,15,6,10,8,6,9,5,1,0,3,2,0,0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0
78,33,36,68,71,69,68,77,63,62,50,46,48,41,42,44,27,27,22,27,18,15,14,14,12,7,11,8,5,6,9,2,2,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
79,33,57,63,57,63,74,81,52,58,42,60,55,43,44,24,34,29,25,27,34,12,17,11,12,11,5,4,7,4,2,1,0,2,1,2,0,1,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0
80,41,56,50,81,66,74,46,63,62,65,46,44,45,37,27,33,32,30,31,15,14,24,11,8,9,10,5,4,3,3,3,2,2,1,0,3,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
81,30,48,70,58,72,74,81,69,44,53,59,36,39,41,34,28,34,16,27,28,16,18,14,15,10,12,2,4,1,3,2,1,0,2,5,1,1,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
