k1,k2,obs,pred,pval
19,14,0.01999973701297427,-0.0003696598855684292,0.70175
19,15,0.07133124222651344,-0.00045133757530179097,0.9785
19,16,0.02984175677502818,-6.108886929311455e-07,0.79775
19,17,-0.10177142961502225,0.00025344385380717926,0.003
19,18,0.039880214069378826,0.000608442461587712,0.85475
20,0,0.02601226648477896,-5.1307447210683255e-05,0.75625
20,1,0.03147667730231998,0.000566378036832487,0.79125
20,2,-0.03515836753740206,-0.00023965670772453648,0.191
20,3,0.0025831281162866006,-0.0012060779446914367,0.5405
20,4,0.043807171629603084,-0.0005602092252174988,0.84325
20,5,-0.06325523645076474,3.419725771324443e-05,0.07325
20,6,-0.026342465569127945,-0.00012217138043836966,0.2325
20,7,-0.012914866196618057,0.0006391093791680695,0.393
20,8,-0.042769639172581926,7.510992172929538e-05,0.18925
20,9,-0.04733696887465959,-0.0010989717473286911,0.15725
20,10,0.031598676143947436,-0.0013859447103099292,0.735
20,11,-0.006372257656656795,0.0012737156297215517,0.4615
20,12,0.03527777051493062,0.0003590364630900521,0.78875
20,13,-0.006444915433348647,-0.0004222031808182387,0.44725
20,14,0.033449291553836295,-0.000678690578577822,0.78075
20,15,0.03671116970034413,-0.00016573557320949842,0.864
20,16,-0.011964198645067262,0.0005579545142311743,0.356
20,17,-0.016351901826600086,-0.0002337082197636454,0.32025
20,18,0.03223926693721893,0.00033846270413193536,0.8245
20,19,0.11415404656730765,-0.0007834590043864666,0.997
21,0,-0.021986269710399395,4.4617938227564437e-05,0.28375
21,1,-0.002476448631553033,0.000129760988680271,0.47575
21,2,-0.10152402183717939,-0.0007532987525451213,0.0035
21,3,-0.044886120466003765,9.418686328716163e-05,0.135
21,4,-0.031128184260582035,5.002236264931616e-05,0.2365
21,5,-0.06183982910099155,-0.00033672871411669065,0.07275
21,6,-0.019328196523139923,0.001187675592357397,0.27975
21,7,0.028546905304981187,-0.00014867749095124737,0.734
21,8,-0.027509780807639616,-0.0003517201066555314,0.2785
21,9,0.013248226588003524,-0.00012158979084066026,0.6145
21,10,0.0850097564768328,-0.0006720993658836636,0.955
21,11,0.05549820120407093,0.0004766221202931476,0.86425
21,12,0.08790013001448259,-6.456069924609846e-05,0.97925
21,13,-0.05400672279963751,-0.0009046623344709023,0.101
21,14,-0.016996206430030632,-0.0002691775120440606,0.34525
21,15,-0.00960241553683716,-0.0004257468258821726,0.40075
21,16,0.010532184317747637,-8.219190909704187e-05,0.61275
21,17,0.037067471584338485,-0.00045523266076635496,0.85825
21,18,0.012368815576572025,-0.0008117433047709343,0.64225
21,19,0.17516461053481938,-0.0016782370945812462,1.0
21,20,0.139926723160645,-0.00015875858434650036,0.99425
22,0,-0.014563758585996373,-0.0007435596605162337,0.3615
22,1,-0.030878761910835172,-0.000177729938416964,0.2195
22,2,-0.016361038087011164,-0.00037232741951192833,0.33425
22,3,-0.05081364431290738,0.000668760402016794,0.09425
22,4,0.050109399535305556,-0.0005088128849748644,0.89675
22,5,-0.026969450411665388,-0.00024055359101590322,0.25
22,6,-0.02558206449763469,-0.0001553816936801893,0.23425
22,7,-0.015105365159645457,0.0005522448056862193,0.35325
22,8,0.018339810113650577,-0.00018339920887408778,0.67525
22,9,0.030156800717688923,0.0001819787714226222,0.756
22,10,0.01805055977146821,-0.00033362784225256345,0.67
22,11,0.06286867906456303,0.0005362304878515846,0.905
22,12,0.03151472253186691,0.00021589363174264766,0.7895
22,13,-0.06388070837041726,0.00048271270887442064,0.0525
22,14,0.014669970552021414,0.0006498745311843023,0.64775
22,15,0.11108561361529772,-0.0001965940309789152,0.999
22,16,0.041197417119629307,0.00046402372995747737,0.86775
22,17,-0.0797128877078397,0.0003392511336225287,0.013
22,18,0.011176347955860678,0.000280099536776543,0.62525
22,19,0.3286631386614589,0.0005447120088478779,1.0
22,20,0.11116849222163938,-0.0004305237252487063,0.99125
22,21,0.10830456035504156,4.075632357805812e-05,0.986
23,0,0.014543031484161072,-9.29620741658048e-05,0.651
23,1,0.00618604818576482,0.0006425286740168253,0.55375
23,2,-0.0932295649287341,0.0006109113722398675,0.01
23,3,-0.04423498475740426,6.281733675158407e-05,0.1445
23,4,-0.036911496129258474,0.0001219818419110852,0.20125
23,5,-0.11734781820476176,-5.797443013391195e-06,0.00425
23,6,-0.09113461054177713,-0.0007061680366189171,0.00725
23,7,-0.011612200889103157,0.00035134148895517623,0.40725
23,8,-0.09088826795233798,-0.00035722441952561104,0.0145
23,9,-0.02343831894699158,0.0011622530977677902,0.29125
23,10,-0.002704835410099397,-0.00022877587562634337,0.50425
23,11,-0.004234541689434693,-0.00010064586090366483,0.486
23,12,0.17556375644140504,-0.0005295924496569777,0.998
23,13,-0.0692209552868337,0.00047284081415832266,0.05425
23,14,-0.016558397611488255,0.0006676622575298202,0.36025
23,15,-0.0009044806280606571,-0.0003933270045696575,0.489
23,16,0.021089178973209603,7.031068256165819e-05,0.722
23,17,0.08415256034340926,-0.0006414642776839052,0.9925
23,18,-0.01774734053383206,0.0008105828660834249,0.303
23,19,0.09415372246305571,1.3608195790671786e-05,0.99275
23,20,-0.025426190315092165,-1.961731059038433e-05,0.28425
23,21,0.35763675195071615,0.000141902070131688,1.0
23,22,0.01874354210221473,0.00020766408244513973,0.678
24,0,-0.02298453199278102,-0.0008192681541322002,0.29525
24,1,0.0013297855304295668,-0.00021022652796035232,0.51625
24,2,-0.068177158834311,-0.0006084781476114295,0.0515
24,3,0.0592985249821494,-0.0005569230641869438,0.9295
24,4,-0.03412316082315688,0.0005577846501487358,0.184
24,5,-0.10715526962983205,0.0005224760715208621,0.01
24,6,-0.05526646243755585,-0.0005385370842396288,0.06025
24,7,-0.004169941646043592,-0.0013955537358227366,0.47175
24,8,-0.0420306145425125,0.00023567028613283433,0.1445
24,9,-0.11542442309808724,0.0006954843465201346,0.0045
24,10,-0.044014187665279786,-0.0011798163880535446,0.16225
24,11,-0.048132854331011284,-0.00029263896458575834,0.13275
24,12,0.025669948656297105,0.0001098668152144772,0.74825
24,13,-0.09587824130396376,5.922988001738549e-05,0.01375
