sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
40,25,60,47,76,82,66,77,51,57,61,48,50,42,44,37,34,25,28,17,21,14,19,15,10,8,9,7,3,1,2,0,5,1,1,1,0,1,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
41,27,55,61,86,71,73,69,57,62,53,60,52,37,36,29,32,22,18,17,25,19,12,19,12,9,5,10,7,2,0,2,3,2,1,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
42,25,55,72,63,69,65,77,74,50,60,46,43,40,42,30,38,28,30,23,28,19,14,9,13,7,3,7,3,2,5,2,0,1,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,22,58,69,70,83,77,74,71,56,59,39,45,44,34,25,31,17,25,23,17,24,17,10,10,11,8,8,5,4,1,1,2,0,4,2,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
44,31,60,71,64,73,57,76,61,56,50,46,50,36,33,40,32,37,29,20,20,19,23,14,11,10,5,5,4,4,2,2,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
45,33,55,67,73,68,53,70,81,51,67,53,50,42,27,35,30,26,30,13,21,16,10,19,9,11,7,6,7,5,2,3,2,2,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
46,32,51,61,69,73,78,83,61,56,47,36,41,41,47,40,25,39,26,24,23,10,13,18,11,6,6,7,6,6,2,1,4,2,1,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0
47,26,56,63,68,67,83,78,58,61,62,39,53,39,40,29,32,34,23,17,27,19,13,11,4,12,7,3,5,4,4,3,0,1,2,2,2,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48,37,59,64,62,84,68,60,47,73,64,42,35,49,25,45,30,27,38,18,17,18,18,11,17,7,4,13,3,3,4,3,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,46,49,54,68,71,83,67,61,59,67,46,42,39,38,27,38,22,29,27,16,12,17,7,19,5,10,10,5,2,4,3,1,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
