	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[988,1]	0.39	0.0027	0.25	-0.012	0.4	0.79	8268.0	11.0	1.0
theta[989,1]	-1.2	0.0057	0.48	-2.1	-1.2	-0.51	7076.0	9.7	1.0
theta[990,1]	-0.88	0.0044	0.4	-1.6	-0.85	-0.27	8165.0	11.0	1.0
theta[991,1]	-1.5	0.0059	0.54	-2.5	-1.5	-0.7	8292.0	11.0	1.0
theta[992,1]	0.24	0.003	0.26	-0.2	0.25	0.66	7661.0	10.0	1.0
theta[993,1]	1.3	0.003	0.28	0.81	1.3	1.7	8556.0	12.0	1.0
theta[994,1]	-0.12	0.0031	0.28	-0.61	-0.11	0.31	8540.0	12.0	1.0
theta[995,1]	0.45	0.0027	0.26	0.023	0.45	0.89	9292.0	13.0	1.0
theta[996,1]	0.28	0.0026	0.26	-0.15	0.29	0.7	10124.0	14.0	1.0
theta[997,1]	-0.61	0.004	0.36	-1.2	-0.59	-0.052	8394.0	11.0	1.0
theta[998,1]	0.058	0.0028	0.26	-0.38	0.064	0.49	8918.0	12.0	1.0
theta[999,1]	0.54	0.0024	0.25	0.13	0.54	0.97	10821.0	15.0	1.0
theta[1000,1]	-0.18	0.0036	0.3	-0.69	-0.17	0.28	7061.0	9.7	1.0
theta[1001,1]	0.77	0.0026	0.26	0.35	0.77	1.2	9834.0	13.0	1.0
theta[1002,1]	0.74	0.0029	0.26	0.33	0.74	1.2	7945.0	11.0	1.0
theta[1003,1]	0.3	0.0031	0.25	-0.13	0.3	0.7	6798.0	9.3	1.0
theta[1004,1]	-0.13	0.0033	0.3	-0.64	-0.12	0.34	8326.0	11.0	1.0
theta[1005,1]	1.0	0.003	0.27	0.58	1.0	1.5	8129.0	11.0	1.0
theta[1006,1]	0.46	0.0027	0.25	0.041	0.46	0.87	8722.0	12.0	1.0
theta[1007,1]	-0.84	0.005	0.4	-1.5	-0.81	-0.22	6523.0	8.9	1.0
theta[1008,1]	-1.1	0.0056	0.43	-1.8	-1.0	-0.41	5950.0	8.1	1.0
theta[1009,1]	0.38	0.0027	0.26	-0.047	0.39	0.81	9783.0	13.0	1.0
theta[1010,1]	0.65	0.0028	0.25	0.24	0.65	1.1	8246.0	11.0	1.0
theta[1011,1]	0.78	0.0026	0.26	0.36	0.78	1.2	9697.0	13.0	1.0
theta[1012,1]	0.25	0.0027	0.26	-0.17	0.25	0.67	9235.0	13.0	1.0
theta[1013,1]	-0.47	0.0038	0.33	-1.0	-0.45	0.045	7468.0	10.0	1.0
theta[1014,1]	0.53	0.0025	0.25	0.1	0.53	0.94	10677.0	15.0	1.0
theta[1015,1]	-0.74	0.0042	0.38	-1.4	-0.71	-0.15	8020.0	11.0	1.0
theta[1016,1]	0.53	0.0025	0.25	0.12	0.53	0.95	10040.0	14.0	1.0
theta[1017,1]	-0.66	0.0044	0.38	-1.3	-0.63	-0.083	7327.0	10.0	1.0
theta[1018,1]	-0.8	0.0043	0.4	-1.5	-0.78	-0.19	8718.0	12.0	1.0
theta[1019,1]	1.1	0.0029	0.27	0.68	1.1	1.6	8415.0	12.0	1.0
theta[1020,1]	-0.28	0.0036	0.3	-0.81	-0.27	0.19	7067.0	9.7	1.0
theta[1021,1]	-0.77	0.0044	0.39	-1.4	-0.74	-0.16	7599.0	10.0	1.0
theta[1022,1]	1.2	0.0029	0.27	0.77	1.2	1.7	8459.0	12.0	1.0
theta[1023,1]	-0.82	0.0043	0.39	-1.5	-0.79	-0.21	8327.0	11.0	1.0
theta[1024,1]	-0.35	0.0037	0.33	-0.92	-0.34	0.15	7924.0	11.0	1.0
theta[1025,1]	-0.16	0.0031	0.3	-0.66	-0.16	0.3	8870.0	12.0	1.0
theta[1026,1]	0.0078	0.0029	0.27	-0.44	0.012	0.44	8664.0	12.0	1.0
theta[1027,1]	0.16	0.0028	0.27	-0.28	0.17	0.59	8843.0	12.0	1.0
theta[1028,1]	1.1	0.0029	0.27	0.71	1.1	1.6	8759.0	12.0	1.0
theta[1029,1]	-0.11	0.0031	0.28	-0.58	-0.094	0.33	8199.0	11.0	1.0
theta[1030,1]	-0.2	0.0039	0.31	-0.75	-0.18	0.29	6624.0	9.1	1.0
theta[1031,1]	0.048	0.003	0.27	-0.41	0.057	0.48	8073.0	11.0	1.0
theta[1032,1]	-0.41	0.0038	0.32	-0.97	-0.4	0.1	7406.0	10.0	1.0
theta[1033,1]	-0.2	0.003	0.29	-0.71	-0.19	0.26	9266.0	13.0	1.0
theta[1034,1]	0.81	0.0029	0.26	0.39	0.8	1.3	8190.0	11.0	1.0
theta[1035,1]	-0.12	0.003	0.29	-0.61	-0.11	0.31	9258.0	13.0	1.0
theta[1036,1]	0.28	0.0025	0.26	-0.16	0.28	0.7	10991.0	15.0	1.0
theta[1037,1]	0.18	0.0026	0.27	-0.27	0.18	0.63	10619.0	15.0	1.0
theta[1038,1]	0.3	0.0028	0.27	-0.14	0.3	0.72	9149.0	13.0	1.0
theta[1039,1]	0.88	0.0025	0.24	0.49	0.89	1.3	9537.0	13.0	1.0
theta[1040,1]	-0.86	0.0047	0.39	-1.5	-0.83	-0.26	6913.0	9.5	1.0
theta[1041,1]	0.25	0.0029	0.27	-0.21	0.25	0.68	8556.0	12.0	1.0
theta[1042,1]	-1.0	0.0053	0.44	-1.7	-0.98	-0.36	6706.0	9.2	1.0
theta[1043,1]	0.84	0.0027	0.26	0.42	0.83	1.3	8667.0	12.0	1.0
theta[1044,1]	-0.13	0.0033	0.29	-0.62	-0.12	0.33	7801.0	11.0	1.0
theta[1045,1]	-0.62	0.004	0.35	-1.2	-0.61	-0.087	7757.0	11.0	1.0
theta[1046,1]	1.2	0.0028	0.26	0.77	1.2	1.6	8537.0	12.0	1.0
theta[1047,1]	1.3	0.0031	0.27	0.86	1.3	1.7	7365.0	10.0	1.0
theta[1048,1]	2.5	0.0035	0.31	2.0	2.5	3.0	8022.0	11.0	1.0
theta[1049,1]	1.4	0.0027	0.28	0.94	1.4	1.9	11282.0	15.0	1.0
theta[1050,1]	1.0	0.0027	0.26	0.57	0.99	1.4	9087.0	12.0	1.0
theta[1051,1]	0.55	0.0027	0.26	0.13	0.55	0.99	8831.0	12.0	1.0
alpha[1,1]	2.7	0.0028	0.2	2.4	2.7	3.0	5007.0	6.9	1.0
