	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[9,668]	-0.5	0.011	0.78	-1.9	-0.43	0.66	5092.0	0.48	1.0
theta[10,668]	2.1	0.008	0.6	1.2	2.1	3.2	5619.0	0.53	1.0
theta[11,668]	0.22	0.028	0.9	-1.3	0.23	1.7	1056.0	0.1	1.0
theta[1,669]	0.35	0.0046	0.3	-0.15	0.36	0.83	4233.0	0.4	1.0
theta[2,669]	0.73	0.012	0.8	-0.7	0.78	2.0	4158.0	0.39	1.0
theta[3,669]	0.26	0.014	0.7	-0.91	0.27	1.4	2628.0	0.25	1.0
theta[4,669]	-0.26	0.011	0.91	-1.8	-0.23	1.2	6365.0	0.6	1.0
theta[5,669]	-0.11	0.0074	0.55	-0.98	-0.12	0.81	5456.0	0.52	1.0
theta[6,669]	0.071	0.016	0.76	-1.2	0.073	1.3	2327.0	0.22	1.0
theta[7,669]	1.3	0.0053	0.47	0.51	1.3	2.0	7641.0	0.72	1.0
theta[8,669]	-0.099	0.0066	0.49	-0.84	-0.14	0.74	5593.0	0.53	1.0
theta[9,669]	0.14	0.011	0.73	-1.2	0.24	1.2	4591.0	0.43	1.0
theta[10,669]	-0.27	0.011	0.84	-1.8	-0.21	1.0	6218.0	0.59	1.0
theta[11,669]	-0.016	0.011	0.99	-1.6	-0.0044	1.6	8363.0	0.79	1.0
theta[1,670]	0.99	0.004	0.27	0.54	0.99	1.4	4536.0	0.43	1.0
theta[2,670]	0.54	0.01	0.77	-0.81	0.58	1.7	5469.0	0.52	1.0
theta[3,670]	0.86	0.01	0.75	-0.33	0.83	2.1	5643.0	0.53	1.0
theta[4,670]	0.56	0.01	0.71	-0.68	0.61	1.6	4619.0	0.44	1.0
theta[5,670]	-0.51	0.0072	0.52	-1.3	-0.54	0.38	5173.0	0.49	1.0
theta[6,670]	0.45	0.011	0.83	-0.93	0.45	1.8	6105.0	0.58	1.0
theta[7,670]	-0.9	0.01	0.73	-2.2	-0.84	0.19	5005.0	0.47	1.0
theta[8,670]	1.0	0.0098	0.78	-0.18	1.0	2.4	6372.0	0.6	1.0
theta[9,670]	-0.47	0.01	0.78	-1.9	-0.41	0.68	5824.0	0.55	1.0
theta[10,670]	0.95	0.0065	0.51	0.11	0.96	1.8	6052.0	0.57	1.0
theta[11,670]	-0.43	0.046	0.92	-1.9	-0.47	1.1	411.0	0.039	1.0
theta[1,671]	-1.7	0.011	0.69	-2.9	-1.7	-0.64	3914.0	0.37	1.0
theta[2,671]	-0.06	0.012	0.96	-1.7	-0.052	1.5	6575.0	0.62	1.0
theta[3,671]	-0.22	0.011	0.88	-1.7	-0.2	1.2	5947.0	0.56	1.0
theta[4,671]	-0.068	0.011	0.98	-1.7	-0.063	1.5	7670.0	0.73	1.0
theta[5,671]	-0.56	0.011	0.77	-1.9	-0.51	0.59	5057.0	0.48	1.0
theta[6,671]	-0.016	0.01	0.97	-1.6	-0.014	1.6	9357.0	0.88	1.0
theta[7,671]	-0.099	0.011	0.88	-1.6	-0.074	1.3	6805.0	0.64	1.0
theta[8,671]	-0.72	0.011	0.73	-2.0	-0.68	0.42	4710.0	0.45	1.0
theta[9,671]	-0.053	0.011	0.92	-1.6	-0.031	1.4	6770.0	0.64	1.0
theta[10,671]	-0.017	0.011	0.96	-1.6	-0.01	1.6	7975.0	0.75	1.0
theta[11,671]	0.02	0.012	1.0	-1.6	0.014	1.7	6814.0	0.64	1.0
theta[1,672]	-0.74	0.0067	0.46	-1.5	-0.71	-0.04	4705.0	0.44	1.0
theta[2,672]	0.76	0.015	0.91	-0.82	0.83	2.1	3831.0	0.36	1.0
theta[3,672]	-0.44	0.0099	0.84	-1.9	-0.4	0.92	7202.0	0.68	1.0
theta[4,672]	1.0	0.014	0.87	-0.48	1.1	2.4	3914.0	0.37	1.0
theta[5,672]	0.43	0.0068	0.56	-0.47	0.42	1.4	6702.0	0.63	1.0
theta[6,672]	-0.23	0.012	0.93	-1.8	-0.21	1.2	6447.0	0.61	1.0
theta[7,672]	-0.19	0.01	0.82	-1.6	-0.12	1.1	6266.0	0.59	1.0
theta[8,672]	-0.98	0.0084	0.64	-2.1	-0.93	-0.027	5858.0	0.55	1.0
theta[9,672]	-0.071	0.011	0.86	-1.6	-0.031	1.3	5992.0	0.57	1.0
theta[10,672]	-0.088	0.012	0.95	-1.7	-0.062	1.4	6191.0	0.59	1.0
theta[11,672]	-0.085	0.011	0.96	-1.7	-0.064	1.5	7495.0	0.71	1.0
theta[1,673]	-0.78	0.0076	0.47	-1.6	-0.75	-0.062	3839.0	0.36	1.0
