	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
tau_pr[28]	0.99	0.00048	0.046	0.91	0.98	1.1	9213.0	7.9	1.0
tau_pr[29]	1.1	0.00058	0.051	0.98	1.1	1.1	7623.0	6.6	1.0
tau_pr[30]	3.7	0.0024	0.21	3.3	3.7	4.0	7832.0	6.7	1.0
tau_pr[31]	18.0	0.023	1.9	15.0	18.0	21.0	6890.0	5.9	1.0
tau_pr[32]	8.9	0.0077	0.68	7.9	8.9	10.0	7752.0	6.7	1.0
tau_pr[33]	26.0	0.053	3.4	21.0	26.0	32.0	4220.0	3.6	1.0
tau_pr[34]	9.4	0.02	1.3	7.5	9.3	12.0	4197.0	3.6	1.0
tau_pr[35]	3.1	0.0069	0.46	2.4	3.1	3.9	4366.0	3.8	1.0
tau_pr[36]	13.0	0.015	1.3	11.0	13.0	16.0	7370.0	6.3	1.0
tau_pr[37]	0.4	0.00077	0.066	0.3	0.4	0.52	7267.0	6.3	1.0
tau_pr[38]	3.8	0.0027	0.23	3.5	3.8	4.2	7581.0	6.5	1.0
tau_pr[39]	2.3	0.0013	0.12	2.1	2.3	2.5	8865.0	7.6	1.0
tau_pr[40]	1.2	0.00059	0.057	1.1	1.2	1.3	9413.0	8.1	1.0
tau_pr[41]	3.5	0.0022	0.21	3.1	3.5	3.8	8960.0	7.7	1.0
tau_pr[42]	59.0	0.14	11.0	44.0	58.0	78.0	5923.0	5.1	1.0
tau_pr[43]	30.0	0.056	4.2	24.0	29.0	37.0	5640.0	4.9	1.0
tau_pr[44]	52.0	0.12	9.1	39.0	51.0	69.0	5493.0	4.7	1.0
tau_pr[45]	70.0	0.17	14.0	51.0	68.0	95.0	6837.0	5.9	1.0
tau_pr[46]	24.0	0.035	2.8	19.0	23.0	29.0	6507.0	5.6	1.0
tau_pr[47]	38.0	0.066	5.7	29.0	37.0	48.0	7611.0	6.5	1.0
tau_pr[48]	1.9	0.00097	0.092	1.7	1.9	2.1	8822.0	7.6	1.0
tau_pr[49]	1.6	0.00077	0.077	1.5	1.6	1.7	9958.0	8.6	1.0
tau_pr[50]	2.3	0.0013	0.11	2.1	2.3	2.5	7008.0	6.0	1.0
tau_pr[51]	13.0	0.017	1.3	11.0	13.0	15.0	5700.0	4.9	1.0
tau_pr[52]	11.0	0.014	1.1	9.7	11.0	13.0	6015.0	5.2	1.0
tau_pr[53]	22.0	0.32	23.0	1.0	15.0	69.0	5154.0	4.4	1.0
tau_pr[54]	23.0	0.31	23.0	1.0	16.0	69.0	5525.0	4.8	1.0
tau_pr[55]	22.0	0.27	22.0	1.2	16.0	65.0	6415.0	5.5	1.0
tau_pr[56]	22.0	0.28	22.0	1.2	15.0	67.0	6289.0	5.4	1.0
tau_pr[57]	23.0	0.3	23.0	1.3	16.0	69.0	6113.0	5.3	1.0
tau_pr[58]	23.0	0.33	24.0	1.1	15.0	70.0	4991.0	4.3	1.0
tau_pr[59]	22.0	0.3	22.0	1.2	16.0	66.0	5431.0	4.7	1.0
tau_pr[60]	22.0	0.31	23.0	1.1	15.0	68.0	5632.0	4.8	1.0
tau_pr[61]	22.0	0.29	23.0	1.2	15.0	68.0	6234.0	5.4	1.0
tau_pr[62]	22.0	0.28	22.0	1.2	15.0	68.0	6445.0	5.5	1.0
tau_pr[63]	22.0	0.28	22.0	1.1	15.0	68.0	6215.0	5.3	1.0
tau_pr[64]	23.0	0.3	23.0	1.2	16.0	70.0	6073.0	5.2	1.0
tau_pr[65]	22.0	0.3	23.0	1.1	15.0	68.0	5863.0	5.0	1.0
tau_pr[66]	23.0	0.29	22.0	1.4	16.0	66.0	5939.0	5.1	1.0
tau_pr[67]	22.0	0.28	22.0	1.1	15.0	67.0	6414.0	5.5	1.0
tau_pr[68]	22.0	0.3	23.0	1.0	15.0	70.0	6225.0	5.4	1.0
tau_pr[69]	22.0	0.29	22.0	1.3	15.0	65.0	5576.0	4.8	1.0
tau_pr[70]	23.0	0.29	22.0	1.3	16.0	67.0	5976.0	5.1	1.0
tau_pr[71]	22.0	0.29	22.0	1.2	15.0	67.0	5834.0	5.0	1.0
tau_pr[72]	22.0	0.3	23.0	1.0	15.0	69.0	5776.0	5.0	1.0
tau_pr[73]	22.0	0.32	24.0	0.87	15.0	68.0	5610.0	4.8	1.0
tau_pr[74]	22.0	0.28	23.0	1.1	15.0	67.0	6336.0	5.4	1.0
tau_pr[75]	22.0	0.3	23.0	1.2	15.0	67.0	5772.0	5.0	1.0
tau_pr[76]	22.0	0.29	24.0	1.1	15.0	70.0	6485.0	5.6	1.0
tau_pr[77]	22.0	0.29	22.0	1.2	15.0	68.0	6074.0	5.2	1.0
tau_pr[78]	22.0	0.28	22.0	1.1	15.0	66.0	6392.0	5.5	1.0
tau_pr[79]	22.0	0.32	23.0	1.1	15.0	69.0	5288.0	4.5	1.0
tau_pr[80]	23.0	0.32	23.0	1.1	16.0	68.0	5041.0	4.3	1.0
tau_pr[81]	23.0	0.3	24.0	0.99	15.0	69.0	6241.0	5.4	1.0
tau_pr[82]	22.0	0.3	22.0	1.2	16.0	66.0	5442.0	4.7	1.0
tau_pr[83]	22.0	0.3	23.0	1.2	15.0	66.0	5974.0	5.1	1.0
tau_pr[84]	22.0	0.3	23.0	1.2	16.0	69.0	5847.0	5.0	1.0
tau_pr[85]	22.0	0.3	23.0	1.3	15.0	67.0	5499.0	4.7	1.0
tau_pr[86]	22.0	0.29	23.0	1.2	16.0	66.0	5989.0	5.2	1.0
tau_pr[87]	22.0	0.28	22.0	1.2	15.0	65.0	6045.0	5.2	1.0
tau_pr[88]	22.0	0.29	22.0	1.3	15.0	66.0	5894.0	5.1	1.0
tau_pr[89]	22.0	0.28	22.0	1.2	15.0	64.0	6145.0	5.3	1.0
tau_pr[90]	22.0	0.29	22.0	1.1	15.0	67.0	5852.0	5.0	1.0
tau_pr[91]	23.0	0.27	23.0	1.1	15.0	69.0	7388.0	6.4	1.0
lambda[1,1]	0.84	0.00025	0.018	0.81	0.84	0.87	5251.0	4.5	1.0
lambda[2,1]	0.86	0.00026	0.017	0.83	0.87	0.89	4294.0	3.7	1.0
lambda[3,1]	0.83	0.00028	0.019	0.8	0.83	0.86	4876.0	4.2	1.0
lambda[4,1]	0.67	0.00042	0.032	0.61	0.67	0.72	5614.0	4.8	1.0
lambda[5,1]	0.61	0.00061	0.051	0.52	0.61	0.69	6884.0	5.9	1.0
lambda[6,1]	0.74	0.00032	0.02	0.7	0.74	0.77	3937.0	3.4	1.0
lambda[7,1]	0.47	0.00037	0.029	0.43	0.47	0.52	6040.0	5.2	1.0
lambda[8,1]	0.69	0.0005	0.039	0.62	0.69	0.74	6134.0	5.3	1.0
lambda[9,1]	0.66	0.00054	0.043	0.58	0.66	0.72	6573.0	5.7	1.0
lambda[10,1]	0.68	0.0004	0.03	0.62	0.68	0.72	5914.0	5.1	1.0
lambda[11,1]	0.63	0.00088	0.067	0.51	0.64	0.73	5870.0	5.0	1.0
lambda[12,1]	0.6	0.0012	0.084	0.44	0.6	0.72	4690.0	4.0	1.0
lambda[13,1]	0.54	0.0005	0.041	0.47	0.55	0.61	6629.0	5.7	1.0
lambda[14,1]	0.64	0.00042	0.032	0.59	0.64	0.69	5669.0	4.9	1.0
lambda[15,1]	0.62	0.00047	0.037	0.56	0.62	0.68	6109.0	5.3	1.0
lambda[16,1]	0.6	0.0004	0.032	0.54	0.6	0.65	6105.0	5.3	1.0
lambda[17,1]	0.55	0.00042	0.032	0.5	0.55	0.61	5844.0	5.0	1.0
lambda[18,1]	0.52	0.00041	0.033	0.47	0.52	0.58	6599.0	5.7	1.0
lambda[19,1]	0.44	0.00044	0.037	0.38	0.44	0.5	7101.0	6.1	1.0
lambda[20,1]	0.53	0.00049	0.037	0.47	0.53	0.59	5665.0	4.9	1.0
lambda[21,1]	0.59	0.00057	0.045	0.51	0.59	0.66	6159.0	5.3	1.0
lambda[22,1]	0.55	0.00057	0.042	0.47	0.55	0.61	5542.0	4.8	1.0
lambda[23,1]	0.48	0.00039	0.033	0.43	0.48	0.53	6928.0	6.0	1.0
lambda[24,1]	0.48	0.00062	0.051	0.39	0.48	0.56	6713.0	5.8	1.0
lambda[25,1]	0.67	0.00041	0.03	0.61	0.67	0.71	5477.0	4.7	1.0
lambda[25,2]	0.16	0.0013	0.06	0.065	0.16	0.26	2128.0	1.8	1.0
lambda[26,1]	0.61	0.00043	0.033	0.55	0.61	0.66	5962.0	5.1	1.0
lambda[26,2]	0.03	0.00051	0.03	0.00071	0.02	0.091	3369.0	2.9	1.0
lambda[27,1]	0.7	0.00033	0.027	0.65	0.7	0.74	6548.0	5.6	1.0
lambda[28,1]	0.73	0.00034	0.026	0.68	0.73	0.77	6081.0	5.2	1.0
lambda[29,1]	0.15	0.0016	0.089	0.017	0.14	0.31	3276.0	2.8	1.0
lambda[29,2]	0.56	0.001	0.069	0.44	0.57	0.66	4426.0	3.8	1.0
lambda[30,1]	0.25	0.00099	0.068	0.13	0.25	0.36	4698.0	4.0	1.0
lambda[30,2]	0.58	0.00079	0.053	0.49	0.58	0.66	4571.0	3.9	1.0
lambda[31,1]	0.41	0.0009	0.066	0.29	0.41	0.51	5392.0	4.6	1.0
lambda[31,2]	0.58	0.00078	0.055	0.48	0.58	0.67	5063.0	4.4	1.0
lambda[32,1]	0.34	0.0011	0.079	0.21	0.35	0.47	5356.0	4.6	1.0
lambda[32,2]	0.6	0.00082	0.058	0.5	0.6	0.69	4955.0	4.3	1.0
lambda[33,1]	0.66	0.00053	0.039	0.6	0.67	0.72	5403.0	4.6	1.0
lambda[33,2]	0.25	0.0011	0.067	0.14	0.25	0.36	3395.0	2.9	1.0
lambda[34,1]	0.66	0.00059	0.044	0.59	0.67	0.73	5503.0	4.7	1.0
lambda[34,2]	0.13	0.0013	0.077	0.015	0.13	0.27	3388.0	2.9	1.0
lambda[35,1]	0.55	0.0004	0.034	0.49	0.55	0.6	7235.0	6.2	1.0
lambda[36,1]	0.58	0.00042	0.034	0.53	0.58	0.64	6468.0	5.6	1.0
lambda[37,1]	0.53	0.00043	0.037	0.47	0.53	0.59	7136.0	6.1	1.0
lambda[38,1]	0.39	0.00063	0.046	0.31	0.39	0.47	5184.0	4.5	1.0
lambda[38,2]	0.62	0.0007	0.042	0.54	0.62	0.68	3527.0	3.0	1.0
lambda[39,1]	0.49	0.00061	0.042	0.42	0.49	0.55	4757.0	4.1	1.0
lambda[39,2]	0.58	0.00073	0.042	0.51	0.59	0.65	3407.0	2.9	1.0
