"k1","k2","tuominen2022","teicher2015"
"x3","x19",0.34948,0.372493
"x4","x19",0.250859,0.322515
"x5","x19",0.180922,0.387994
"x6","x19",0.323835,0.343131
"x9","x19",0.136571,0.300869
"x12","x19",0.479286,0.455395
"x13","x19",0.670678,0.405754
"x15","x19",0.313406,0.230006
"x17","x19",0.405004,0.2768
"x18","x19",0.598152,0.298584
"x19","x19",1,1
"x21","x19",0.335587,0.213162
"x24","x19",0.393577,0.332008
"x26","x19",0.212605,0.301603
"x27","x19",0.300483,0.31689
"x28","x19",0.195882,0.275744
"x29","x19",0.069548,0.182704
"x30","x19",0.299429,0.240687
"x31","x19",0.285649,0.367412
"x32","x19",0.221528,0.395899
"x33","x19",0.245307,0.290388
"x36","x19",0.55377,0.479953
"x38","x19",0.357133,0.373836
"x39","x19",0.34356,0.270963
"x40","x19",0.255115,0.422901
"x41","x19",0.311474,0.304477
"x42","x19",0.08535,-0.011112
"x43","x19",0.135235,0.106288
"x44","x19",0.20826,0.338786
"x45","x19",0.275055,0.19184
"x46","x19",0.216013,0.440741
"x47","x19",0.346821,0.458247
"x48","x19",0.202477,0.276588
"x49","x19",0.125329,0.281431
"x50","x19",0.227306,0.346123
"x51","x19",0.124818,0.240756
"x52","x19",0.249802,0.30015
"x1","x21",0.524983,0.604834
"x2","x21",0.424773,0.577281
"x3","x21",0.575574,0.623935
"x4","x21",0.502605,0.37397
"x5","x21",0.332775,0.382648
"x6","x21",0.57198,0.552949
"x9","x21",0.29423,0.375279
"x12","x21",0.311791,0.492853
"x13","x21",0.332924,0.474151
"x15","x21",0.527474,0.536275
"x17","x21",0.459007,0.478563
"x18","x21",0.444567,0.403692
"x19","x21",0.335587,0.213162
"x21","x21",1,1
"x24","x21",0.570463,0.71158
"x26","x21",0.231941,0.282543
"x27","x21",0.137354,0.1425
"x28","x21",0.15964,0.276182
"x29","x21",0.053513,0.116633
"x30","x21",0.243453,0.140374
"x31","x21",0.184673,0.279935
"x32","x21",0.165078,0.14181
"x33","x21",0.217232,0.185268
"x36","x21",0.239898,0.130401
"x38","x21",0.34088,0.295988
"x39","x21",0.333548,0.406361
"x40","x21",0.304991,0.340169
"x41","x21",0.341421,0.450044
"x42","x21",0.26122,0.153299
"x43","x21",0.29128,0.123541
"x44","x21",0.418116,0.310657
"x45","x21",0.215958,0.23073
"x46","x21",0.482464,0.33561
"x47","x21",0.377708,0.346544
"x48","x21",0.3788,0.327756
"x49","x21",0.402645,0.405527
"x50","x21",0.20533,0.215358
"x51","x21",0.367655,0.221413
"x52","x21",0.385409,0.283326
"x1","x24",0.348282,0.55716
"x2","x24",0.416295,0.53288
"x3","x24",0.471088,0.532526
"x4","x24",0.363113,0.429351
"x5","x24",0.241058,0.277845
"x6","x24",0.462083,0.519349
"x9","x24",0.281682,0.415131
"x12","x24",0.288975,0.484695
"x13","x24",0.310886,0.496559
"x15","x24",0.401041,0.446621
"x17","x24",0.233658,0.435756
"x18","x24",0.405633,0.3719
"x19","x24",0.393577,0.332008
"x21","x24",0.570463,0.71158
"x24","x24",1,1
"x26","x24",0.219051,0.13599
"x27","x24",0.375683,0.140912
"x28","x24",0.118328,0.153529
"x29","x24",0.153296,0.154317
"x30","x24",0.174554,0.263767
"x31","x24",0.30985,0.357577
"x32","x24",0.252887,0.266958
"x33","x24",0.286587,0.274438
"x36","x24",0.295815,0.212312
"x38","x24",0.444564,0.432406
"x39","x24",0.2632,0.270365
"x40","x24",0.16708,0.277484
"x41","x24",0.231508,0.371474
"x42","x24",0.220857,0.00245
"x43","x24",0.238042,-0.013208
"x44","x24",0.343063,0.260077
"x45","x24",0.213523,0.143273
"x46","x24",0.305753,0.398776
"x47","x24",0.522382,0.299674
"x48","x24",0.374015,0.311672
"x49","x24",0.306277,0.39737
"x50","x24",0.29043,0.300977
"x51","x24",0.327667,0.202057
"x52","x24",0.310489,0.256369
"x1","x26",0.426863,0.45777
"x2","x26",0.449326,0.464552
"x3","x26",0.338973,0.345773
"x4","x26",0.302176,0.217914
"x5","x26",0.250694,0.310397
"x6","x26",0.297477,0.357868
"x9","x26",0.236615,0.203092
"x12","x26",0.290726,0.282902
"x13","x26",0.227807,0.177174
"x15","x26",0.237224,0.31857
"x17","x26",0.189165,0.202856
"x18","x26",0.128958,0.081107
"x19","x26",0.212605,0.301603
"x21","x26",0.231941,0.282543
"x24","x26",0.219051,0.13599
"x26","x26",1,1
"x27","x26",0.812411,0.790837
"x28","x26",0.586653,0.61649
"x29","x26",0.513431,0.594208
"x30","x26",0.591677,0.586735
"x31","x26",0.329976,0.534474
"x32","x26",0.347194,0.404536
"x33","x26",0.395233,0.49124
"x36","x26",0.254709,0.317584
"x38","x26",0.354159,0.271596
"x39","x26",0.216183,0.25366
"x40","x26",0.372523,0.377809
"x41","x26",0.310501,0.361423
"x42","x26",0.07402,0.162764
"x43","x26",0.073392,0.07518
"x44","x26",0.046391,0.100207
"x45","x26",-0.080846,0.084931
"x46","x26",0.223874,0.308463
"x47","x26",-0.029324,0.514175
"x48","x26",0.272927,0.28655
"x49","x26",0.414658,0.319498
"x50","x26",0.269768,0.307812
"x51","x26",0.154038,0.135618
"x52","x26",0.2547,0.217195
"x1","x27",0.306712,0.346219
"x2","x27",0.515266,0.459075
"x3","x27",0.336917,0.284521
"x4","x27",0.284795,0.168363
"x5","x27",0.22479,0.282997
"x6","x27",0.253471,0.322606
"x9","x27",0.198396,0.204193
"x12","x27",0.323261,0.277107
"x13","x27",0.355448,0.267111
"x15","x27",0.247742,0.278582
"x17","x27",0.094786,0.166012
"x18","x27",0.168779,0.205894
"x19","x27",0.300483,0.31689
"x21","x27",0.137354,0.1425
"x24","x27",0.375683,0.140912
"x26","x27",0.812411,0.790837
"x27","x27",1,1
"x28","x27",0.660545,0.672499
"x29","x27",0.5634,0.666223
"x30","x27",0.523016,0.537839
"x31","x27",0.220179,0.419594
"x32","x27",0.374296,0.430328
"x33","x27",0.326791,0.445861
"x36","x27",0.319003,0.366256
"x38","x27",0.418927,0.23055
"x39","x27",0.295149,0.286596
"x40","x27",0.444274,0.357103
"x41","x27",0.295547,0.27782
"x42","x27",-0.081592,0.059145
"x43","x27",-0.018515,-0.025059
"x44","x27",-0.0311,0.056165
"x45","x27",-0.165047,0.091623
"x46","x27",0.210918,0.362557
"x47","x27",0.057748,0.541531
"x48","x27",0.324736,0.228515
"x49","x27",0.43134,0.28086
"x50","x27",0.373232,0.292989
"x51","x27",0.107531,0.055666
"x52","x27",0.2811,0.120338
"x1","x28",0.314679,0.402435
"x2","x28",0.357093,0.409577
"x3","x28",0.286614,0.324712
"x4","x28",0.310696,0.338809
"x5","x28",0.150444,0.322116
"x6","x28",0.209487,0.317608
"x9","x28",0.098509,0.174427
"x12","x28",0.325224,0.300729
"x13","x28",0.056632,0.235569
"x15","x28",0.140859,0.284707
"x17","x28",0.04211,0.297838
"x18","x28",0.04484,0.133532
"x19","x28",0.195882,0.275744
"x21","x28",0.15964,0.276182
"x24","x28",0.118328,0.153529
"x26","x28",0.586653,0.61649
"x27","x28",0.660545,0.672499
"x28","x28",1,1
"x29","x28",0.633275,0.610887
"x30","x28",0.372206,0.31557
"x31","x28",0.215943,0.297034
"x32","x28",0.347354,0.349966
"x33","x28",0.296995,0.219866
"x36","x28",0.268272,0.412381
"x38","x28",0.259549,0.210342
"x39","x28",0.248544,0.261536
"x40","x28",0.372585,0.336514
"x41","x28",0.245297,0.297572
"x42","x28",-0.048843,0.037214
"x43","x28",-0.041347,0.086173
"x44","x28",-0.027289,0.049601
"x45","x28",-0.15282,-0.011733
"x46","x28",0.173888,0.187919
"x47","x28",0.102174,0.329373
"x48","x28",0.312598,0.156874
"x49","x28",0.358081,0.229885
"x50","x28",0.347489,0.29891
"x51","x28",0.094088,0.110942
"x52","x28",0.205642,0.167438
"x1","x29",0.24878,0.215159
"x2","x29",0.413281,0.332971
"x3","x29",0.200515,0.24458
"x4","x29",0.3332,0.237801
"x5","x29",0.154477,0.318187
"x6","x29",0.134112,0.2392
"x9","x29",0.105122,0.117218
"x12","x29",0.273068,0.179811
"x13","x29",0.007317,0.197194
"x15","x29",0.102184,0.176855
"x17","x29",0.056495,0.112879
"x18","x29",0.078347,-0.041229
"x19","x29",0.069548,0.182704
"x21","x29",0.053513,0.116633
"x24","x29",0.153296,0.154317
"x26","x29",0.513431,0.594208
"x27","x29",0.5634,0.666223
"x28","x29",0.633275,0.610887
"x29","x29",1,1
"x30","x29",0.365687,0.454907
"x31","x29",0.311562,0.346008
"x32","x29",0.259665,0.289758
"x33","x29",0.233292,0.286695
"x36","x29",0.188655,0.213556
"x38","x29",0.189082,0.175666
"x39","x29",0.225516,0.166252
"x40","x29",0.35422,0.283647
"x41","x29",0.294608,0.278467
"x42","x29",-0.01452,0.053431
"x43","x29",-0.052308,0.024818
"x44","x29",-0.096629,0.088677
"x45","x29",-0.211963,0.077522
"x46","x29",0.020288,0.26137
"x47","x29",0.07404,0.290076
"x48","x29",0.23431,0.145792
"x49","x29",0.152585,0.241029
"x50","x29",0.392973,0.289116
"x51","x29",0.01828,0.088415
"x52","x29",0.143952,0.190232
"x1","x30",0.287127,0.311919
"x2","x30",0.3033,0.351066
"x3","x30",0.375462,0.346672
"x4","x30",0.233758,0.270648
"x5","x30",0.201432,0.349305
"x6","x30",0.326386,0.275032
"x9","x30",0.257423,0.156234
"x12","x30",0.25091,0.313197
"x13","x30",0.29008,0.307161
"x15","x30",0.263807,0.257461
"x17","x30",0.259162,0.288401
"x18","x30",0.392433,0.260694
"x19","x30",0.299429,0.240687
"x21","x30",0.243453,0.140374
"x24","x30",0.174554,0.263767
"x26","x30",0.591677,0.586735
"x27","x30",0.523016,0.537839
"x28","x30",0.372206,0.31557
