"k1","k2","tuominen2022","teicher2015"
"x25","x10",0.255645,0.394677
"x26","x10",0.242684,0.19167
"x27","x10",0.239045,0.147521
"x28","x10",0.066969,0.119817
"x29","x10",0.129744,0.135444
"x30","x10",0.279245,0.18495
"x31","x10",0.237749,0.251441
"x32","x10",0.182223,0.238057
"x33","x10",0.193505,0.230853
"x34","x10",0.284218,0.239697
"x35","x10",0.255015,0.136606
"x36","x10",0.255048,0.019325
"x37","x10",0.147126,0.003084
"x38","x10",0.271437,0.197958
"x39","x10",0.136776,0.198031
"x40","x10",0.187264,0.168901
"x41","x10",0.252726,0.23854
"x42","x10",0.247219,-0.046688
"x43","x10",0.114541,-0.002699
"x44","x10",0.215642,0.181099
"x45","x10",0.127183,0.144031
"x46","x10",0.290938,0.286525
"x47","x10",0.180859,0.283776
"x48","x10",0.207501,0.264023
"x49","x10",0.228602,0.24511
"x50","x10",0.185312,0.16675
"x51","x10",0.161743,0.041827
"x52","x10",0.236936,0.161849
"x1","x11",0.418099,0.504029
"x2","x11",0.400887,0.397719
"x3","x11",0.464831,0.501736
"x4","x11",0.258442,0.340074
"x5","x11",0.295157,0.304362
"x6","x11",0.497103,0.500472
"x7","x11",0.615686,0.595348
"x8","x11",0.425607,0.441029
"x9","x11",0.73458,0.773812
"x10","x11",0.594053,0.483535
"x11","x11",1,1
"x12","x11",0.169795,0.471638
"x13","x11",0.197752,0.465562
"x14","x11",0.114063,0.561538
"x15","x11",0.586316,0.377725
"x16","x11",0.430093,0.496841
"x17","x11",0.210904,0.506524
"x18","x11",0.199249,0.553285
"x19","x11",0.029682,0.336502
"x20","x11",0.087008,0.300958
"x21","x11",0.328696,0.429775
"x22","x11",0.444073,0.419698
"x23","x11",0.346015,0.447772
"x24","x11",0.272647,0.441836
"x25","x11",0.355106,0.453307
"x26","x11",0.190021,0.154977
"x27","x11",0.103996,0.203377
"x28","x11",0.05348,0.178452
"x29","x11",0.052408,0.047023
"x30","x11",0.252375,0.10544
"x31","x11",0.248194,0.246407
"x32","x11",0.207917,0.194111
"x33","x11",0.285752,0.172876
"x34","x11",0.264493,0.13248
"x35","x11",0.318221,0.150315
"x36","x11",0.208629,0.065163
"x37","x11",0.154997,0.106678
"x38","x11",0.252886,0.260495
"x39","x11",0.183255,0.26792
"x40","x11",0.204197,0.319751
"x41","x11",0.226612,0.413392
"x42","x11",0.264101,0.156051
"x43","x11",0.287016,0.197679
"x44","x11",0.278945,0.384211
"x45","x11",0.231221,0.367547
"x46","x11",0.359884,0.43222
"x47","x11",0.271732,0.461927
"x48","x11",0.208518,0.250672
"x49","x11",0.252519,0.351653
"x50","x11",0.157877,0.151236
"x51","x11",0.221623,0.234354
"x52","x11",0.247491,0.274254
"x1","x12",0.211599,0.563491
"x2","x12",0.323597,0.567054
"x3","x12",0.377225,0.503412
"x4","x12",0.447262,0.476526
"x5","x12",0.383195,0.536404
"x6","x12",0.345254,0.525656
"x7","x12",0.357301,0.504273
"x8","x12",0.405334,0.534321
"x9","x12",0.069409,0.375714
"x10","x12",0.247527,0.309468
"x11","x12",0.169795,0.471638
"x12","x12",1,1
"x13","x12",0.672082,0.811711
"x14","x12",0.509173,0.790154
"x15","x12",0.306651,0.362155
"x16","x12",0.241811,0.425906
"x17","x12",0.61979,0.799502
"x18","x12",0.476073,0.678525
"x19","x12",0.440611,0.432274
"x20","x12",0.492007,0.443868
"x21","x12",0.297215,0.471808
"x22","x12",0.323675,0.432428
"x23","x12",0.248673,0.461284
"x24","x12",0.271505,0.485004
"x25","x12",0.289677,0.428558
"x26","x12",0.282944,0.274227
"x27","x12",0.310113,0.274359
"x28","x12",0.323931,0.286491
"x29","x12",0.260881,0.179528
"x30","x12",0.248035,0.303373
"x31","x12",0.174718,0.368904
"x32","x12",0.256215,0.403854
"x33","x12",0.288216,0.28516
"x34","x12",0.169633,0.30809
"x35","x12",0.418188,0.420767
"x36","x12",0.490127,0.267039
"x37","x12",0.397919,0.297771
"x38","x12",0.486737,0.447994
"x39","x12",0.346403,0.285755
"x40","x12",0.247013,0.439904
"x41","x12",0.413891,0.554227
"x42","x12",0.259998,0.169109
"x43","x12",0.249572,0.247398
"x44","x12",0.456037,0.478986
"x45","x12",0.3236,0.407794
"x46","x12",0.260192,0.552998
"x47","x12",0.486406,0.463651
"x48","x12",0.302189,0.342065
"x49","x12",0.307842,0.385525
"x50","x12",0.295809,0.406659
"x51","x12",0.384796,0.44483
"x52","x12",0.44503,0.477234
"x1","x13",0.197714,0.47114
"x2","x13",0.330006,0.547925
"x3","x13",0.33215,0.48612
"x4","x13",0.288997,0.398586
"x5","x13",0.076148,0.572111
"x6","x13",0.30194,0.430478
"x7","x13",0.434962,0.574177
"x8","x13",0.396925,0.573328
"x9","x13",0.152565,0.388201
"x10","x13",0.362585,0.320135
"x11","x13",0.197752,0.465562
"x12","x13",0.672082,0.811711
"x13","x13",1,1
"x14","x13",0.776825,0.8495
"x15","x13",0.320492,0.163775
"x16","x13",0.350086,0.383331
"x17","x13",0.449758,0.645824
"x18","x13",0.613461,0.685076
"x19","x13",0.607494,0.406137
"x20","x13",0.614123,0.315259
"x21","x13",0.308427,0.423809
"x22","x13",0.445343,0.424061
"x23","x13",0.265924,0.486461
"x24","x13",0.245523,0.471072
"x25","x13",0.425369,0.441781
"x26","x13",0.264014,0.191125
"x27","x13",0.390513,0.275735
"x28","x13",0.093196,0.205687
"x29","x13",0.031432,0.200248
"x30","x13",0.311592,0.323868
"x31","x13",0.000177,0.310976
"x32","x13",0.188804,0.262499
"x33","x13",0.104997,0.275644
"x34","x13",0.170931,0.343672
"x35","x13",0.215497,0.416927
"x36","x13",0.437741,0.067509
"x37","x13",0.394161,0.110946
"x38","x13",0.348193,0.390146
"x39","x13",0.332007,0.337131
"x40","x13",0.32446,0.46153
"x41","x13",0.31517,0.514424
"x42","x13",0.235363,0.236821
"x43","x13",0.248131,0.39917
"x44","x13",0.313094,0.435123
"x45","x13",0.295102,0.397296
"x46","x13",0.209191,0.595305
"x47","x13",0.267062,0.4388
"x48","x13",0.117286,0.364815
"x49","x13",0.274582,0.390947
"x50","x13",0.22034,0.374291
"x51","x13",0.364105,0.451066
"x52","x13",0.357144,0.51186
"x1","x14",0.115108,0.430963
"x2","x14",0.095256,0.397769
"x3","x14",0.132494,0.485723
"x4","x14",0.212067,0.356595
"x5","x14",0.055594,0.501129
"x6","x14",0.275622,0.487852
"x7","x14",0.358465,0.523757
"x8","x14",0.233513,0.570583
"x9","x14",0.08848,0.472056
"x10","x14",0.338703,0.413527
"x11","x14",0.114063,0.561538
"x12","x14",0.509173,0.790154
"x13","x14",0.776825,0.8495
"x14","x14",1,1
"x15","x14",0.35731,0.22513
"x16","x14",0.165653,0.430207
"x17","x14",0.436851,0.714525
"x18","x14",0.489674,0.745935
"x19","x14",0.646367,0.348935
"x20","x14",0.663296,0.335914
"x21","x14",0.235145,0.456282
"x22","x14",0.289624,0.503402
"x23","x14",0.112408,0.599155
"x24","x14",0.250963,0.503606
"x25","x14",0.299129,0.543123
"x26","x14",0.119257,0.22683
"x27","x14",0.265496,0.265785
"x28","x14",-0.064838,0.301932
"x29","x14",-0.116685,0.247912
"x30","x14",0.22741,0.288432
"x31","x14",0.097722,0.3435
"x32","x14",0.116604,0.358098
"x33","x14",0.184491,0.334951
"x34","x14",0.183031,0.395056
"x35","x14",0.257721,0.441575
"x36","x14",0.428298,0.022545
"x37","x14",0.358421,0.092208
"x38","x14",0.247174,0.316662
"x39","x14",0.279118,0.301208
"x40","x14",0.245592,0.343936
"x41","x14",0.302195,0.433199
"x42","x14",0.129203,0.305557
"x43","x14",0.143713,0.377113
"x44","x14",0.305278,0.494611
"x45","x14",0.14571,0.425076
"x46","x14",0.224506,0.553509
"x47","x14",0.327722,0.521626
"x48","x14",0.004038,0.225062
"x49","x14",0.255465,0.303854
"x50","x14",0.135279,0.382732
"x51","x14",0.163248,0.465895
"x52","x14",0.245493,0.54612
"x1","x15",0.418044,0.558833
"x2","x15",0.454516,0.528898
"x3","x15",0.542666,0.640741
"x4","x15",0.431275,0.343814
"x5","x15",0.378373,0.34993
"x6","x15",0.583866,0.756875
"x7","x15",0.708181,0.555958
"x8","x15",0.421596,0.505069
"x9","x15",0.46279,0.307954
"x10","x15",0.479529,0.219096
"x11","x15",0.586316,0.377725
"x12","x15",0.306651,0.362155
"x13","x15",0.320492,0.163775
"x14","x15",0.35731,0.22513
"x15","x15",1,1
"x16","x15",0.66523,0.658989
"x17","x15",0.504389,0.303218
"x18","x15",0.496403,0.294043
"x19","x15",0.246126,0.204891
"x20","x15",0.223296,0.15962
"x21","x15",0.507843,0.508423
"x22","x15",0.539526,0.420367
"x23","x15",0.417858,0.321016
"x24","x15",0.358453,0.401076
"x25","x15",0.473203,0.319963
"x26","x15",0.261817,0.300636
"x27","x15",0.289171,0.272755
"x28","x15",0.150107,0.260633
"x29","x15",0.111382,0.154085
"x30","x15",0.272715,0.243733
"x31","x15",0.283117,0.245592
"x32","x15",0.187669,0.328994
"x33","x15",0.241364,0.288317
"x34","x15",0.242746,0.286844
"x35","x15",0.228058,0.271
"x36","x15",0.214785,0.21845
"x37","x15",0.122374,0.247961
"x38","x15",0.432795,0.289486
"x39","x15",0.285205,0.321265
"x40","x15",0.317828,0.408562
"x41","x15",0.336102,0.336777
"x42","x15",0.207696,0.081841
"x43","x15",0.286481,0.056361
"x44","x15",0.340378,0.259497
"x45","x15",0.222484,0.292743
"x46","x15",0.421513,0.260834
"x47","x15",0.406366,0.371797
"x48","x15",0.317469,0.26752
"x49","x15",0.331194,0.263563
"x50","x15",0.213628,0.337645
"x51","x15",0.287457,0.154521
"x52","x15",0.360271,0.3244
"x1","x16",0.276879,0.618301
"x2","x16",0.298685,0.615114
"x3","x16",0.389888,0.666249
"x4","x16",0.250524,0.444361
"x5","x16",0.230562,0.371745
"x6","x16",0.236394,0.671426
"x7","x16",0.521998,0.686021
"x8","x16",0.531734,0.761748
"x9","x16",0.177408,0.291659
"x10","x16",0.276769,0.268086
"x11","x16",0.430093,0.496841
"x12","x16",0.241811,0.425906
"x13","x16",0.350086,0.383331
"x14","x16",0.165653,0.430207
"x15","x16",0.66523,0.658989
"x16","x16",1,1
"x17","x16",0.447479,0.380093
"x18","x16",0.691469,0.319024
"x19","x16",0.379628,0.364282
"x20","x16",0.227265,0.245475
"x21","x16",0.441967,0.504931
"x22","x16",0.461791,0.545956
"x23","x16",0.385638,0.566097
"x24","x16",0.202296,0.453365
"x25","x16",0.465789,0.564291
"x26","x16",0.032856,0.343936
"x27","x16",0.067483,0.361363
"x28","x16",0.02265,0.383648
"x29","x16",-0.007903,0.342399
"x30","x16",0.144378,0.278152
"x31","x16",0.292068,0.423986
"x32","x16",0.099623,0.293772
"x33","x16",-0.045088,0.233402
"x34","x16",0.177572,0.311711
"x35","x16",0.19675,0.348198
"x36","x16",0.302154,-0.004936
"x37","x16",0.133433,-0.028267
"x38","x16",0.193887,0.324453
"x39","x16",0.156351,0.222799
"x40","x16",0.118642,0.446651
"x41","x16",0.13397,0.521068
"x42","x16",0.226237,0.016591
"x43","x16",0.299047,0.075697
"x44","x16",0.186739,0.300961
