subject,item,item_id,subscale,response,n_years
06bbq91suy80q9j76pm6zjm6,49,Financial_pressure,NVEA,1.0,10.0
06bbq91suy80q9j76pm6zjm6,50,Kept_secrets,NVEA,0.0,0.0
06bbq91suy80q9j76pm6zjm6,51,Looked_out_each_other,PN,1.0,18.0
06bbq91suy80q9j76pm6zjm6,52,Fam_strength,EN,1.0,18.0
0ddozbstshs0yud86h4ws2e6,1,Swore,PVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,2,Hurtful,PVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,3,Afraid,PVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,4,Leave,PVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,5,Closet,NVEA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,6,Pushed,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,7,Hit,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,8,Hit_med,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,9,Spank_open,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,10,Spanked_bare,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,11,Spanked_strap,PPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,12,Sex_comment,SexA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,13,Fondled,SexA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,14,Touch_them,SexA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,15,Push_sib,WSV,,
0ddozbstshs0yud86h4ws2e6,16,Hit_sib_med,WSV,,
0ddozbstshs0yud86h4ws2e6,17,Sex_comment_sib,WSV,,
0ddozbstshs0yud86h4ws2e6,18,Fondled_sib,WSV,,
0ddozbstshs0yud86h4ws2e6,19,o_fondled,SexA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,20,o_intercourse,SexA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,21,Adults_push_m,WIPV,0.0,0.0
0ddozbstshs0yud86h4ws2e6,22,Adults_hit_m,WIPV,0.0,0.0
0ddozbstshs0yud86h4ws2e6,23,Adults_hit_med_m,WIPV,0.0,0.0
0ddozbstshs0yud86h4ws2e6,24,Adults_push_f,WIPV,0.0,0.0
0ddozbstshs0yud86h4ws2e6,25,Adults_hit_f,WIPV,0.0,0.0
0ddozbstshs0yud86h4ws2e6,26,peer_swore,PeerVA,1.0,7.0
0ddozbstshs0yud86h4ws2e6,27,Peer_hurtful,PeerVA,1.0,7.0
0ddozbstshs0yud86h4ws2e6,28,Peer_Rumors,PeerVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,29,Peer_Excluded,PeerVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,30,Peer_afraid,PeerVA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,31,Peer_threat_money,PeerPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,32,Peer_forced,PeerPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,33,Peer_pushed,PeerPhysA,1.0,5.0
0ddozbstshs0yud86h4ws2e6,34,Peer_hit,PeerPhysA,1.0,5.0
0ddozbstshs0yud86h4ws2e6,35,Peer_hit_med,PeerPhysA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,36,Peer_forced_sex,SexA,1.0,1.0
0ddozbstshs0yud86h4ws2e6,37,Peer_sex_not_want,SexA,1.0,1.0
0ddozbstshs0yud86h4ws2e6,38,M_unavail_poor,EN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,39,F_unavail_poor,EN,1.0,1.0
0ddozbstshs0yud86h4ws2e6,40,P_diff_please,NVEA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,41,P_no_time,NVEA,0.0,0.0
0ddozbstshs0yud86h4ws2e6,42,P_loved_you,EN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,43,P_special,EN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,44,P_protect,PN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,45,P_ER,PN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,46,No_food,PN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,47,Dirty_clothes,PN,0.0,0.0
0ddozbstshs0yud86h4ws2e6,48,Adult_resposibility,NVEA,0.0,0.0
