k1,k2,obs,pred,pval
13,8,0.029932395847317536,-0.00023649241354182233,0.70525
13,9,0.1601136742305016,1.2084735136890088e-05,0.99675
13,10,0.018873237625869024,0.0005118432138832749,0.63175
13,11,-0.04333753328907855,4.273191183826378e-05,0.2295
13,12,0.06886622844287464,4.8127174722424505e-05,0.90275
14,0,-0.017509709850086482,-3.633305617106776e-05,0.345
14,1,0.0023873024496070187,0.0010875286213334848,0.503
14,2,0.06164334391475504,0.00018018770339381582,0.9095
14,3,-0.012654548769814563,-0.0008171205118831928,0.42
14,4,-0.056878639650153454,0.00011667076917111339,0.1525
14,5,0.04325664718344652,-0.0017612245105313622,0.8165
14,6,0.03397362956525942,-0.0007903089014950096,0.78425
14,7,-0.03553249241021847,-0.00023306005542793857,0.26475
14,8,0.041011287785050955,-0.0008636744536072981,0.78425
14,9,0.02581195749846194,0.0010356262536531295,0.6755
14,10,-0.11030048119301437,6.618957949829543e-05,0.029
14,11,-0.0206022926913987,0.0004969293275099595,0.39225
14,12,0.10681091580826818,-0.0004640938261931399,0.9705
14,13,0.22560827342248305,0.0009698391359738149,0.99975
15,0,0.02092294294342649,0.0007465748866944038,0.67975
15,1,0.008291334771562917,-0.00011973769127877682,0.5705
15,2,-0.11248814340251455,3.6541713298092895e-05,0.00525
15,3,-0.027405757804369088,0.0011618976119695177,0.2405
15,4,0.005551420762901413,0.0005784551155126451,0.54525
15,5,-0.08310737026040128,0.0006857550379131469,0.027
15,6,-0.01740227178841835,-0.00024281335049008084,0.34725
15,7,0.0064989749439097085,0.00037236906185244715,0.5475
15,8,-0.01846081769918888,-0.000416084628792802,0.3065
15,9,-0.034431208967769265,-0.00032305418576761036,0.20475
15,10,0.02840345957513316,-1.9611767514279832e-05,0.76725
15,11,-0.010802996074180322,-0.0003165401212253509,0.37125
15,12,-0.014851587673835013,-0.0005198499178499652,0.34775
15,13,-0.05750497279104317,0.0007892261731643807,0.0745
15,14,-0.035779069017750235,6.410039061051201e-05,0.1775
16,0,-0.11501893872584618,9.476404025198897e-05,0.00425
16,1,0.07825072859384166,-0.0009803960179480984,0.95275
16,2,-0.10754153046269561,-0.0002427556182351634,0.00625
16,3,-0.06650032620643591,-0.0008321845593684886,0.04875
16,4,0.018026441751850204,0.001051615690635591,0.66825
16,5,-0.1194725830109013,1.6243868107104244e-05,0.002
16,6,-0.07940090756889404,0.0006240005471198658,0.03125
16,7,0.033844160670771194,-0.000555452925994641,0.83225
16,8,0.04559016735953345,0.0001297943029275906,0.90925
16,9,-0.0056304140230162185,-0.00025709410766319116,0.4425
16,10,0.03941235854768541,-0.0003620264715197619,0.87525
16,11,0.02150773148032709,0.00018883642192412794,0.68675
16,12,0.016985744529494688,0.00016134410914606204,0.6675
16,13,-0.11262351570323798,-0.0005008774037331066,0.00125
16,14,0.025540018231282987,-0.0001258101660028815,0.753
16,15,0.502287683097283,-0.0011452451515843712,1.0
17,0,-0.015063974279861088,0.000351792461421301,0.36975
17,1,-0.011837928851488544,-0.00011108453696742338,0.39925
17,2,-0.06661737435811052,0.0015144993082044388,0.07075
17,3,0.015252061484856442,-0.0005855991052320452,0.64825
17,4,-0.016560298813594203,-0.0011245283080104354,0.354
17,5,-0.10686390583162483,-0.0009618502254069884,0.0065
17,6,-0.08642203850440097,-0.00022842763006534198,0.0195
17,7,0.0669044467562022,0.0005789007334964775,0.95025
17,8,-0.10209921279906019,-0.0010125194795398984,0.009
17,9,-0.0517078874088805,-8.0414617377464e-05,0.1215
17,10,-0.04255304079204312,0.0005151010136367657,0.15725
17,11,-0.05807336119299205,-0.00014256646265548855,0.08825
