item,subject,response,y_hat,y_pred,loo,ku
0,1194,0.0,0.45825,0.547525,-0.669338,0.057959
0,1195,1.0,0.4895,0.487754,-0.797904,0.024333
0,1196,0.0,0.10475,0.899241,-0.113674,0.16018
0,1197,1.0,0.93325,0.933421,-0.070975,0.004475
0,1198,0.0,0.4385,0.55948,-0.64496,0.234992
0,1199,1.0,0.8485,0.857688,-0.160561,0.09554
0,1200,0.0,0.0835,0.92508,-0.082715,0.180301
0,1201,0.0,0.19125,0.801473,-0.241899,0.187983
0,1202,0.0,0.05575,0.950277,-0.053822,0.071265
0,1203,0.0,0.16475,0.829155,-0.201947,0.153922
0,1205,0.0,0.2985,0.70478,-0.382481,0.156054
0,1206,1.0,0.625,0.613473,-0.53039,0.202884
0,1207,0.0,0.132,0.866684,-0.153708,0.159764
0,1208,0.0,0.0455,0.950077,-0.053831,0.133339
0,1209,1.0,0.81525,0.807735,-0.225747,0.048998
0,1210,1.0,0.68325,0.694433,-0.392191,0.059318
0,1211,1.0,0.35125,0.349624,-1.198591,0.291732
0,1212,0.0,0.0265,0.971554,-0.030118,0.309038
0,1213,1.0,0.7715,0.779491,-0.265579,0.092772
0,1214,1.0,0.22225,0.220195,-1.780789,0.281418
0,1215,0.0,0.49625,0.498392,-0.776344,0.334292
0,1216,1.0,0.758,0.764397,-0.286889,0.10487
0,1217,0.0,0.04225,0.95579,-0.047459,0.168456
0,1218,0.0,0.1955,0.808407,-0.231178,0.121538
0,1219,0.0,0.11075,0.874828,-0.143065,0.039844
0,1220,1.0,0.25425,0.253876,-1.627059,0.118862
0,1221,0.0,0.04475,0.956771,-0.046109,0.132933
0,1223,0.0,0.03975,0.961842,-0.040631,0.121236
0,1225,0.0,0.164,0.838357,-0.190624,0.08066
0,1226,0.0,0.67175,0.334661,-1.232864,0.288697
0,1227,1.0,0.5285,0.525319,-0.713433,0.16444
0,1228,1.0,0.5635,0.570788,-0.613837,0.128826
0,1229,0.0,0.51925,0.486075,-0.796836,0.12142
0,1230,1.0,0.749,0.738429,-0.324597,0.184447
0,1231,1.0,0.2765,0.279566,-1.487289,0.300026
0,1232,1.0,0.7755,0.785035,-0.256439,0.067885
0,1233,0.0,0.67175,0.33565,-1.226643,0.097879
0,1234,0.0,0.03025,0.97138,-0.030255,0.121318
0,1235,1.0,0.6805,0.684211,-0.408829,0.138187
0,1236,0.0,0.544,0.463646,-0.858489,0.136588
0,1237,0.0,0.0555,0.941606,-0.063322,0.147404
0,1238,0.0,0.12525,0.8814,-0.135233,0.233698
0,1239,0.0,0.023,0.972165,-0.029264,0.070741
0,1240,0.0,0.03825,0.961432,-0.041202,0.056022
0,1241,1.0,0.41875,0.419936,-0.977325,0.222572
0,1243,1.0,0.60475,0.593733,-0.56955,0.100141
0,1244,1.0,0.89575,0.885218,-0.127035,0.045812
0,1245,1.0,0.492,0.501718,-0.773617,0.132268
0,1246,0.0,0.24725,0.754225,-0.30814,0.11459
0,1247,1.0,0.837,0.832799,-0.193329,0.166331
0,1248,0.0,0.492,0.512946,-0.741461,0.11452
0,1249,1.0,0.797,0.792671,-0.24657,0.070902
0,1250,1.0,0.31975,0.315656,-1.352738,0.215849
0,1251,0.0,0.4535,0.527832,-0.707565,0.026244
0,1252,0.0,0.208,0.792329,-0.253047,0.087192
0,1253,1.0,0.902,0.905849,-0.103062,0.021951
0,1254,0.0,0.33875,0.654136,-0.465272,0.062481
0,1255,1.0,0.81125,0.809656,-0.223227,0.111595
0,1256,1.0,0.5005,0.490707,-0.793079,0.119291
0,1258,1.0,0.7765,0.792968,-0.247323,0.173175
0,1259,0.0,0.04425,0.956631,-0.046453,0.025485
0,1260,0.0,0.10075,0.899883,-0.112627,0.074749
0,1261,1.0,0.60375,0.60132,-0.559609,0.225612
0,1262,0.0,0.2435,0.759926,-0.29816,0.101631
0,1263,0.0,0.22175,0.775181,-0.277597,0.162629
0,1264,0.0,0.1215,0.888477,-0.127249,0.113175
0,1265,0.0,0.38725,0.613578,-0.540085,0.11912
0,1266,1.0,0.244,0.245575,-1.650121,0.266277
0,1267,0.0,0.02775,0.971777,-0.029819,0.232332
0,1268,1.0,0.33,0.341624,-1.238355,0.087169
0,1269,1.0,0.70275,0.70974,-0.369689,0.178
0,1270,0.0,0.1675,0.831165,-0.200176,0.122989
0,1271,1.0,0.4975,0.4964,-0.783368,-0.004933
0,1272,0.0,0.0495,0.958003,-0.045037,0.109073
0,1273,0.0,0.434,0.556536,-0.648386,0.253719
0,1274,1.0,0.413,0.415077,-0.994711,0.326754
0,1275,0.0,0.77825,0.219185,-1.725915,0.103995
0,1276,0.0,0.17525,0.826451,-0.205858,0.092983
0,1278,1.0,0.729,0.726093,-0.34351,0.161116
0,1279,1.0,0.60975,0.606133,-0.55174,0.19309
0,1281,0.0,0.342,0.657647,-0.46083,0.000548
0,1282,0.0,0.0785,0.929563,-0.077534,0.149067
0,1283,0.0,0.34925,0.646509,-0.480351,0.107266
0,1285,0.0,0.069,0.927774,-0.079293,0.017072
0,1286,0.0,0.7345,0.27347,-1.459726,0.274812
0,1287,1.0,0.47125,0.480077,-0.823373,0.132176
0,1288,1.0,0.7955,0.802615,-0.233827,0.179481
0,1289,0.0,0.35575,0.647577,-0.483168,0.215754
0,1290,1.0,0.5875,0.573433,-0.611656,0.167271
0,1291,1.0,0.8555,0.843765,-0.178659,0.16218
0,1292,1.0,0.60675,0.59998,-0.561308,0.081933
0,1293,0.0,0.474,0.518706,-0.731379,0.066707
0,1294,0.0,0.34875,0.65351,-0.468112,0.140546
0,1296,1.0,0.705,0.702755,-0.380171,0.005424
0,1297,0.0,0.0585,0.940428,-0.064681,0.114095
0,1299,1.0,0.27175,0.282229,-1.484338,0.269869
0,1300,0.0,0.57275,0.446055,-0.901574,0.201347
0,1301,0.0,0.119,0.881373,-0.135428,0.155135
0,1302,1.0,0.46675,0.468695,-0.844064,4.7e-05
0,1303,1.0,0.44025,0.434073,-0.946396,0.258965
0,1304,0.0,0.2385,0.765135,-0.291791,0.211416
0,1305,0.0,0.6035,0.396384,-1.039948,0.159355
0,1306,0.0,0.305,0.688408,-0.407452,0.252432
0,1307,0.0,0.14175,0.852112,-0.172357,0.119282
0,1309,0.0,0.272,0.735391,-0.335876,0.23934
