	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
tau_pr[89]	14.0	0.2	14.0	0.74	9.9	42.0	5144.0	11.0	1.0
tau_pr[90]	14.0	0.19	15.0	0.65	9.4	44.0	5656.0	12.0	1.0
tau_pr[91]	14.0	0.18	14.0	0.66	9.8	42.0	6014.0	13.0	1.0
lambda[1,1]	0.74	0.00061	0.034	0.68	0.74	0.79	3026.0	6.7	1.0
lambda[2,1]	0.76	0.00054	0.032	0.7	0.76	0.81	3352.0	7.4	1.0
lambda[3,1]	0.81	0.00045	0.026	0.77	0.81	0.85	3390.0	7.5	1.0
lambda[4,1]	0.67	0.00068	0.041	0.59	0.67	0.73	3717.0	8.2	1.0
lambda[5,1]	0.55	0.0013	0.078	0.42	0.56	0.67	3403.0	7.5	1.0
lambda[6,1]	0.72	0.00054	0.028	0.67	0.72	0.76	2712.0	6.0	1.0
lambda[7,1]	0.4	0.00064	0.041	0.33	0.4	0.46	4210.0	9.3	1.0
lambda[8,1]	0.63	0.00085	0.051	0.54	0.63	0.71	3624.0	8.0	1.0
lambda[9,1]	0.56	0.0011	0.068	0.44	0.56	0.66	3833.0	8.5	1.0
lambda[10,1]	0.61	0.00075	0.045	0.54	0.62	0.68	3560.0	7.9	1.0
lambda[11,1]	0.62	0.0013	0.075	0.49	0.63	0.73	3313.0	7.3	1.0
lambda[12,1]	0.52	0.0026	0.13	0.26	0.55	0.7	2570.0	5.7	1.0
lambda[13,1]	0.48	0.0012	0.069	0.37	0.49	0.59	3500.0	7.7	1.0
lambda[14,1]	0.64	0.00072	0.04	0.57	0.64	0.7	3121.0	6.9	1.0
lambda[15,1]	0.58	0.00095	0.053	0.49	0.58	0.66	3163.0	7.0	1.0
lambda[16,1]	0.55	0.00069	0.044	0.47	0.55	0.62	3980.0	8.8	1.0
lambda[17,1]	0.54	0.00064	0.042	0.47	0.54	0.61	4324.0	9.5	1.0
lambda[18,1]	0.45	0.00075	0.047	0.37	0.45	0.53	3964.0	8.7	1.0
lambda[19,1]	0.36	0.0008	0.051	0.27	0.36	0.44	4028.0	8.9	1.0
lambda[20,1]	0.56	0.0008	0.049	0.48	0.56	0.64	3793.0	8.4	1.0
lambda[21,1]	0.47	0.0013	0.072	0.34	0.48	0.58	3146.0	6.9	1.0
lambda[22,1]	0.51	0.00084	0.055	0.42	0.52	0.6	4336.0	9.6	1.0
lambda[23,1]	0.52	0.00073	0.045	0.45	0.52	0.59	3753.0	8.3	1.0
lambda[24,1]	0.49	0.00093	0.059	0.39	0.49	0.58	4034.0	8.9	1.0
lambda[25,1]	0.77	0.0005	0.031	0.72	0.77	0.81	3830.0	8.5	1.0
lambda[26,1]	0.6	0.00071	0.044	0.52	0.6	0.67	3798.0	8.4	1.0
lambda[27,1]	0.68	0.00061	0.038	0.61	0.68	0.74	3801.0	8.4	1.0
lambda[28,1]	0.7	0.00063	0.037	0.63	0.7	0.76	3501.0	7.7	1.0
lambda[29,1]	0.63	0.00088	0.053	0.54	0.64	0.71	3630.0	8.0	1.0
lambda[30,1]	0.58	0.00081	0.049	0.5	0.59	0.66	3708.0	8.2	1.0
lambda[31,1]	0.68	0.00076	0.043	0.6	0.68	0.75	3194.0	7.0	1.0
lambda[32,1]	0.54	0.0012	0.071	0.41	0.54	0.65	3586.0	7.9	1.0
lambda[33,1]	0.65	0.00084	0.05	0.56	0.65	0.72	3501.0	7.7	1.0
lambda[34,1]	0.63	0.0011	0.063	0.52	0.63	0.72	3134.0	6.9	1.0
lambda[35,1]	0.65	0.00069	0.04	0.58	0.65	0.72	3322.0	7.3	1.0
lambda[36,1]	0.56	0.00068	0.044	0.48	0.56	0.63	4138.0	9.1	1.0
lambda[37,1]	0.49	0.00078	0.05	0.4	0.49	0.57	4022.0	8.9	1.0
lambda[38,1]	0.71	0.0007	0.038	0.64	0.71	0.77	2901.0	6.4	1.0
lambda[39,1]	0.8	0.00054	0.029	0.75	0.8	0.84	2847.0	6.3	1.0
