k1,k2,sk,pval
14.0,9.0,0.678188,0.468
14.0,10.0,0.712753,0.6555
14.0,11.0,0.74851,0.38575
14.0,12.0,0.733015,0.1595
14.0,13.0,0.738975,0.3345
15.0,0.0,0.718713,0.68425
15.0,1.0,0.619785,0.70975
15.0,2.0,0.717521,0.549
15.0,3.0,0.873659,0.79275
15.0,4.0,0.951132,0.374
15.0,5.0,0.712753,0.71475
15.0,6.0,0.866508,0.83725
15.0,7.0,0.973778,0.9845
15.0,8.0,0.367104,0.362
15.0,9.0,0.771156,0.6215
15.0,10.0,0.762813,0.599
15.0,11.0,0.946365,0.22925
15.0,12.0,0.957092,0.3365
15.0,13.0,0.970203,0.50275
15.0,14.0,0.759237,0.69525
16.0,0.0,0.711561,0.61125
16.0,1.0,0.612634,0.64025
16.0,2.0,0.703218,0.30725
16.0,3.0,0.871275,0.79775
16.0,4.0,0.951132,0.37175
16.0,5.0,0.700834,0.52975
16.0,6.0,0.849821,0.4905
16.0,7.0,0.954708,0.32475
16.0,8.0,0.367104,0.44275
16.0,9.0,0.77354,0.70575
16.0,10.0,0.760429,0.59075
16.0,11.0,0.967819,0.986
16.0,12.0,0.966627,0.80475
16.0,13.0,0.982122,0.95925
16.0,14.0,0.742551,0.42725
16.0,15.0,0.969011,0.56325
17.0,0.0,0.706794,0.56575
17.0,1.0,0.607867,0.6435
17.0,2.0,0.703218,0.4
17.0,3.0,0.871275,0.77325
17.0,4.0,0.9559,0.3595
17.0,5.0,0.698451,0.5485
17.0,6.0,0.854589,0.65175
17.0,7.0,0.961859,0.47125
17.0,8.0,0.362336,0.44775
17.0,9.0,0.77354,0.67775
17.0,10.0,0.760429,0.607
17.0,11.0,0.960667,0.7525
17.0,12.0,0.973778,0.90225
17.0,13.0,0.989273,0.99075
17.0,14.0,0.742551,0.4895
17.0,15.0,0.973778,0.57075
17.0,16.0,0.990465,0.99675
18.0,0.0,0.706387,0.32425
18.0,1.0,0.626311,0.33975
18.0,2.0,0.714013,0.3175
18.0,3.0,0.819828,0.50625
18.0,4.0,0.887512,0.731
18.0,5.0,0.709524,0.5745
18.0,6.0,0.805714,0.15225
18.0,7.0,0.878095,0.2745
18.0,8.0,0.431429,0.7385
18.0,9.0,0.740952,0.6665
18.0,10.0,0.748571,0.7775
18.0,11.0,0.887619,0.6205
18.0,12.0,0.890476,0.629
18.0,13.0,0.892381,0.51975
18.0,14.0,0.714797,0.109
18.0,15.0,0.889021,0.527
18.0,16.0,0.884248,0.39325
18.0,17.0,0.886635,0.38875
19.0,0.0,0.700667,0.5455
19.0,1.0,0.603432,0.47525
19.0,2.0,0.702574,0.38175
19.0,3.0,0.84652,0.48725
19.0,4.0,0.937083,0.5245
19.0,5.0,0.692381,0.39175
19.0,6.0,0.83619,0.4405
19.0,7.0,0.939048,0.47875
19.0,8.0,0.385714,0.5625
19.0,9.0,0.76,0.612
19.0,10.0,0.75619,0.70625
19.0,11.0,0.940952,0.74875
19.0,12.0,0.94381,0.5655
19.0,13.0,0.955238,0.64475
19.0,14.0,0.731504,0.3555
19.0,15.0,0.948687,0.55275
19.0,16.0,0.951074,0.58225
19.0,17.0,0.958234,0.667
19.0,18.0,0.927619,1.0
20.0,0.0,0.747619,0.89825
20.0,1.0,0.661905,0.6545
20.0,2.0,0.755238,0.86825
20.0,3.0,0.819048,0.43175
20.0,4.0,0.873333,0.69325
20.0,5.0,0.734539,0.79325
20.0,6.0,0.823977,0.4605
20.0,7.0,0.882969,0.81075
20.0,8.0,0.443387,0.58625
20.0,9.0,0.732636,0.353
20.0,10.0,0.764986,0.91675
20.0,11.0,0.87726,0.68825
20.0,12.0,0.876308,0.576
20.0,13.0,0.882017,0.67425
20.0,14.0,0.76758,0.916
20.0,15.0,0.884386,0.825
20.0,16.0,0.879619,0.72875
20.0,17.0,0.877235,0.5945
20.0,18.0,0.82,0.25
20.0,19.0,0.858095,0.398
21.0,0.0,0.721905,0.749
21.0,1.0,0.626667,0.691
21.0,2.0,0.733333,0.817
21.0,3.0,0.842857,0.29525
21.0,4.0,0.929524,0.492
21.0,5.0,0.716461,0.70875
21.0,6.0,0.857279,0.8605
21.0,7.0,0.944814,0.895
21.0,8.0,0.394862,0.43375
21.0,9.0,0.758325,0.4405
21.0,10.0,0.764034,0.7055
21.0,11.0,0.931494,0.5905
21.0,12.0,0.938154,0.5965
21.0,13.0,0.949572,0.75325
21.0,14.0,0.750894,0.59475
21.0,15.0,0.946365,0.77425
21.0,16.0,0.943981,0.69125
21.0,17.0,0.946365,0.61975
21.0,18.0,0.866667,0.339
21.0,19.0,0.921905,0.43225
21.0,20.0,0.921028,0.89275
22.0,0.0,0.708571,0.6075
22.0,1.0,0.609524,0.56075
22.0,2.0,0.72,0.70025
22.0,3.0,0.85619,0.512
22.0,4.0,0.948571,0.59675
22.0,5.0,0.701237,0.478
22.0,6.0,0.85157,0.628
22.0,7.0,0.960038,0.89125
22.0,8.0,0.383444,0.50275
22.0,9.0,0.773549,0.73475
22.0,10.0,0.764034,0.69025
22.0,11.0,0.946717,0.60375
22.0,12.0,0.957184,0.745
22.0,13.0,0.970504,0.89825
22.0,14.0,0.744934,0.50175
22.0,15.0,0.964243,0.79325
22.0,16.0,0.964243,0.7635
22.0,17.0,0.969011,0.77
22.0,18.0,0.881905,0.47175
22.0,19.0,0.944762,0.67275
22.0,20.0,0.900095,0.675
22.0,21.0,0.973359,0.9985
23.0,0.0,0.730476,0.67675
23.0,1.0,0.646667,0.62675
23.0,2.0,0.73619,0.60275
23.0,3.0,0.834286,0.59875
23.0,4.0,0.886667,0.382
23.0,5.0,0.72883,0.785
23.0,6.0,0.827783,0.381
23.0,7.0,0.898192,0.5745
23.0,8.0,0.43197,0.71375
23.0,9.0,0.751665,0.68675
23.0,10.0,0.768792,0.9215
23.0,11.0,0.898192,0.6935
23.0,12.0,0.901047,0.673
23.0,13.0,0.906755,0.6985
23.0,14.0,0.753278,0.68225
23.0,15.0,0.901073,0.58725
23.0,16.0,0.901073,0.63875
23.0,17.0,0.901073,0.562
23.0,18.0,0.850476,0.69675
23.0,19.0,0.882857,0.49925
23.0,20.0,0.899144,0.73
23.0,21.0,0.911513,0.35225
23.0,22.0,0.907707,0.349
24.0,0.0,0.714286,0.7785
24.0,1.0,0.607619,0.544
24.0,2.0,0.714286,0.5615
24.0,3.0,0.861905,0.62825
24.0,4.0,0.948571,0.475
24.0,5.0,0.705043,0.5875
24.0,6.0,0.857279,0.74425
24.0,7.0,0.956232,0.63775
24.0,8.0,0.383444,0.565
24.0,9.0,0.775452,0.768
24.0,10.0,0.765937,0.73175
24.0,11.0,0.94862,0.56925
24.0,12.0,0.957184,0.60375
24.0,13.0,0.970504,0.784
24.0,14.0,0.742551,0.4395
24.0,15.0,0.969011,0.84825
24.0,16.0,0.964243,0.61025
24.0,17.0,0.969011,0.6
24.0,18.0,0.88381,0.4585
24.0,19.0,0.946667,0.63
24.0,20.0,0.886775,0.5035
24.0,21.0,0.94862,0.51525
24.0,22.0,0.961941,0.49425
24.0,23.0,0.928639,0.988
25.0,0.0,0.589133,0.79325
25.0,1.0,0.630124,0.8565
25.0,2.0,0.554814,0.06725
25.0,3.0,0.469018,0.13575
25.0,4.0,0.428027,0.48725
25.0,5.0,0.569524,0.525
25.0,6.0,0.489524,0.219
25.0,7.0,0.430476,0.5005
25.0,8.0,0.591429,0.38725
25.0,9.0,0.497143,0.66275
25.0,10.0,0.49619,0.07575
25.0,11.0,0.432381,0.4025
25.0,12.0,0.421905,0.342
25.0,13.0,0.41619,0.41675
25.0,14.0,0.536993,0.39475
25.0,15.0,0.424821,0.52275
25.0,16.0,0.420048,0.49025
25.0,17.0,0.412888,0.42175
25.0,18.0,0.467112,0.59875
25.0,19.0,0.427073,0.5015
25.0,20.0,0.470476,0.4895
25.0,21.0,0.43619,0.5605
25.0,22.0,0.426667,0.58775
25.0,23.0,0.44,0.1085
25.0,24.0,0.417143,0.3605
26.0,0.0,0.530982,0.3445
26.0,1.0,0.612011,0.97675
26.0,2.0,0.51001,0.03775
26.0,3.0,0.418494,0.1115
26.0,4.0,0.373689,0.53325
26.0,5.0,0.527619,0.45675
26.0,6.0,0.438095,0.20225
26.0,7.0,0.375238,0.5395
26.0,8.0,0.604762,0.573
26.0,9.0,0.453333,0.48575
26.0,10.0,0.467619,0.236
26.0,11.0,0.377143,0.43025
26.0,12.0,0.370476,0.47075
26.0,13.0,0.360952,0.455
26.0,14.0,0.488067,0.26
26.0,15.0,0.359189,0.31625
26.0,16.0,0.352029,0.2275
26.0,17.0,0.349642,0.277
26.0,18.0,0.42326,0.77775
26.0,19.0,0.369876,0.4325
26.0,20.0,0.405714,0.1655
26.0,21.0,0.371429,0.30425
26.0,22.0,0.365714,0.472
26.0,23.0,0.39619,0.23875
26.0,24.0,0.361905,0.36975
26.0,25.0,0.815238,0.82725
27.0,0.0,0.624404,0.88725
27.0,1.0,0.63489,0.881
27.0,2.0,0.601525,0.331
27.0,3.0,0.572927,0.75925
27.0,4.0,0.535748,0.6285
27.0,5.0,0.592381,0.37425
27.0,6.0,0.571429,0.47325
27.0,7.0,0.535238,0.55325
27.0,8.0,0.545714,0.293
27.0,9.0,0.539048,0.3575
27.0,10.0,0.555238,0.24775
27.0,11.0,0.535238,0.4725
27.0,12.0,0.526667,0.3985
27.0,13.0,0.526667,0.52425
27.0,14.0,0.584726,0.521
27.0,15.0,0.541766,0.74125
27.0,16.0,0.536993,0.71225
27.0,17.0,0.529833,0.6285
27.0,18.0,0.554814,0.693
27.0,19.0,0.530029,0.56125
27.0,20.0,0.552381,0.52925
27.0,21.0,0.535238,0.5535
27.0,22.0,0.535238,0.681
27.0,23.0,0.533333,0.23975
27.0,24.0,0.527619,0.51075
27.0,25.0,0.704762,0.3315
27.0,26.0,0.718095,0.55275
28.0,0.0,0.57388,0.167
28.0,1.0,0.611058,0.8555
28.0,2.0,0.583413,0.30725
28.0,3.0,0.566254,0.62775
28.0,4.0,0.548141,0.66325
28.0,5.0,0.578095,0.3895
28.0,6.0,0.553333,0.1635
28.0,7.0,0.551429,0.6765
28.0,8.0,0.529524,0.31525
28.0,9.0,0.549524,0.628
28.0,10.0,0.531429,0.03575
28.0,11.0,0.541905,0.4125
28.0,12.0,0.540952,0.477
28.0,13.0,0.539048,0.5215
28.0,14.0,0.562053,0.23475
28.0,15.0,0.557279,0.805
28.0,16.0,0.547733,0.68325
28.0,17.0,0.542959,0.622
28.0,18.0,0.554814,0.5945
28.0,19.0,0.530029,0.303
28.0,20.0,0.541905,0.26425
28.0,21.0,0.538095,0.4195
28.0,22.0,0.541905,0.586
28.0,23.0,0.54381,0.35725
28.0,24.0,0.54,0.54
28.0,25.0,0.688571,0.19575
28.0,26.0,0.707619,0.439
28.0,27.0,0.713333,0.935
29.0,0.0,0.679695,0.26275
29.0,1.0,0.632984,0.37075
29.0,2.0,0.693041,0.38025
29.0,3.0,0.742612,0.417
29.0,4.0,0.781697,0.66225
29.0,5.0,0.673333,0.261
29.0,6.0,0.720952,0.0315
29.0,7.0,0.78381,0.5865
29.0,8.0,0.451429,0.13625
29.0,9.0,0.688571,0.67625
29.0,10.0,0.668571,0.06675
29.0,11.0,0.778095,0.46
29.0,12.0,0.780952,0.52725
29.0,13.0,0.780952,0.49125
29.0,14.0,0.684964,0.24225
29.0,15.0,0.77327,0.31075
29.0,16.0,0.77327,0.35425
29.0,17.0,0.77327,0.33825
29.0,18.0,0.755005,0.62025
29.0,19.0,0.766444,0.39275
29.0,20.0,0.728571,0.092
29.0,21.0,0.768571,0.4375
29.0,22.0,0.774286,0.444
29.0,23.0,0.757143,0.50775
29.0,24.0,0.78,0.55125
29.0,25.0,0.578095,0.91675
29.0,26.0,0.528571,0.753
29.0,27.0,0.58381,0.08325
29.0,28.0,0.628571,0.81175
30.0,0.0,0.71592,0.74925
30.0,1.0,0.629171,0.783
30.0,2.0,0.712107,0.39575
30.0,3.0,0.837941,0.4565
30.0,4.0,0.920877,0.67425
30.0,5.0,0.694286,0.282
30.0,6.0,0.821905,0.16825
30.0,7.0,0.920952,0.4935
30.0,8.0,0.392381,0.2855
30.0,9.0,0.757143,0.68
30.0,10.0,0.746667,0.4785
30.0,11.0,0.915238,0.43975
30.0,12.0,0.92,0.407
30.0,13.0,0.929524,0.47325
30.0,14.0,0.732697,0.3285
30.0,15.0,0.928401,0.616
30.0,16.0,0.930788,0.6955
30.0,17.0,0.933174,0.6415
30.0,18.0,0.869399,0.71825
30.0,19.0,0.915157,0.61225
30.0,20.0,0.846667,0.348
30.0,21.0,0.907619,0.591
30.0,22.0,0.922857,0.61325
30.0,23.0,0.875238,0.66075
30.0,24.0,0.926667,0.6615
30.0,25.0,0.461905,0.864
30.0,26.0,0.400952,0.75575
30.0,27.0,0.54381,0.61975
30.0,28.0,0.561905,0.81425
30.0,29.0,0.80381,0.99375
31.0,0.0,0.698761,0.37975
31.0,1.0,0.625357,0.49625
31.0,2.0,0.691134,0.083
31.0,3.0,0.801716,0.243
31.0,4.0,0.873213,0.498
31.0,5.0,0.688571,0.25225
31.0,6.0,0.791429,0.09225
31.0,7.0,0.879048,0.52475
31.0,8.0,0.417143,0.38925
31.0,9.0,0.74,0.7535
31.0,10.0,0.72381,0.2945
31.0,11.0,0.879048,0.62425
31.0,12.0,0.87619,0.4035
31.0,13.0,0.887619,0.58875
31.0,14.0,0.73389,0.641
31.0,15.0,0.884248,0.6235
31.0,16.0,0.891408,0.82075
31.0,17.0,0.891408,0.7595
31.0,18.0,0.840801,0.8085
31.0,19.0,0.886559,0.91825
31.0,20.0,0.802857,0.07625
31.0,21.0,0.865714,0.5385
31.0,22.0,0.879048,0.5965
31.0,23.0,0.837143,0.53325
31.0,24.0,0.879048,0.518
31.0,25.0,0.482857,0.8835
31.0,26.0,0.435238,0.9245
31.0,27.0,0.566667,0.88375
31.0,28.0,0.569524,0.864
31.0,29.0,0.809524,1.0
31.0,30.0,0.895238,0.9775
32.0,0.0,0.653956,0.39025
32.0,1.0,0.620591,0.24925
32.0,2.0,0.667302,0.5375
32.0,3.0,0.655863,0.1265
32.0,4.0,0.679695,0.5875
32.0,5.0,0.662857,0.76025
32.0,6.0,0.657143,0.05175
32.0,7.0,0.67619,0.382
32.0,8.0,0.5,0.38475
32.0,9.0,0.647619,0.90425
32.0,10.0,0.625714,0.116
32.0,11.0,0.678095,0.38625
32.0,12.0,0.677143,0.42275
32.0,13.0,0.679048,0.51875
32.0,14.0,0.651551,0.49575
32.0,15.0,0.658711,0.2215
32.0,16.0,0.661098,0.312
32.0,17.0,0.663484,0.39575
32.0,18.0,0.679695,0.743
32.0,19.0,0.679695,0.6435
32.0,20.0,0.657143,0.20225
32.0,21.0,0.666667,0.3145
32.0,22.0,0.666667,0.2965
32.0,23.0,0.678095,0.6645
32.0,24.0,0.678095,0.55925
32.0,25.0,0.613333,1.0
32.0,26.0,0.571429,1.0
32.0,27.0,0.571429,0.60475
32.0,28.0,0.599048,0.9925
32.0,29.0,0.785714,1.0
32.0,30.0,0.707619,0.5055
32.0,31.0,0.717143,0.5765
33.0,0.0,0.686368,0.42375
33.0,1.0,0.601525,0.233
33.0,2.0,0.682555,0.144
33.0,3.0,0.796949,0.361
33.0,4.0,0.876072,0.835
33.0,5.0,0.68381,0.47125
33.0,6.0,0.788571,0.23725
33.0,7.0,0.874286,0.6385
33.0,8.0,0.410476,0.3575
33.0,9.0,0.739048,0.88
33.0,10.0,0.713333,0.276
33.0,11.0,0.868571,0.5465
33.0,12.0,0.875238,0.63525
33.0,13.0,0.882857,0.67125
33.0,14.0,0.725537,0.73275
33.0,15.0,0.873508,0.61975
33.0,16.0,0.875895,0.707
33.0,17.0,0.880668,0.7555
33.0,18.0,0.826501,0.648
33.0,19.0,0.868446,0.666
33.0,20.0,0.807619,0.4455
33.0,21.0,0.855238,0.46575
33.0,22.0,0.872381,0.635
33.0,23.0,0.832381,0.697
33.0,24.0,0.878095,0.75475
33.0,25.0,0.493333,0.9625
33.0,26.0,0.430476,0.7585
33.0,27.0,0.546667,0.485
33.0,28.0,0.572381,0.87775
33.0,29.0,0.81619,1.0
33.0,30.0,0.882857,0.53325
33.0,31.0,0.86381,0.6635
33.0,32.0,0.773333,0.75825
34.0,0.0,0.695901,0.46125
34.0,1.0,0.601525,0.50675
34.0,2.0,0.705434,0.52425
34.0,3.0,0.848427,0.53825
34.0,4.0,0.944709,0.769
34.0,5.0,0.693333,0.4675
34.0,6.0,0.834286,0.379
34.0,7.0,0.942857,0.55725
34.0,8.0,0.372381,0.24
34.0,9.0,0.758095,0.53175
34.0,10.0,0.747619,0.4735
34.0,11.0,0.940952,0.72475
34.0,12.0,0.949524,0.76275
34.0,13.0,0.959048,0.73975
34.0,14.0,0.739857,0.5805
34.0,15.0,0.954654,0.779
34.0,16.0,0.957041,0.8055
34.0,17.0,0.961814,0.807
34.0,18.0,0.879886,0.603
34.0,19.0,0.940896,0.72375
34.0,20.0,0.866667,0.6835
34.0,21.0,0.927619,0.60325
34.0,22.0,0.946667,0.67375
34.0,23.0,0.887619,0.617
34.0,24.0,0.950476,0.72125
34.0,25.0,0.43619,0.708
34.0,26.0,0.377143,0.612
34.0,27.0,0.525714,0.43025
34.0,28.0,0.541905,0.53675
34.0,29.0,0.791429,0.90325
34.0,30.0,0.930476,0.597
34.0,31.0,0.884762,0.40925
34.0,32.0,0.700952,0.46
34.0,33.0,0.914286,0.89275
35.0,0.0,0.702172,0.70975
35.0,1.0,0.612203,0.534
35.0,2.0,0.690796,0.20125
35.0,3.0,0.812823,0.30475
35.0,4.0,0.895553,0.57125
35.0,5.0,0.680785,0.25875
35.0,6.0,0.802686,0.1945
35.0,7.0,0.891529,0.2755
35.0,8.0,0.399793,0.317
35.0,9.0,0.72624,0.297
35.0,10.0,0.72624,0.3735
35.0,11.0,0.894628,0.42175
35.0,12.0,0.896694,0.35275
35.0,13.0,0.905992,0.422
35.0,14.0,0.719116,0.406
35.0,15.0,0.89857,0.4185
35.0,16.0,0.906372,0.6975
35.0,17.0,0.910273,0.68475
35.0,18.0,0.862461,0.20475
35.0,19.0,0.914168,0.39525
35.0,20.0,0.827479,0.40025
35.0,21.0,0.885331,0.62925
35.0,22.0,0.895661,0.4505
35.0,23.0,0.855372,0.725
35.0,24.0,0.90186,0.606
35.0,25.0,0.46281,0.74875
35.0,26.0,0.413223,0.7915
35.0,27.0,0.565083,0.9275
35.0,28.0,0.547521,0.48025
35.0,29.0,0.774793,0.92975
35.0,30.0,0.882231,0.749
35.0,31.0,0.899793,1.0
35.0,32.0,0.680785,0.76975
35.0,33.0,0.838843,0.6475
35.0,34.0,0.900826,0.7335
36.0,0.0,0.701446,0.724
36.0,1.0,0.61157,0.46425
36.0,2.0,0.690083,0.22325
36.0,3.0,0.805785,0.3265
36.0,4.0,0.880165,0.43725
36.0,5.0,0.675955,0.207
36.0,6.0,0.793602,0.16175
36.0,7.0,0.878225,0.24025
36.0,8.0,0.406605,0.37125
36.0,9.0,0.719298,0.2865
36.0,10.0,0.72549,0.508
36.0,11.0,0.885449,0.53425
36.0,12.0,0.885449,0.39325
36.0,13.0,0.894737,0.491
36.0,14.0,0.724675,0.6555
36.0,15.0,0.884416,0.368
36.0,16.0,0.892208,0.639
36.0,17.0,0.896104,0.64125
36.0,18.0,0.86157,0.3605
36.0,19.0,0.904959,0.469
36.0,20.0,0.821465,0.519
36.0,21.0,0.872033,0.5685
36.0,22.0,0.882353,0.41925
36.0,23.0,0.844169,0.682
36.0,24.0,0.888545,0.572
36.0,25.0,0.4613,0.5785
36.0,26.0,0.421053,0.816
36.0,27.0,0.563467,0.89425
36.0,28.0,0.555212,0.62175
36.0,29.0,0.77193,0.954
36.0,30.0,0.862745,0.44425
36.0,31.0,0.888545,1.0
36.0,32.0,0.682147,0.84725
36.0,33.0,0.827657,0.57775
36.0,34.0,0.885449,0.605
36.0,35.0,0.972107,1.0
37.0,0.0,0.729524,0.3745
37.0,1.0,0.685714,0.55275
37.0,2.0,0.729524,0.133
37.0,3.0,0.785714,0.85125
37.0,4.0,0.779048,0.429
37.0,5.0,0.686013,0.00725
37.0,6.0,0.769743,0.1665
37.0,7.0,0.783064,0.35125
37.0,8.0,0.49001,0.50625
37.0,9.0,0.687916,0.285
37.0,10.0,0.695528,0.06
37.0,11.0,0.788773,0.46025
37.0,12.0,0.784015,0.413
37.0,13.0,0.782112,0.4215
37.0,14.0,0.694875,0.02125
37.0,15.0,0.778308,0.3175
37.0,16.0,0.775924,0.34075
37.0,17.0,0.775924,0.362
37.0,18.0,0.771429,0.6925
37.0,19.0,0.777143,0.55625
37.0,20.0,0.757374,0.185
37.0,21.0,0.769743,0.23325
37.0,22.0,0.773549,0.2915
37.0,23.0,0.780209,0.67475
37.0,24.0,0.783064,0.51575
37.0,25.0,0.507619,0.19525
37.0,26.0,0.465714,0.22125
37.0,27.0,0.560952,0.2025
37.0,28.0,0.558095,0.25675
37.0,29.0,0.718095,0.61325
37.0,30.0,0.767619,0.34075
37.0,31.0,0.767619,0.76825
37.0,32.0,0.646667,0.18675
37.0,33.0,0.732381,0.18525
37.0,34.0,0.774286,0.496
37.0,35.0,0.785124,0.97425
37.0,36.0,0.778122,0.96475
38.0,0.0,0.696941,0.3195
38.0,1.0,0.67304,0.419
38.0,2.0,0.709369,0.369
38.0,3.0,0.716061,0.7025
38.0,4.0,0.699809,0.49375
38.0,5.0,0.665392,0.03475
38.0,6.0,0.688337,0.01675
38.0,7.0,0.701721,0.40975
38.0,8.0,0.526769,0.69725
38.0,9.0,0.647228,0.3935
38.0,10.0,0.660612,0.16375
38.0,11.0,0.695985,0.23225
38.0,12.0,0.698853,0.38125
38.0,13.0,0.696941,0.428
38.0,14.0,0.678998,0.22675
38.0,15.0,0.695704,0.36875
38.0,16.0,0.702864,0.599
38.0,17.0,0.702864,0.63425
38.0,18.0,0.691866,0.41925
38.0,19.0,0.69378,0.4945
38.0,20.0,0.710325,0.64275
38.0,21.0,0.705545,0.592
38.0,22.0,0.703633,0.606
38.0,23.0,0.693117,0.2675
38.0,24.0,0.697897,0.4735
38.0,25.0,0.539713,0.37075
38.0,26.0,0.515789,0.6465
38.0,27.0,0.579904,0.56425
38.0,28.0,0.562679,0.3925
38.0,29.0,0.650718,0.17225
38.0,30.0,0.690909,0.35675
38.0,31.0,0.711005,0.9155
38.0,32.0,0.603828,0.02575
38.0,33.0,0.660287,0.1225
38.0,34.0,0.694737,0.5345
38.0,35.0,0.700935,0.82825
38.0,36.0,0.692946,0.727
38.0,37.0,0.758126,0.99975
39.0,0.0,0.693994,0.493
39.0,1.0,0.727359,0.93125
39.0,2.0,0.680648,0.07075
39.0,3.0,0.63489,0.6345
39.0,4.0,0.577693,0.42
39.0,5.0,0.671429,0.243
39.0,6.0,0.654286,0.60525
39.0,7.0,0.58,0.374
39.0,8.0,0.56381,0.13
39.0,9.0,0.57619,0.12
39.0,10.0,0.61619,0.168
39.0,11.0,0.587619,0.4345
39.0,12.0,0.582857,0.5065
39.0,13.0,0.571429,0.43475
39.0,14.0,0.643198,0.2
39.0,15.0,0.571599,0.3755
39.0,16.0,0.564439,0.3135
39.0,17.0,0.562053,0.33925
39.0,18.0,0.612965,0.731
39.0,19.0,0.580553,0.60275
39.0,20.0,0.605714,0.1875
39.0,21.0,0.578095,0.27925
39.0,22.0,0.570476,0.3335
39.0,23.0,0.588571,0.13175
39.0,24.0,0.568571,0.31875
39.0,25.0,0.605338,0.62875
39.0,26.0,0.588179,0.7935
39.0,27.0,0.612011,0.7945
39.0,28.0,0.594852,0.8395
39.0,29.0,0.611058,0.51775
39.0,30.0,0.592946,0.5865
39.0,31.0,0.586273,0.278
39.0,32.0,0.609152,0.49825
39.0,33.0,0.602479,0.83575
39.0,34.0,0.575786,0.53525
39.0,35.0,0.581179,0.453
39.0,36.0,0.585744,0.5115
39.0,37.0,0.657143,0.709
39.0,38.0,0.654876,0.7175
40.0,0.0,0.744519,0.34375
40.0,1.0,0.709247,0.59525
40.0,2.0,0.752145,0.20275
40.0,3.0,0.77693,0.74625
40.0,4.0,0.763584,0.434
40.0,5.0,0.704762,0.01475
40.0,6.0,0.779048,0.3395
