name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[5,609]	0.309	0.0075	0.531	-0.519	0.287	1.22	4997.0	0.537	1.0
theta[6,609]	-0.328	0.0105	0.908	-1.83	-0.302	1.14	7414.0	0.796	1.0
theta[7,609]	-0.192	0.0101	0.784	-1.58	-0.133	1.02	5981.0	0.642	0.999
theta[8,609]	-1.03	0.0083	0.619	-2.14	-0.983	-0.0983	5561.0	0.597	0.999
theta[9,609]	-0.0332	0.0115	0.841	-1.48	0.00478	1.26	5376.0	0.577	1.0
theta[10,609]	3.2	0.00785	0.564	2.31	3.2	4.13	5156.0	0.554	0.999
theta[11,609]	-0.12	0.0135	0.947	-1.72	-0.111	1.39	4916.0	0.528	1.0
theta[1,610]	-0.691	0.00665	0.444	-1.44	-0.659	-0.0167	4449.0	0.478	1.0
theta[2,610]	-0.0985	0.0118	0.963	-1.73	-0.0733	1.43	6697.0	0.719	0.999
theta[3,610]	-0.471	0.00954	0.823	-1.87	-0.437	0.812	7443.0	0.799	0.999
theta[4,610]	-0.0942	0.0115	0.944	-1.66	-0.0845	1.48	6765.0	0.726	0.999
theta[5,610]	0.557	0.00756	0.563	-0.315	0.534	1.53	5541.0	0.595	0.999
theta[6,610]	-0.23	0.011	0.908	-1.73	-0.214	1.2	6786.0	0.729	0.999
theta[7,610]	-0.302	0.0113	0.82	-1.74	-0.234	0.966	5247.0	0.563	1.0
theta[8,610]	-0.358	0.00733	0.509	-1.2	-0.347	0.462	4816.0	0.517	1.0
theta[9,610]	-0.115	0.0124	0.875	-1.62	-0.0673	1.24	4976.0	0.534	1.0
theta[10,610]	-0.117	0.0117	0.939	-1.71	-0.101	1.41	6472.0	0.695	1.0
theta[11,610]	-0.0975	0.0109	0.912	-1.63	-0.0888	1.36	7018.0	0.754	1.0
theta[1,611]	-1.13	0.00807	0.526	-2.05	-1.1	-0.302	4252.0	0.457	1.0
theta[2,611]	-0.0814	0.0108	0.934	-1.62	-0.0623	1.4	7452.0	0.8	1.0
theta[3,611]	-0.343	0.0103	0.856	-1.8	-0.32	1.02	6878.0	0.739	1.0
theta[4,611]	-0.0798	0.0118	0.957	-1.68	-0.0661	1.46	6561.0	0.705	0.999
theta[5,611]	1.13	0.0094	0.625	0.158	1.1	2.19	4419.0	0.474	0.999
theta[6,611]	-0.0958	0.0108	0.946	-1.7	-0.0822	1.43	7612.0	0.817	1.0
theta[7,611]	-0.115	0.0111	0.851	-1.56	-0.0706	1.17	5876.0	0.631	1.0
theta[8,611]	-0.864	0.01	0.685	-2.09	-0.816	0.169	4651.0	0.499	1.0
theta[9,611]	-0.0168	0.0117	0.904	-1.56	0.0143	1.4	5962.0	0.64	1.0
theta[10,611]	-0.106	0.0117	0.967	-1.73	-0.0814	1.47	6787.0	0.729	0.999
theta[11,611]	-0.064	0.0126	0.987	-1.7	-0.059	1.54	6162.0	0.662	1.0
theta[1,612]	-1.69	0.00904	0.653	-2.82	-1.65	-0.693	5217.0	0.56	1.0
theta[2,612]	-0.0715	0.0103	0.959	-1.66	-0.0422	1.46	8718.0	0.936	0.999
theta[3,612]	-0.208	0.0106	0.885	-1.68	-0.189	1.22	6944.0	0.746	0.999
theta[4,612]	-0.0818	0.012	1.01	-1.74	-0.0738	1.52	7041.0	0.756	1.0
theta[5,612]	-0.531	0.0112	0.776	-1.9	-0.473	0.646	4802.0	0.516	1.0
theta[6,612]	-0.0137	0.0114	1.01	-1.69	-0.022	1.64	7862.0	0.844	0.999
theta[7,612]	-0.0855	0.0105	0.877	-1.61	-0.0572	1.33	6960.0	0.747	1.0
theta[8,612]	-0.712	0.0103	0.73	-1.98	-0.659	0.383	5058.0	0.543	0.999
