k1,k2,sk,lb,ub,pval
19,3,0.84652,0.822688,0.874166,0.47775
19,4,0.937083,0.917064,0.954242,0.4925
19,5,0.692381,0.66381,0.726667,0.39475
19,6,0.83619,0.812381,0.862857,0.40575
19,7,0.939048,0.92381,0.958095,0.43925
19,8,0.385714,0.347619,0.422857,0.5245
19,9,0.76,0.722857,0.790476,0.53
19,10,0.75619,0.717143,0.782857,0.613
19,11,0.940952,0.917143,0.952381,0.7585
19,12,0.94381,0.92381,0.959048,0.566
19,13,0.955238,0.93619,0.967619,0.61
19,14,0.731504,0.705251,0.775656,0.336
19,15,0.948687,0.929594,0.965394,0.47375
19,16,0.951074,0.930788,0.966587,0.52575
19,17,0.958234,0.937947,0.972554,0.622
19,18,0.927619,0.850476,0.9,1.0
20,0,0.747619,0.706667,0.76381,0.81125
20,1,0.661905,0.627619,0.690476,0.61525
20,2,0.755238,0.710476,0.769524,0.813
20,3,0.819048,0.799048,0.851429,0.36325
20,4,0.873333,0.848571,0.894286,0.5795
20,5,0.734539,0.691722,0.752617,0.75
20,6,0.823977,0.802093,0.85157,0.36
20,7,0.882969,0.854424,0.900095,0.674
20,8,0.443387,0.403425,0.479543,0.563
20,9,0.732636,0.707897,0.770695,0.29025
20,10,0.764986,0.719315,0.779258,0.83825
20,11,0.87726,0.854424,0.899144,0.552
20,12,0.876308,0.85157,0.899144,0.49125
20,13,0.882017,0.856327,0.90295,0.57225
20,14,0.76758,0.712753,0.779499,0.87475
20,15,0.884386,0.853397,0.903456,0.66375
20,16,0.879619,0.851013,0.901073,0.58225
20,17,0.877235,0.853397,0.902265,0.4785
20,18,0.82,0.808571,0.860952,0.1655
20,19,0.858095,0.840952,0.888571,0.30725
21,0,0.721905,0.686667,0.74381,0.66675
21,1,0.626667,0.589524,0.651429,0.635
21,2,0.733333,0.692381,0.751429,0.75275
21,3,0.842857,0.828571,0.879048,0.21875
21,4,0.929524,0.913333,0.950476,0.38
21,5,0.716461,0.680304,0.74215,0.653
21,6,0.857279,0.823026,0.871551,0.76125
21,7,0.944814,0.919125,0.954329,0.78375
21,8,0.394862,0.355852,0.432921,0.48
21,9,0.758325,0.72883,0.792578,0.40925
21,10,0.764034,0.723121,0.787821,0.62625
21,11,0.931494,0.915319,0.949572,0.421
21,12,0.938154,0.920076,0.955281,0.47625
21,13,0.949572,0.928639,0.961941,0.634
21,14,0.750894,0.716329,0.783075,0.54475
21,15,0.946365,0.922527,0.959476,0.60975
21,16,0.943981,0.923719,0.960667,0.51325
21,17,0.946365,0.929678,0.965435,0.466
21,18,0.866667,0.853333,0.900952,0.216
21,19,0.921905,0.907619,0.945714,0.2995
21,20,0.921028,0.843958,0.891532,1.0
22,0,0.708571,0.677143,0.734286,0.5605
22,1,0.609524,0.577143,0.63619,0.535
22,2,0.72,0.684762,0.742857,0.64575
22,3,0.85619,0.833333,0.88381,0.4525
22,4,0.948571,0.932381,0.964762,0.517
22,5,0.701237,0.67079,0.732636,0.46175
22,6,0.85157,0.823026,0.872502,0.53525
22,7,0.960038,0.937203,0.96765,0.827
22,8,0.383444,0.343482,0.4196,0.5275
22,9,0.773549,0.731684,0.798287,0.673
22,10,0.764034,0.726927,0.792578,0.63075
22,11,0.946717,0.931494,0.962892,0.47875
22,12,0.957184,0.938154,0.968601,0.6455
22,13,0.970504,0.950523,0.977165,0.823
22,14,0.744934,0.709178,0.779499,0.46525
22,15,0.964243,0.946365,0.976162,0.66875
22,16,0.964243,0.943981,0.97497,0.63375
22,17,0.969011,0.94994,0.979738,0.6455
22,18,0.881905,0.862857,0.909524,0.35425
22,19,0.944762,0.925714,0.96,0.54175
22,20,0.900095,0.85157,0.898192,0.98225
22,21,0.973359,0.919125,0.954329,1.0
23,0,0.730476,0.697143,0.75619,0.59325
23,1,0.646667,0.611429,0.674286,0.5915
23,2,0.73619,0.704762,0.761905,0.565
23,3,0.834286,0.807619,0.858095,0.54525
23,4,0.886667,0.867619,0.913333,0.3325
23,5,0.72883,0.686013,0.747859,0.749
23,6,0.827783,0.805899,0.857279,0.3035
23,7,0.898192,0.876308,0.919125,0.51025
23,8,0.43197,0.384396,0.461465,0.65225
23,9,0.751665,0.713606,0.776403,0.595
23,10,0.768792,0.720266,0.782112,0.8545
23,11,0.898192,0.872502,0.91627,0.6135
23,12,0.901047,0.874405,0.918173,0.6235
23,13,0.906755,0.879163,0.922931,0.6485
23,14,0.753278,0.711561,0.778308,0.64175
23,15,0.901073,0.874851,0.922527,0.514
23,16,0.901073,0.873659,0.921335,0.55775
23,17,0.901073,0.876043,0.923719,0.4955
23,18,0.850476,0.820952,0.872381,0.572
23,19,0.882857,0.861905,0.907619,0.4145
23,20,0.899144,0.820171,0.869648,1.0
23,21,0.911513,0.863939,0.907707,0.9875
23,22,0.907707,0.871551,0.917222,0.83425
24,0,0.714286,0.677143,0.734286,0.72825
24,1,0.607619,0.573333,0.634286,0.52425
24,2,0.714286,0.680952,0.74,0.52975
24,3,0.861905,0.833333,0.88381,0.607
24,4,0.948571,0.933333,0.965714,0.425
24,5,0.705043,0.668887,0.731684,0.574
24,6,0.857279,0.824929,0.873454,0.70475
24,7,0.956232,0.939106,0.968601,0.6085
24,8,0.383444,0.345385,0.4196,0.55675
24,9,0.775452,0.730733,0.797336,0.7045
24,10,0.765937,0.722169,0.787821,0.6705
24,11,0.94862,0.931494,0.962892,0.5145
24,12,0.957184,0.939106,0.969553,0.571
24,13,0.970504,0.951475,0.978116,0.743
24,14,0.742551,0.711561,0.780691,0.43025
24,15,0.969011,0.947557,0.977354,0.809
24,16,0.964243,0.947557,0.977354,0.55275
24,17,0.969011,0.952324,0.98093,0.55375
24,18,0.88381,0.861905,0.909524,0.38175
24,19,0.946667,0.927619,0.961905,0.544
24,20,0.886775,0.85157,0.898192,0.8185
24,21,0.94862,0.921028,0.956232,0.82975
24,22,0.961941,0.941009,0.970504,0.75375
24,23,0.928639,0.875357,0.920076,0.9985
25,0,0.589133,0.563394,0.63489,0.2775
25,1,0.630124,0.604385,0.673022,0.289
25,2,0.554814,0.56244,0.632031,0.008
25,3,0.469018,0.458532,0.530982,0.08625
25,4,0.428027,0.397521,0.468065,0.45175
25,5,0.569524,0.552381,0.622857,0.168
25,6,0.489524,0.477143,0.550476,0.114
25,7,0.430476,0.39619,0.467619,0.46225
25,8,0.591429,0.584762,0.649524,0.06175
25,9,0.497143,0.471429,0.542857,0.27975
25,10,0.49619,0.497143,0.570476,0.0155
25,11,0.432381,0.401905,0.473333,0.3895
25,12,0.421905,0.393333,0.465714,0.353
25,13,0.41619,0.38381,0.455238,0.42575
25,14,0.536993,0.516706,0.594272,0.2255
25,15,0.424821,0.385442,0.463007,0.53425
25,16,0.420048,0.378282,0.457041,0.508
25,17,0.412888,0.377088,0.453461,0.45925
25,18,0.467112,0.42898,0.503337,0.504
25,19,0.427073,0.389895,0.461392,0.48725
25,20,0.470476,0.449524,0.520952,0.22275
25,21,0.43619,0.404762,0.47619,0.422
25,22,0.426667,0.389524,0.461905,0.512
25,23,0.44,0.433333,0.505714,0.061
25,24,0.417143,0.386667,0.459048,0.34925
26,0,0.530982,0.523356,0.596759,0.06725
26,1,0.612011,0.57674,0.64633,0.532
26,2,0.51001,0.520496,0.593899,0.0065
26,3,0.418494,0.409914,0.483317,0.0755
26,4,0.373689,0.337464,0.411821,0.48825
26,5,0.527619,0.515238,0.587619,0.11875
26,6,0.438095,0.422857,0.497143,0.10525
26,7,0.375238,0.337143,0.411429,0.48925
26,8,0.604762,0.593333,0.659048,0.12575
26,9,0.453333,0.434286,0.506667,0.17875
26,10,0.467619,0.458095,0.533333,0.068
26,11,0.377143,0.346667,0.42,0.40625
26,12,0.370476,0.335238,0.408571,0.4565
26,13,0.360952,0.324762,0.397143,0.461
26,14,0.488067,0.473747,0.553699,0.12775
26,15,0.359189,0.326969,0.404535,0.37325
26,16,0.352029,0.324582,0.403341,0.30275
26,17,0.349642,0.318616,0.394988,0.3445
26,18,0.42326,0.377502,0.452812,0.63925
26,19,0.369876,0.336511,0.408008,0.4465
26,20,0.405714,0.397143,0.473333,0.069
26,21,0.371429,0.346667,0.420952,0.24025
26,22,0.365714,0.333333,0.405714,0.4135
26,23,0.39619,0.377143,0.452381,0.147
26,24,0.361905,0.330476,0.402857,0.369
26,25,0.815238,0.597143,0.665714,1.0
27,0,0.624404,0.592946,0.663489,0.4205
27,1,0.63489,0.605338,0.674929,0.41325
27,2,0.601525,0.594852,0.664442,0.0705
27,3,0.572927,0.532888,0.606292,0.5525
27,4,0.535748,0.494757,0.57102,0.57325
27,5,0.592381,0.580952,0.649524,0.093
27,6,0.571429,0.547619,0.620952,0.2595
27,7,0.535238,0.5,0.577143,0.497
27,8,0.545714,0.54,0.605714,0.05475
27,9,0.539048,0.527619,0.595238,0.11825
27,10,0.555238,0.544762,0.615238,0.06325
27,11,0.535238,0.5,0.577143,0.42175
27,12,0.526667,0.494286,0.571429,0.3835
27,13,0.526667,0.486667,0.56381,0.5065
27,14,0.584726,0.553699,0.631265,0.29425
27,15,0.541766,0.488067,0.570406,0.72525
27,16,0.536993,0.486874,0.569212,0.70025
27,17,0.529833,0.479714,0.562053,0.63625
27,18,0.554814,0.512869,0.587226,0.56675
27,19,0.530029,0.491897,0.56816,0.5285
27,20,0.552381,0.525714,0.6,0.25775
27,21,0.535238,0.499048,0.57619,0.417
27,22,0.535238,0.489524,0.567619,0.596
27,23,0.533333,0.515238,0.589524,0.12075
27,24,0.527619,0.493333,0.570476,0.46625
27,25,0.704762,0.56,0.629524,1.0
27,26,0.718095,0.547619,0.617143,1.0
28,0,0.57388,0.575786,0.64633,0.01575
28,1,0.611058,0.582459,0.65205,0.32725
28,2,0.583413,0.577693,0.648236,0.05125
28,3,0.566254,0.535748,0.608198,0.39175
28,4,0.548141,0.505243,0.584366,0.601
28,5,0.578095,0.568571,0.638095,0.08175
28,6,0.553333,0.54381,0.617143,0.06325
28,7,0.551429,0.506667,0.586667,0.61325
28,8,0.529524,0.52,0.587619,0.064
28,9,0.549524,0.522857,0.592381,0.2825
28,10,0.531429,0.540952,0.609524,0.005
28,11,0.541905,0.506667,0.586667,0.3625
28,12,0.540952,0.504762,0.58381,0.44025
28,13,0.539048,0.499048,0.58,0.496
28,14,0.562053,0.550119,0.625298,0.09175
28,15,0.557279,0.497613,0.582339,0.77925
28,16,0.547733,0.497613,0.582339,0.6695
28,17,0.542959,0.49284,0.577566,0.6365
28,18,0.554814,0.517636,0.591992,0.463
28,19,0.530029,0.499523,0.578646,0.31
28,20,0.541905,0.531429,0.606667,0.09175
28,21,0.538095,0.507619,0.585714,0.2945
28,22,0.541905,0.502857,0.581905,0.4985
28,23,0.54381,0.519048,0.59619,0.19425
28,24,0.54,0.502857,0.58381,0.47525
28,25,0.688571,0.540952,0.608571,1.0
28,26,0.707619,0.525714,0.59619,1.0
28,27,0.713333,0.537143,0.601905,1.0
