k1,k2,stat,lb,ub,pval
19,9,-0.000442,-0.004403,0.004871,0.404
19,10,0.002057,-0.003866,0.005195,0.733
19,11,0.001793,-0.002366,0.004246,0.73025
19,12,-0.000746,-0.002508,0.003178,0.25375
19,13,-8.1e-05,-0.002017,0.00258,0.42475
19,14,-0.003356,-0.004482,0.00641,0.056
19,15,-0.000398,-0.002323,0.003042,0.36625
19,16,-0.000124,-0.001915,0.003027,0.41075
19,17,0.001066,-0.00195,0.002621,0.78825
19,18,0.020447,-0.001717,0.008208,1.0
20,0,0.001173,-0.005242,0.008078,0.515
20,1,0.000385,-0.004134,0.007766,0.33125
20,2,0.001888,-0.002939,0.010885,0.2555
20,3,0.001887,-0.005479,0.008107,0.5595
20,4,0.001378,-0.003589,0.004615,0.68125
20,5,0.005414,-0.00325,0.011271,0.68825
20,6,-0.000862,-0.004731,0.008562,0.215
20,7,0.000272,-0.003399,0.004161,0.478
20,8,0.001217,-0.004615,0.006501,0.57325
20,9,-0.000956,-0.007256,0.007318,0.4025
20,10,0.003988,-0.006378,0.007982,0.81025
20,11,0.001035,-0.003552,0.004955,0.55475
20,12,-0.000697,-0.002898,0.004514,0.1985
20,13,-0.000156,-0.002473,0.003183,0.341
20,14,0.007031,-0.005561,0.011267,0.831
20,15,0.001225,-0.003359,0.003876,0.71475
20,16,2.6e-05,-0.003353,0.003166,0.496
20,17,-0.00052,-0.002817,0.002771,0.3465
20,18,3.7e-05,-0.004624,0.006925,0.35325
20,19,-0.001037,-0.003701,0.00402,0.25575
21,0,0.001158,-0.0041,0.004722,0.6845
21,1,0.001879,-0.003688,0.003861,0.81075
21,2,0.002256,-0.003994,0.004441,0.8105
21,3,-0.00368,-0.004577,0.004887,0.06025
21,4,-0.000812,-0.003004,0.002829,0.316
21,5,0.001983,-0.004497,0.004897,0.7855
21,6,0.002339,-0.00459,0.004633,0.83725
21,7,0.001395,-0.002919,0.002978,0.845
21,8,-0.000382,-0.003046,0.003996,0.30875
21,9,-0.000853,-0.005113,0.004766,0.39425
21,10,0.000558,-0.004865,0.004862,0.5975
21,11,-0.000445,-0.003344,0.002961,0.435
21,12,-0.000804,-0.003232,0.002558,0.35025
21,13,-0.00049,-0.00232,0.002159,0.38625
21,14,0.000689,-0.005396,0.006019,0.55225
21,15,0.000359,-0.00313,0.002775,0.64525
21,16,-7.1e-05,-0.00267,0.002489,0.504
21,17,-0.000185,-0.002426,0.002549,0.47525
21,18,-0.00157,-0.004156,0.004403,0.233
21,19,-0.001469,-0.002638,0.002891,0.15925
21,20,0.001644,0.006266,0.016781,0.00025
22,0,0.000818,-0.003395,0.003499,0.6535
22,1,0.000902,-0.002781,0.002963,0.67625
22,2,0.002257,-0.00299,0.003865,0.867
22,3,-0.001048,-0.003883,0.00402,0.28375
22,4,-0.000542,-0.002526,0.002851,0.31575
22,5,-0.001104,-0.003446,0.004039,0.2525
22,6,-0.000752,-0.003864,0.003928,0.32825
22,7,0.000608,-0.002508,0.002767,0.682
22,8,0.000466,-0.00252,0.003258,0.56225
22,9,0.00272,-0.004094,0.004234,0.91475
22,10,0.000807,-0.004079,0.003952,0.68275
22,11,-0.001166,-0.002675,0.003024,0.18225
22,12,-0.000312,-0.002622,0.002683,0.3815
22,13,0.000399,-0.00204,0.002219,0.66375
22,14,-0.000843,-0.004326,0.004784,0.30375
22,15,-0.000881,-0.002841,0.00252,0.30325
22,16,-0.000102,-0.002654,0.002304,0.55175
22,17,0.000254,-0.002408,0.002198,0.6475
22,18,0.000235,-0.003351,0.003772,0.542
22,19,0.000943,-0.002416,0.002361,0.80625
22,20,-0.000451,0.000574,0.008068,0.003
22,21,0.003873,0.001822,0.010655,0.12325
23,0,-0.002221,-0.004718,0.007952,0.1335
23,1,-0.000732,-0.003564,0.007568,0.181
23,2,-0.000666,-0.002817,0.010242,0.09275
23,3,0.001881,-0.004657,0.008171,0.5515
23,4,-0.002876,-0.003286,0.004483,0.04175
23,5,0.004038,-0.003896,0.009625,0.64875
23,6,-0.003255,-0.004686,0.008623,0.06625
23,7,-0.001802,-0.002862,0.004769,0.0955
23,8,0.000626,-0.004879,0.005615,0.513
