sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
45,22,48,64,70,77,61,86,62,68,52,59,44,51,38,33,24,13,26,25,19,16,17,23,8,10,8,0,4,5,2,1,2,1,6,0,0,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
46,39,47,76,54,71,72,73,70,55,60,54,43,44,41,27,28,29,25,28,16,14,10,13,16,6,9,5,5,6,4,3,0,1,1,1,0,0,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0
47,21,56,66,73,83,82,53,61,57,55,51,38,43,36,40,25,29,37,25,27,13,13,10,12,6,9,4,5,7,1,0,2,0,1,3,2,0,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
48,39,50,57,65,76,73,76,62,64,55,39,45,37,36,39,28,36,22,19,26,20,17,8,13,8,5,13,1,7,0,4,1,1,1,0,0,2,2,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0
49,25,60,56,72,89,71,65,71,54,57,47,49,33,31,31,34,25,23,23,22,14,24,13,15,6,7,6,5,2,4,3,2,4,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
50,39,55,61,70,70,73,73,63,51,51,56,45,36,41,28,37,31,28,26,19,19,12,15,9,5,9,8,3,3,5,0,3,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
51,31,59,48,77,74,70,72,60,54,67,45,39,40,43,31,29,25,38,23,26,22,15,9,12,9,9,3,2,4,2,1,1,2,1,1,0,3,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
52,49,53,72,64,72,75,59,54,60,52,50,40,45,35,47,31,29,19,17,25,19,17,8,9,13,7,8,2,5,1,2,2,3,1,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
53,30,47,77,76,71,77,69,61,54,58,43,47,30,42,33,44,29,19,28,22,10,15,10,12,9,9,3,4,10,1,2,0,0,0,2,1,0,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0
54,39,54,77,61,60,77,74,69,67,51,47,50,37,31,32,20,33,28,22,14,15,21,11,14,8,8,11,3,2,3,2,0,0,1,1,3,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
