k1,k2,stat,lb,ub,pval
30,3,-0.006948,-0.006239,0.012273,0.01475
30,4,0.001604,-0.005223,0.006562,0.6235
30,5,-0.004942,-0.006663,0.012925,0.052
30,6,-0.002683,-0.006972,0.012166,0.11775
30,7,0.001146,-0.004483,0.005617,0.60025
30,8,-0.003978,-0.00858,0.010604,0.1435
30,9,0.00219,-0.008495,0.011969,0.5265
30,10,0.002679,-0.008137,0.013481,0.52575
30,11,-0.002747,-0.004958,0.009932,0.098
30,12,-0.006457,-0.005789,0.007323,0.01125
30,13,-0.001379,-0.003806,0.006312,0.18675
30,14,-0.00198,-0.006974,0.012516,0.183
30,15,-0.000452,-0.003404,0.004842,0.36
30,16,-0.001354,-0.004361,0.006693,0.21575
30,17,-0.000279,-0.003037,0.004456,0.31
30,18,0.000706,-0.006553,0.007747,0.49
30,19,0.001023,-0.005427,0.006768,0.52325
30,20,-0.010378,-0.007978,0.011884,0.0055
30,21,-0.009086,-0.005452,0.00921,0.00125
30,22,-0.000653,-0.004515,0.006251,0.307
30,23,-0.000732,-0.005899,0.010639,0.2755
30,24,-0.000277,-0.004196,0.005707,0.392
30,25,0.008256,-0.006662,0.011407,0.90625
30,26,-0.002012,-0.005855,0.009926,0.15825
30,27,0.003885,-0.009226,0.012678,0.63325
30,28,0.011173,-0.009623,0.011967,0.957
30,29,0.027788,-0.008623,0.011825,1.0
31,0,-0.007101,-0.008644,0.017519,0.03675
31,1,-0.018506,-0.007079,0.016237,0.0
31,2,-0.00509,-0.006094,0.018706,0.033
31,3,-0.002252,-0.008329,0.015648,0.16225
31,4,0.002989,-0.0059,0.008333,0.69225
31,5,-0.00654,-0.007658,0.017291,0.03225
31,6,-0.003274,-0.006766,0.017276,0.0875
31,7,0.000943,-0.00459,0.007402,0.48875
31,8,-0.005629,-0.009839,0.014438,0.12075
31,9,0.002169,-0.010693,0.014991,0.5095
31,10,-0.00536,-0.010308,0.017214,0.114
31,11,0.001172,-0.007477,0.011515,0.46775
31,12,-0.001327,-0.005918,0.010399,0.2305
31,13,-0.002087,-0.005304,0.006593,0.20175
31,14,-0.008317,-0.007833,0.015843,0.02125
31,15,0.000239,-0.005074,0.005199,0.5285
