k1,k2,obs,pred,pval
18,9,-0.10083134096130766,0.0006009112861291094,0.00925
18,10,-0.05215538793613401,0.0003174639417877932,0.11725
18,11,-0.0415639047549881,-0.00041023361143509025,0.16675
18,12,-0.0573436954230083,0.00010458982452572103,0.0985
18,13,-0.007236939738980816,0.000546969788882775,0.4295
18,14,-0.037242977019486256,0.0008317183764318691,0.18425
18,15,-0.07238971315743101,-0.0007885233120526434,0.04575
18,16,0.25089703589503615,-0.000588986398945137,1.0
18,17,0.3229628817754518,0.0005036003962586811,1.0
19,0,-0.03641134946079336,0.00039098493901090894,0.20825
19,1,0.11232717547541891,0.0002894782022383578,0.99325
19,2,-0.08840484655999205,-0.0012203484234748312,0.0205
19,3,0.07614503510867474,-0.00042537078739869345,0.961
19,4,0.0024086979651655872,0.00030543865413109624,0.51475
19,5,-0.06849563942023516,0.0013590068961544003,0.0505
19,6,-0.10958814002923489,-0.0016745270744209042,0.0055
19,7,-0.07634368501805358,0.0004427202193686116,0.041
19,8,0.06482447367149054,-0.00010791549180987927,0.94225
19,9,-0.10153756746450025,-0.00047998617432884087,0.0075
19,10,-0.07689077017897887,0.000563542337383225,0.0405
19,11,-0.018421670581639526,0.0006912872679888307,0.31825
19,12,-0.042151507211775345,-0.0007034802745307354,0.1675
19,13,-0.06837395394524974,-0.001644520736880659,0.0565
19,14,-0.08759776424640617,0.00039833959620304006,0.01775
19,15,-0.03269248731611753,-0.00036131247216692445,0.23025
19,16,0.2149558808909232,-0.00012321592848678058,1.0
19,17,0.24192227217199774,-0.00023698701715578582,1.0
19,18,0.35540854884040884,0.000818344967515735,1.0
20,0,-0.08079591389593635,-0.0005793654625330815,0.03625
20,1,-0.09847711882363408,-0.0005200614590645095,0.01
20,2,-0.04528956536819555,-0.00011816962167570195,0.16375
20,3,-0.06166325841000614,0.00034674819480001474,0.1035
20,4,-0.03745606367314248,-0.0011953132664484713,0.235
20,5,-0.04630441897935703,0.0007366284230675108,0.1605
20,6,-0.05814779212323798,0.0004189955421676413,0.12025
20,7,-0.003170551753946726,0.0010109865527623855,0.46325
20,8,-0.022218628065122745,-0.0006241517820817614,0.33025
20,9,0.03112740806857475,0.0005498482921554752,0.73475
20,10,-0.03540036457493607,0.0003871552567372797,0.24475
20,11,0.008771555017593332,0.001076892098563632,0.56525
20,12,0.09331361435179637,0.0002787636129929502,0.96425
20,13,0.023320223381707327,-0.00023485885015762687,0.69325
20,14,-0.02103681574221062,-0.0009210037919755498,0.34425
20,15,-0.08269055485693959,6.809792775046632e-05,0.0415
20,16,0.17450973649405696,0.0002107602942090809,0.99975
20,17,0.10800372715995823,0.0003247550119354688,0.997
20,18,0.08602458120637163,-0.00033466212927826995,0.9765
20,19,0.11434560198965063,0.0015612252971483676,0.9955
21,0,-0.08627867733667319,6.768959263986867e-05,0.02575
21,1,-0.1283024032129784,-0.0006334227140795129,0.001
21,2,0.0032813301382534845,-0.00033527961874031724,0.5325
21,3,-0.07649294459705908,0.0010261869084841758,0.06025
21,4,0.011501689672110649,0.0006766550034916959,0.6035
21,5,-0.04783671393450781,-0.00040503569055499013,0.14675
21,6,-0.011161475908323249,0.0009753653878836847,0.40625
21,7,0.008796892831902346,0.0008154078072758923,0.58
21,8,-0.07293447191662297,0.00027235280840263055,0.0745
21,9,-0.08638276505639259,0.000477008864677639,0.03825
21,10,-0.03114140274995913,-0.000578125830951107,0.2815
21,11,-0.05602136111756482,0.0014242811411663344,0.15225
21,12,-0.026792179984534634,-0.0002276945430660227,0.3495
21,13,0.015929953051884046,0.0006972492847683726,0.64725
21,14,-0.10806103451290194,0.00010472736578862494,0.0145
21,15,-0.01280747474039729,0.00038143126996694485,0.4145
21,16,0.07073750584403071,-0.0005346068096529291,0.961
21,17,-0.015240154729646918,0.0003484621537834442,0.33325
21,18,0.022905473372450084,0.0003295244491701641,0.692
21,19,0.07912587158318263,0.0005734250484514257,0.96775
21,20,0.2628209631962064,0.0008574405954846752,1.0
22,0,-0.04905268296236286,-0.002016202545129159,0.149
22,1,-0.12974150637523593,-0.0011733952942953624,0.001
22,2,-0.055618080048898726,-0.0007494935892267357,0.1245
22,3,-0.01572853202571658,-0.00016326179422223393,0.37525
22,4,0.026728426659356454,0.0006697114414433175,0.70525
22,5,-0.05099508384760447,6.732408201409192e-05,0.1425
22,6,-0.01425651417494501,-0.001040890727478821,0.3965
22,7,-0.016429096875145714,-0.00029275693776117034,0.36025
22,8,-0.0032014462958996803,-0.0005390368617179512,0.479
22,9,-0.02446673279605944,-5.548574794595585e-05,0.32225
22,10,-0.05677388127994236,0.0007816589735070662,0.1345
22,11,-0.05818808420164538,-0.00016795137323413227,0.131
22,12,-0.018366752244842074,0.00018953999228806548,0.37875
22,13,0.032255699482310635,-0.001108295842017612,0.764
22,14,-0.10048201616173355,-0.00044732935992411823,0.0195
22,15,0.0038460695046173454,0.0010607701927319547,0.534
22,16,0.041892559898878017,0.00053614537660845,0.839
22,17,0.05133684409436663,-0.00029265056208527257,0.91475
22,18,0.0798518977147836,-0.0002530557046836876,0.96975
22,19,0.05249487010906234,0.0006648540089671078,0.88975
22,20,0.22505251565021797,0.0009533179066202667,1.0
22,21,0.1762132208730771,0.0011018052004279416,0.9995
23,0,-0.07300785888181119,0.0007813905414580712,0.0515
23,1,-0.0752201675003315,-0.0002731141943922428,0.04325
23,2,-0.05209631854725326,-0.001270765253005003,0.14125
23,3,-0.030911471924621275,0.00022854467268105703,0.26875
23,4,-0.015959249179394827,0.001901960234756895,0.37025
23,5,0.04803181414114231,-0.00046048728533383434,0.8485
23,6,0.04733506619236814,-8.833133541458033e-05,0.83375
23,7,0.04746486288451948,0.0002443622831931195,0.859
23,8,-0.02163162229749827,-0.0011765769584082936,0.3475
23,9,-0.05696048109176946,0.0009620926714233637,0.12625
23,10,-0.06764346882953819,0.0006447354090653065,0.08725
23,11,0.01020880547540935,-0.0001417214842120685,0.59175
23,12,0.05060592476598047,-0.00023012198921451265,0.835
23,13,0.02613886017113249,-0.0005273114842118554,0.70625
23,14,-0.08394305288361044,-0.0004253211018857485,0.04525
23,15,-0.022121457647384043,0.00022301320860273612,0.3325
23,16,0.09147431800129972,-0.0007657312491463988,0.989
23,17,0.04255657875919204,-0.0001792987556119064,0.8705
23,18,0.0580165687174471,0.00019896278227566827,0.91675
23,19,0.04500533688314197,0.0008280990912245569,0.85725
23,20,0.4440634728943994,0.0005830074271378876,1.0
23,21,0.30979487991470017,-0.001462252909971905,1.0
23,22,0.24227382122166624,0.00022262393584016217,1.0
24,0,-0.11270775222049043,-0.0005584625114981294,0.0075
24,1,-0.050621128664846596,0.00038635912400091394,0.10675
24,2,-0.07154045020219214,0.0008333600208047863,0.06175
24,3,0.028083873964990288,0.0004790088826361644,0.715
24,4,0.023836548840427588,-2.1891991289188922e-05,0.6885
24,5,-0.039080422521557176,-0.00029899776576971767,0.20475
24,6,-0.08072060509475995,-0.0007116498796275921,0.05275
24,7,-0.009584688646597332,0.0013872292394549615,0.408
24,8,0.1205735226949072,0.00046986340128813217,0.98775
24,9,0.13643313824570832,-0.00039087190050063596,0.9915
24,10,-0.05468145426473801,0.0006351762427658311,0.1415
24,11,-0.06777687362035698,-0.0011135944138481956,0.1155
24,12,-0.04703277977061833,-0.000635306664774751,0.20275
24,13,0.26557785704149955,-0.0001160730585451718,1.0
24,14,0.006615638721043156,0.0004851075952530557,0.5555
24,15,0.03956259419577003,-0.0018633133692907628,0.79425
24,16,-0.00932635717091082,0.001691840217000762,0.394
24,17,0.016978788745758137,0.0002447262603319728,0.674
24,18,0.058034183938951066,0.0004648894429610534,0.9125
24,19,0.01015465628062142,-0.00048790429879957574,0.60075
24,20,0.06934575691794151,-5.0469542521564606e-05,0.923
24,21,0.04392502542391507,-0.00041276681663932687,0.815
24,22,0.3451848913444645,0.0001969415321700121,1.0
24,23,0.032334284975802714,0.0013782446964014123,0.742
25,0,-0.09456080681152912,0.00046139406643522544,0.02525
