	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[10,45]	-0.12	0.016	0.95	-1.7	-0.095	1.4	3611.0	1.7	1.0
theta[11,45]	0.023	0.015	0.98	-1.6	0.029	1.7	4075.0	1.9	1.0
theta[1,46]	-0.46	0.0077	0.39	-1.1	-0.45	0.15	2530.0	1.2	1.0
theta[2,46]	-0.25	0.015	0.88	-1.8	-0.18	1.1	3548.0	1.7	1.0
theta[3,46]	-0.24	0.015	0.83	-1.6	-0.22	1.1	3146.0	1.5	1.0
theta[4,46]	-0.2	0.015	0.93	-1.8	-0.18	1.3	3657.0	1.7	1.0
theta[5,46]	-1.0	0.012	0.67	-2.2	-0.99	-0.021	3149.0	1.5	1.0
theta[6,46]	0.26	0.015	0.71	-0.92	0.26	1.4	2114.0	1.0	1.0
theta[7,46]	-0.25	0.014	0.76	-1.6	-0.18	0.9	2944.0	1.4	1.0
theta[8,46]	-1.3	0.011	0.63	-2.4	-1.2	-0.31	3293.0	1.6	1.0
theta[9,46]	-0.2	0.014	0.83	-1.6	-0.15	1.1	3481.0	1.7	1.0
theta[10,46]	-0.23	0.015	0.91	-1.8	-0.18	1.2	3556.0	1.7	1.0
theta[11,46]	-0.039	0.015	0.94	-1.7	-0.026	1.5	3988.0	1.9	1.0
theta[1,47]	2.5	0.0082	0.36	1.9	2.5	3.1	1976.0	0.94	1.0
theta[2,47]	-1.1	0.012	0.6	-2.2	-1.1	-0.2	2693.0	1.3	1.0
theta[3,47]	-1.2	0.036	0.87	-2.5	-1.2	0.32	595.0	0.28	1.0
theta[4,47]	0.3	0.014	0.76	-0.91	0.28	1.6	3085.0	1.5	1.0
theta[5,47]	0.46	0.013	0.73	-0.69	0.42	1.7	3195.0	1.5	1.0
theta[6,47]	0.11	0.015	0.96	-1.5	0.1	1.7	4164.0	2.0	1.0
theta[7,47]	1.2	0.011	0.64	0.26	1.2	2.3	3222.0	1.5	1.0
theta[8,47]	0.33	0.013	0.85	-1.0	0.31	1.8	4162.0	2.0	1.0
theta[9,47]	0.73	0.0093	0.48	-0.033	0.71	1.5	2675.0	1.3	1.0
theta[10,47]	0.82	0.013	0.72	-0.37	0.81	2.0	3036.0	1.4	1.0
theta[11,47]	-0.063	0.016	0.99	-1.7	-0.065	1.6	3906.0	1.9	1.0
theta[1,48]	0.97	0.0079	0.29	0.5	0.97	1.5	1372.0	0.65	1.0
theta[2,48]	0.33	0.012	0.55	-0.63	0.35	1.2	2101.0	1.0	1.0
theta[3,48]	-0.54	0.023	0.75	-1.8	-0.55	0.68	1023.0	0.49	1.0
theta[4,48]	-0.72	0.014	0.8	-2.1	-0.67	0.55	3357.0	1.6	1.0
theta[5,48]	0.37	0.011	0.58	-0.55	0.34	1.4	2778.0	1.3	1.0
theta[6,48]	0.35	0.015	0.83	-0.96	0.31	1.8	3253.0	1.5	1.0
theta[7,48]	-0.89	0.011	0.68	-2.1	-0.84	0.14	3606.0	1.7	1.0
theta[8,48]	0.59	0.013	0.74	-0.57	0.55	1.9	3143.0	1.5	1.0
theta[9,48]	-0.57	0.013	0.74	-1.9	-0.49	0.51	3047.0	1.4	1.0
theta[10,48]	1.2	0.011	0.56	0.33	1.2	2.1	2654.0	1.3	1.0
theta[11,48]	1.4	0.025	0.86	-0.099	1.4	2.7	1214.0	0.58	1.0
theta[1,49]	-1.2	0.011	0.5	-2.1	-1.2	-0.45	1934.0	0.92	1.0
theta[2,49]	-0.12	0.016	0.95	-1.8	-0.072	1.4	3693.0	1.8	1.0
theta[3,49]	0.12	0.016	0.86	-1.3	0.15	1.5	3013.0	1.4	1.0
theta[4,49]	0.00041	0.015	0.99	-1.6	0.0038	1.6	4136.0	2.0	1.0
theta[5,49]	1.7	0.013	0.64	0.64	1.6	2.7	2558.0	1.2	1.0
theta[6,49]	-0.43	0.015	0.86	-1.9	-0.42	0.96	3258.0	1.5	1.0
theta[7,49]	-0.27	0.015	0.86	-1.8	-0.22	1.1	3274.0	1.6	1.0
theta[8,49]	-0.47	0.011	0.57	-1.4	-0.45	0.43	2879.0	1.4	1.0
theta[9,49]	-0.13	0.015	0.91	-1.7	-0.092	1.3	3739.0	1.8	1.0
theta[10,49]	-0.14	0.016	0.97	-1.8	-0.12	1.5	3734.0	1.8	1.0
theta[11,49]	-0.17	0.015	0.98	-1.7	-0.18	1.4	4192.0	2.0	1.0
theta[1,50]	-0.31	0.007	0.34	-0.88	-0.29	0.22	2293.0	1.1	1.0
theta[2,50]	1.9	0.011	0.54	1.0	1.9	2.8	2382.0	1.1	1.0
theta[3,50]	-0.42	0.014	0.83	-1.8	-0.39	0.88	3360.0	1.6	1.0
theta[4,50]	-0.48	0.015	0.94	-2.1	-0.44	1.0	3757.0	1.8	1.0
theta[5,50]	0.67	0.01	0.57	-0.24	0.65	1.6	2977.0	1.4	1.0
theta[6,50]	-0.9	0.013	0.77	-2.2	-0.87	0.3	3498.0	1.7	1.0
theta[7,50]	-0.67	0.014	0.81	-2.1	-0.62	0.58	3457.0	1.6	1.0
theta[8,50]	1.1	0.012	0.69	0.027	1.1	2.3	3610.0	1.7	1.0
theta[9,50]	1.0	0.01	0.51	0.11	1.0	1.8	2363.0	1.1	1.0
