k1,k2,sk,lb,ub,pval
43,15,0.876138,0.846995,0.912568,0.3405
43,16,0.89071,0.854281,0.916211,0.68275
43,17,0.89071,0.857923,0.919854,0.5605
43,18,0.853952,0.821306,0.886598,0.527
43,19,0.869416,0.843643,0.905498,0.33775
43,20,0.798969,0.75945,0.833333,0.55675
43,21,0.876289,0.840206,0.900344,0.6345
43,22,0.879725,0.848797,0.910653,0.46175
43,23,0.845361,0.810997,0.876289,0.52825
43,24,0.898625,0.860825,0.920962,0.7565
43,25,0.436426,0.402062,0.501718,0.2845
43,26,0.350515,0.314433,0.412371,0.28675
43,27,0.530928,0.496564,0.59622,0.25325
43,28,0.510309,0.486254,0.587629,0.13325
43,29,0.754296,0.719931,0.800687,0.36675
43,30,0.843643,0.805842,0.876289,0.5075
43,31,0.78866,0.75945,0.833333,0.33375
43,32,0.702749,0.654639,0.745704,0.52075
43,33,0.805842,0.773196,0.847079,0.38825
43,34,0.87457,0.845361,0.907216,0.4595
43,35,0.831615,0.804124,0.872852,0.332
43,36,0.817869,0.783505,0.85567,0.443
43,37,0.749141,0.704467,0.785223,0.63875
43,38,0.642612,0.601375,0.690722,0.46
43,39,0.56701,0.549828,0.642612,0.106
43,40,0.725086,0.683849,0.768041,0.43475
43,41,0.908935,0.828179,0.893471,0.99925
43,42,0.853952,0.762887,0.83677,0.9985
44,0,0.594502,0.54811,0.639175,0.559
44,1,0.458763,0.417526,0.508591,0.4075
44,2,0.666667,0.627148,0.709622,0.438
44,3,0.797251,0.766323,0.841924,0.40375
44,4,0.912371,0.87457,0.93299,0.69025
44,5,0.678694,0.623711,0.709622,0.67425
44,6,0.786942,0.735395,0.809278,0.72125
44,7,0.931271,0.891753,0.946735,0.779
44,8,0.372852,0.321306,0.42268,0.49875
44,9,0.761168,0.714777,0.800687,0.51425
44,10,0.66323,0.606529,0.702749,0.59075
44,11,0.883162,0.848797,0.910653,0.56275
44,12,0.905498,0.867698,0.927835,0.67975
44,13,0.920962,0.883162,0.941581,0.6365
44,14,0.799636,0.76867,0.843352,0.3265
44,15,0.921676,0.89071,0.947177,0.50575
44,16,0.921676,0.887067,0.943534,0.6525
44,17,0.928962,0.897996,0.952641,0.54625
44,18,0.883162,0.847079,0.912371,0.60825
44,19,0.912371,0.87457,0.93299,0.67525
44,20,0.783505,0.752577,0.829897,0.319
44,21,0.88488,0.852234,0.914089,0.49575
44,22,0.908935,0.881443,0.938144,0.3845
44,23,0.860825,0.824742,0.891753,0.534
44,24,0.924399,0.891753,0.946735,0.6115
44,25,0.407216,0.367698,0.467354,0.342
44,26,0.310997,0.280069,0.37457,0.26275
44,27,0.505155,0.472509,0.575601,0.2145
44,28,0.498282,0.469072,0.572165,0.177
44,29,0.749141,0.713058,0.797251,0.31925
44,30,0.865979,0.831615,0.900344,0.47075
44,31,0.817869,0.766323,0.841924,0.74
44,32,0.690722,0.64433,0.738832,0.4725
44,33,0.831615,0.78866,0.860825,0.643
44,34,0.914089,0.87457,0.93299,0.7365
44,35,0.853952,0.823024,0.890034,0.43
44,36,0.83677,0.797251,0.872852,0.502
44,37,0.733677,0.676976,0.75945,0.72975
44,38,0.623711,0.573883,0.668385,0.49075
44,39,0.558419,0.522337,0.61512,0.34575
44,40,0.719931,0.67354,0.757732,0.63975
44,41,0.900344,0.845361,0.908935,0.90075
44,42,0.835052,0.766323,0.843643,0.9425
44,43,0.905498,0.833333,0.896907,0.9955
45,0,0.620275,0.560137,0.652921,0.69475
45,1,0.484536,0.438144,0.530928,0.4935
45,2,0.675258,0.64433,0.728522,0.25575
45,3,0.795533,0.771478,0.843643,0.26725
45,4,0.890034,0.860825,0.920962,0.4335
45,5,0.687285,0.642612,0.726804,0.542
45,6,0.78866,0.750859,0.823024,0.52875
45,7,0.908935,0.876289,0.93299,0.54475
45,8,0.388316,0.33677,0.439863,0.499
45,9,0.769759,0.716495,0.800687,0.6745
45,10,0.671821,0.613402,0.707904,0.6135
45,11,0.871134,0.845361,0.905498,0.40425
45,12,0.886598,0.857388,0.915808,0.45125
45,13,0.902062,0.871134,0.929553,0.51575
45,14,0.819672,0.774135,0.846995,0.6555
45,15,0.905282,0.872495,0.932605,0.505
45,16,0.897996,0.870674,0.930783,0.381
45,17,0.912568,0.879781,0.938069,0.557
45,18,0.867698,0.835052,0.900344,0.4775
45,19,0.893471,0.864261,0.92268,0.48625
45,20,0.809278,0.764605,0.83677,0.717
45,21,0.890034,0.850515,0.910653,0.70925
45,22,0.907216,0.871134,0.927835,0.6735
45,23,0.85567,0.819588,0.886598,0.512
45,24,0.905498,0.878007,0.934708,0.448
45,25,0.429553,0.383162,0.484536,0.4125
45,26,0.343643,0.298969,0.395189,0.47325
45,27,0.530928,0.489691,0.591065,0.3855
45,28,0.510309,0.4811,0.582474,0.20025
45,29,0.757732,0.719931,0.802405,0.39725
45,30,0.867698,0.821306,0.890034,0.706
45,31,0.802405,0.768041,0.841924,0.4655
45,32,0.682131,0.651203,0.742268,0.23075
45,33,0.809278,0.785223,0.857388,0.26275
45,34,0.891753,0.860825,0.920962,0.44925
45,35,0.848797,0.814433,0.883162,0.43525
45,36,0.838488,0.797251,0.869416,0.639
45,37,0.731959,0.690722,0.773196,0.44525
45,38,0.628866,0.591065,0.683849,0.38325
45,39,0.57732,0.536082,0.632302,0.3765
45,40,0.725086,0.683849,0.764605,0.52475
45,41,0.88488,0.840206,0.902062,0.74475
45,42,0.809278,0.768041,0.841924,0.56825
45,43,0.869416,0.828179,0.891753,0.657
45,44,0.88488,0.845361,0.907216,0.60875
46,0,0.587629,0.542955,0.634021,0.45725
46,1,0.45189,0.414089,0.505155,0.4155
46,2,0.666667,0.632302,0.714777,0.38025
46,3,0.814433,0.776632,0.850515,0.49725
46,4,0.93299,0.895189,0.948454,0.7705
46,5,0.678694,0.630584,0.716495,0.59725
46,6,0.793814,0.747423,0.821306,0.6565
46,7,0.938144,0.917526,0.962199,0.44025
46,8,0.365979,0.310997,0.414089,0.512
46,9,0.774914,0.730241,0.814433,0.5805
46,10,0.666667,0.609966,0.706186,0.5585
46,11,0.907216,0.869416,0.926117,0.71775
46,12,0.915808,0.891753,0.945017,0.47075
46,13,0.941581,0.908935,0.958763,0.685
46,14,0.82878,0.783242,0.857923,0.66575
46,15,0.939891,0.91439,0.96357,0.4615
46,16,0.936248,0.908925,0.958106,0.5295
46,17,0.95082,0.921676,0.969035,0.61625
46,18,0.900344,0.865979,0.926117,0.61475
46,19,0.926117,0.898625,0.950172,0.55775
46,20,0.800687,0.766323,0.841924,0.4085
46,21,0.902062,0.872852,0.929553,0.4515
46,22,0.939863,0.905498,0.955326,0.721
46,23,0.891753,0.841924,0.907216,0.841
46,24,0.945017,0.915808,0.962199,0.6515
46,25,0.396907,0.359107,0.458763,0.31625
46,26,0.30756,0.266323,0.362543,0.386
46,27,0.52921,0.472509,0.57732,0.5625
46,28,0.5189,0.465636,0.572165,0.451
46,29,0.762887,0.725086,0.809278,0.3845
46,30,0.890034,0.850515,0.914089,0.65225
46,31,0.824742,0.780069,0.85567,0.63025
46,32,0.694158,0.647766,0.742268,0.42825
46,33,0.845361,0.798969,0.872852,0.62775
46,34,0.924399,0.896907,0.948454,0.531
46,35,0.878007,0.838488,0.90378,0.60275
46,36,0.857388,0.816151,0.886598,0.627
46,37,0.74055,0.680412,0.764605,0.72375
46,38,0.630584,0.575601,0.670103,0.55675
46,39,0.54811,0.517182,0.613402,0.22425
46,40,0.716495,0.675258,0.761168,0.4595
46,41,0.896907,0.869416,0.927835,0.47925
46,42,0.821306,0.778351,0.853952,0.572
46,43,0.88488,0.847079,0.908935,0.61275
46,44,0.910653,0.879725,0.936426,0.559
46,45,0.929553,0.865979,0.924399,0.98925
47,0,0.639175,0.616838,0.701031,0.21425
47,1,0.609966,0.56701,0.658076,0.406
47,2,0.690722,0.652921,0.737113,0.395
47,3,0.71134,0.640893,0.726804,0.87025
47,4,0.658076,0.618557,0.709622,0.359
47,5,0.678694,0.640893,0.723368,0.44025
47,6,0.701031,0.659794,0.742268,0.471
47,7,0.67354,0.621993,0.713058,0.5955
47,8,0.506873,0.465636,0.560137,0.3855
47,9,0.64433,0.597938,0.685567,0.50775
47,10,0.608247,0.585911,0.671821,0.15475
47,11,0.676976,0.630584,0.719931,0.50325
47,12,0.654639,0.62543,0.714777,0.2495
47,13,0.652921,0.613402,0.706186,0.32925
47,14,0.675774,0.639344,0.726776,0.358
47,15,0.655738,0.608379,0.703097,0.47325
47,16,0.659381,0.615665,0.710383,0.40775
47,17,0.655738,0.613843,0.708561,0.4505
47,18,0.66323,0.618557,0.707904,0.496
47,19,0.661512,0.616838,0.709622,0.3925
47,20,0.690722,0.640893,0.725086,0.635
47,21,0.678694,0.640893,0.730241,0.4005
47,22,0.658076,0.621993,0.713058,0.35375
47,23,0.678694,0.628866,0.718213,0.561
47,24,0.670103,0.618557,0.71134,0.54225
47,25,0.54811,0.513746,0.608247,0.32
47,26,0.517182,0.467354,0.563574,0.52225
47,27,0.597938,0.539519,0.628866,0.73325
47,28,0.580756,0.517182,0.608247,0.73175
47,29,0.646048,0.621993,0.707904,0.2015
47,30,0.656357,0.616838,0.706186,0.40625
47,31,0.676976,0.618557,0.706186,0.70525
47,32,0.618557,0.606529,0.69244,0.09025
47,33,0.649485,0.618557,0.706186,0.272
47,34,0.670103,0.621993,0.713058,0.519
47,35,0.682131,0.62543,0.714777,0.72625
47,36,0.685567,0.61512,0.706186,0.8385
47,37,0.74055,0.651203,0.733677,0.99075
47,38,0.661512,0.59622,0.682131,0.8365
47,39,0.678694,0.592784,0.678694,0.9725
47,40,0.664948,0.634021,0.718213,0.28875
47,41,0.652921,0.630584,0.719931,0.1615
47,42,0.642612,0.623711,0.71134,0.0985
47,43,0.678694,0.642612,0.728522,0.3625
47,44,0.66323,0.620275,0.71134,0.43975
47,45,0.69244,0.632302,0.721649,0.715
