item,subject,response,y_hat,y_pred,loo,ku
0,1090,1.0,0.605,0.595686,-0.570739,0.173735
0,1092,0.0,0.26575,0.735173,-0.339508,0.063826
0,1094,1.0,0.3875,0.389379,-1.094048,0.198412
0,1095,0.0,0.036,0.965416,-0.037038,0.140192
0,1096,1.0,0.73375,0.73204,-0.334764,0.132453
0,1097,1.0,0.475,0.481488,-0.822465,0.240892
0,1098,0.0,0.05225,0.947044,-0.058067,-0.0054
0,1100,1.0,0.705,0.70797,-0.373592,0.111458
0,1101,0.0,0.106,0.890107,-0.126528,0.035539
0,1102,0.0,0.25175,0.755224,-0.310211,0.153505
0,1104,1.0,0.98575,0.988858,-0.011317,0.117948
0,1105,1.0,0.8425,0.836172,-0.189061,0.157582
0,1106,0.0,0.08475,0.904844,-0.108457,0.100314
0,1107,0.0,0.23075,0.773673,-0.27921,0.104659
0,1108,1.0,0.55725,0.552311,-0.66635,0.137059
0,1110,1.0,0.7795,0.789621,-0.251994,0.086055
0,1111,0.0,0.06675,0.936933,-0.069946,0.216148
0,1112,0.0,0.0835,0.916411,-0.09374,0.0473
0,1113,0.0,0.5105,0.487955,-0.80244,0.168137
0,1114,1.0,0.9885,0.986414,-0.013831,0.113778
0,1115,1.0,0.90725,0.915894,-0.091048,0.156908
0,1116,0.0,0.03425,0.965093,-0.037672,0.111068
0,1117,0.0,0.15725,0.827942,-0.207565,0.123168
0,1118,1.0,0.391,0.395249,-1.074443,0.364064
0,1119,0.0,0.12875,0.870019,-0.151741,0.055341
0,1120,0.0,0.398,0.592217,-0.584494,0.215719
0,1121,0.0,0.05475,0.942906,-0.062734,0.070955
0,1122,1.0,0.83575,0.837528,-0.186379,0.10881
0,1123,1.0,0.58125,0.583507,-0.594326,0.252756
0,1124,1.0,0.27275,0.271654,-1.582476,0.250182
0,1125,1.0,0.2115,0.216037,-1.889805,0.242688
0,1126,0.0,0.27675,0.734793,-0.34037,0.041285
0,1127,0.0,0.24775,0.754665,-0.312543,0.150159
0,1128,1.0,0.6,0.601504,-0.559754,0.071948
0,1129,0.0,0.06525,0.935383,-0.071128,0.0307
0,1130,0.0,0.28775,0.71766,-0.365408,0.128169
0,1131,0.0,0.32,0.687609,-0.412569,0.135342
0,1132,0.0,0.10325,0.894877,-0.120299,0.107974
0,1133,0.0,0.05,0.943167,-0.062656,0.175921
0,1134,1.0,0.4745,0.471351,-0.839002,0.176222
0,1135,1.0,0.73125,0.733607,-0.331996,0.217425
0,1136,0.0,0.0675,0.930334,-0.076939,0.058803
0,1138,1.0,0.14925,0.157032,-2.402817,0.31734
0,1139,0.0,0.20575,0.798909,-0.246149,0.103399
0,1140,1.0,0.94725,0.951463,-0.051179,-0.022395
0,1141,0.0,0.05625,0.947261,-0.057488,-0.071394
0,1142,0.0,0.1435,0.855047,-0.171688,-0.012706
0,1144,1.0,0.69925,0.699153,-0.386716,0.152114
0,1145,0.0,0.5935,0.412033,-0.995294,0.021326
0,1146,0.0,0.666,0.32843,-1.253868,0.110538
0,1148,0.0,0.06325,0.94286,-0.062875,0.022444
0,1149,0.0,0.491,0.508406,-0.753424,-0.031287
0,1150,1.0,0.45325,0.452178,-0.895171,0.251923
0,1151,0.0,0.439,0.554177,-0.656698,0.128105
0,1152,1.0,0.93225,0.932161,-0.072798,0.275154
