	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[244,2]	-0.34	0.0065	0.54	-1.2	-0.35	0.58	6871.0	13.0	1.0
theta[245,2]	0.67	0.0069	0.59	-0.3	0.66	1.6	7269.0	14.0	1.0
theta[246,2]	0.95	0.0072	0.6	-0.0068	0.93	2.0	7028.0	14.0	1.0
theta[247,2]	0.77	0.0066	0.58	-0.15	0.76	1.7	7531.0	15.0	1.0
theta[248,2]	0.027	0.0074	0.59	-0.93	0.013	1.0	6457.0	13.0	1.0
theta[249,2]	0.17	0.0071	0.58	-0.74	0.15	1.1	6615.0	13.0	1.0
theta[250,2]	0.03	0.0065	0.53	-0.83	0.03	0.91	6770.0	13.0	1.0
theta[251,2]	1.4	0.0067	0.61	0.42	1.3	2.4	8292.0	16.0	1.0
theta[252,2]	0.37	0.0065	0.56	-0.52	0.35	1.3	7383.0	15.0	1.0
theta[253,2]	1.9	0.0084	0.72	0.76	1.9	3.2	7486.0	15.0	1.0
theta[254,2]	-0.16	0.0071	0.54	-1.1	-0.16	0.72	5856.0	12.0	1.0
theta[255,2]	-0.11	0.006	0.53	-0.98	-0.12	0.76	7671.0	15.0	1.0
theta[256,2]	-0.2	0.0061	0.55	-1.1	-0.2	0.71	8063.0	16.0	1.0
theta[257,2]	-0.033	0.0064	0.56	-0.94	-0.032	0.86	7726.0	15.0	1.0
theta[258,2]	-1.6	0.0074	0.64	-2.7	-1.5	-0.6	7421.0	15.0	1.0
theta[259,2]	-0.025	0.0063	0.54	-0.88	-0.036	0.89	7474.0	15.0	1.0
theta[260,2]	-0.84	0.0087	0.75	-2.1	-0.81	0.36	7433.0	15.0	1.0
theta[261,2]	-0.55	0.0066	0.54	-1.4	-0.56	0.35	6763.0	13.0	1.0
theta[262,2]	-0.13	0.0066	0.55	-1.0	-0.13	0.78	6839.0	13.0	1.0
theta[263,2]	-0.97	0.0065	0.55	-1.9	-0.95	-0.092	6957.0	14.0	1.0
theta[264,2]	-0.82	0.0067	0.55	-1.8	-0.81	0.059	6919.0	14.0	1.0
theta[265,2]	-0.95	0.0081	0.68	-2.1	-0.91	0.1	6897.0	14.0	1.0
theta[266,2]	-1.2	0.0079	0.66	-2.3	-1.1	-0.13	7057.0	14.0	1.0
theta[267,2]	0.71	0.0071	0.58	-0.23	0.7	1.7	6733.0	13.0	1.0
theta[268,2]	-0.0049	0.0066	0.53	-0.86	-0.01	0.9	6574.0	13.0	1.0
theta[269,2]	-0.86	0.0087	0.75	-2.1	-0.83	0.33	7402.0	15.0	1.0
theta[270,2]	0.81	0.0077	0.63	-0.2	0.79	1.9	6666.0	13.0	1.0
theta[271,2]	0.69	0.007	0.58	-0.25	0.67	1.7	6963.0	14.0	1.0
theta[272,2]	0.66	0.007	0.57	-0.27	0.65	1.6	6565.0	13.0	1.0
theta[273,2]	1.1	0.0076	0.59	0.21	1.1	2.2	5978.0	12.0	1.0
theta[274,2]	1.0	0.0072	0.61	0.062	1.0	2.1	7061.0	14.0	1.0
theta[275,2]	1.8	0.0088	0.74	0.58	1.8	3.0	7028.0	14.0	1.0
theta[276,2]	-0.67	0.0069	0.56	-1.6	-0.69	0.26	6521.0	13.0	1.0
theta[277,2]	-0.43	0.0073	0.61	-1.5	-0.4	0.52	7005.0	14.0	1.0
theta[278,2]	0.011	0.0066	0.55	-0.89	0.00054	0.93	7084.0	14.0	1.0
theta[279,2]	-0.76	0.0089	0.78	-2.1	-0.76	0.46	7789.0	15.0	1.0
theta[280,2]	-0.65	0.0068	0.54	-1.5	-0.65	0.26	6238.0	12.0	1.0
theta[281,2]	-0.6	0.0072	0.56	-1.5	-0.61	0.34	5940.0	12.0	1.0
theta[282,2]	-0.093	0.0079	0.64	-1.2	-0.08	0.94	6394.0	13.0	1.0
theta[283,2]	0.77	0.0067	0.6	-0.19	0.76	1.8	8003.0	16.0	1.0
theta[284,2]	0.2	0.0065	0.56	-0.73	0.19	1.1	7393.0	15.0	1.0
theta[285,2]	-1.0	0.0081	0.65	-2.2	-1.0	-0.023	6412.0	13.0	1.0
theta[286,2]	0.45	0.0075	0.6	-0.51	0.43	1.5	6481.0	13.0	1.0
theta[287,2]	0.83	0.0075	0.68	-0.25	0.81	2.0	8269.0	16.0	1.0
theta[288,2]	1.4	0.0082	0.75	0.16	1.4	2.6	8280.0	16.0	1.0
theta[289,2]	0.45	0.0068	0.58	-0.48	0.43	1.5	7267.0	14.0	1.0
theta[290,2]	0.51	0.008	0.69	-0.58	0.49	1.7	7309.0	14.0	1.0
theta[291,2]	0.049	0.0061	0.54	-0.8	0.038	0.95	7689.0	15.0	1.0
theta[292,2]	-0.78	0.0085	0.74	-2.1	-0.74	0.39	7573.0	15.0	1.0
theta[293,2]	-0.76	0.0089	0.77	-2.1	-0.73	0.46	7355.0	14.0	1.0
theta[294,2]	0.32	0.0065	0.53	-0.51	0.31	1.2	6589.0	13.0	1.0
theta[295,2]	-0.88	0.009	0.75	-2.2	-0.84	0.28	6895.0	14.0	1.0
theta[296,2]	-1.1	0.0085	0.72	-2.3	-1.1	0.047	7159.0	14.0	1.0
theta[297,2]	0.35	0.0066	0.57	-0.59	0.34	1.3	7456.0	15.0	1.0
theta[298,2]	0.72	0.0069	0.56	-0.19	0.71	1.7	6617.0	13.0	1.0
theta[299,2]	-0.76	0.0094	0.75	-2.1	-0.73	0.41	6429.0	13.0	1.0
theta[300,2]	-0.37	0.0073	0.55	-1.3	-0.39	0.51	5652.0	11.0	1.0
theta[301,2]	0.82	0.0069	0.6	-0.13	0.8	1.8	7552.0	15.0	1.0
theta[302,2]	0.4	0.0073	0.63	-0.57	0.39	1.4	7465.0	15.0	1.0
theta[303,2]	-0.71	0.0062	0.54	-1.6	-0.7	0.16	7694.0	15.0	1.0
theta[304,2]	0.35	0.0069	0.59	-0.57	0.34	1.3	7176.0	14.0	1.0
theta[305,2]	0.17	0.0069	0.57	-0.8	0.17	1.1	6883.0	14.0	1.0
theta[306,2]	0.33	0.0065	0.58	-0.59	0.31	1.3	7853.0	15.0	1.0
theta[307,2]	-0.76	0.0073	0.58	-1.7	-0.74	0.2	6272.0	12.0	1.0
theta[308,2]	-0.29	0.0064	0.54	-1.2	-0.28	0.57	7162.0	14.0	1.0
theta[309,2]	-0.84	0.0089	0.75	-2.2	-0.81	0.33	7135.0	14.0	1.0
theta[310,2]	1.2	0.0073	0.64	0.14	1.1	2.3	7611.0	15.0	1.0
theta[311,2]	0.6	0.007	0.62	-0.39	0.59	1.6	7834.0	15.0	1.0
theta[312,2]	0.25	0.0065	0.61	-0.74	0.22	1.3	8762.0	17.0	1.0
theta[313,2]	-1.3	0.0063	0.58	-2.3	-1.3	-0.39	8429.0	17.0	1.0
theta[314,2]	0.032	0.007	0.59	-0.9	0.019	1.0	7144.0	14.0	1.0
theta[315,2]	0.78	0.0069	0.58	-0.13	0.77	1.8	6890.0	14.0	1.0
theta[316,2]	0.56	0.0069	0.56	-0.34	0.55	1.5	6552.0	13.0	1.0
theta[317,2]	-0.93	0.007	0.58	-1.9	-0.91	-0.016	6702.0	13.0	1.0
theta[318,2]	-0.44	0.0063	0.55	-1.4	-0.42	0.44	7641.0	15.0	1.0
theta[319,2]	0.32	0.0073	0.61	-0.64	0.29	1.4	7189.0	14.0	1.0
theta[320,2]	1.5	0.0074	0.62	0.47	1.4	2.5	7028.0	14.0	1.0
theta[321,2]	-0.12	0.0065	0.61	-1.1	-0.14	0.95	8920.0	18.0	1.0
theta[322,2]	-0.038	0.006	0.53	-0.9	-0.05	0.84	7799.0	15.0	1.0
theta[323,2]	0.56	0.0086	0.6	-0.42	0.55	1.5	4865.0	9.6	1.0
theta[324,2]	-0.76	0.0089	0.76	-2.1	-0.71	0.39	7172.0	14.0	1.0
theta[325,2]	0.14	0.0065	0.56	-0.77	0.14	1.1	7460.0	15.0	1.0
theta[326,2]	0.23	0.0066	0.54	-0.66	0.23	1.1	6708.0	13.0	1.0
theta[327,2]	0.78	0.0071	0.64	-0.23	0.77	1.9	7978.0	16.0	1.0
theta[328,2]	-0.77	0.0088	0.77	-2.1	-0.73	0.41	7665.0	15.0	1.0
theta[329,2]	0.064	0.0072	0.61	-0.89	0.054	1.1	7090.0	14.0	1.0
theta[330,2]	1.3	0.0077	0.66	0.29	1.3	2.5	7513.0	15.0	1.0
theta[331,2]	-1.5	0.0074	0.65	-2.7	-1.5	-0.53	7807.0	15.0	1.0
theta[332,2]	1.1	0.0071	0.61	0.17	1.1	2.1	7244.0	14.0	1.0
theta[333,2]	0.049	0.0066	0.57	-0.85	0.034	1.0	7384.0	15.0	1.0
theta[334,2]	0.76	0.0074	0.64	-0.26	0.76	1.8	7603.0	15.0	1.0
theta[335,2]	-0.11	0.0061	0.56	-1.0	-0.11	0.81	8342.0	16.0	1.0
theta[336,2]	-1.7	0.0071	0.58	-2.7	-1.7	-0.8	6693.0	13.0	1.0
theta[337,2]	0.35	0.0064	0.56	-0.54	0.33	1.3	7641.0	15.0	1.0
theta[338,2]	0.13	0.0069	0.56	-0.78	0.11	1.1	6659.0	13.0	1.0
theta[339,2]	-0.56	0.0063	0.55	-1.4	-0.56	0.33	7431.0	15.0	1.0
theta[340,2]	0.72	0.0067	0.6	-0.23	0.71	1.8	8004.0	16.0	1.0
theta[341,2]	0.47	0.0076	0.64	-0.54	0.46	1.5	7074.0	14.0	1.0
theta[342,2]	0.59	0.0067	0.59	-0.34	0.58	1.6	7593.0	15.0	1.0
theta[343,2]	0.15	0.0072	0.58	-0.75	0.13	1.2	6547.0	13.0	1.0
theta[344,2]	0.34	0.0068	0.56	-0.57	0.33	1.3	6683.0	13.0	1.0
theta[345,2]	-0.72	0.0065	0.54	-1.6	-0.72	0.16	6945.0	14.0	1.0
theta[346,2]	0.93	0.0069	0.6	-0.029	0.92	1.9	7621.0	15.0	1.0
theta[347,2]	-0.88	0.0097	0.72	-2.1	-0.84	0.24	5598.0	11.0	1.0
theta[348,2]	1.0	0.0071	0.6	0.05	1.0	2.0	7160.0	14.0	1.0
theta[349,2]	0.96	0.0073	0.59	-0.00016	0.96	1.9	6400.0	13.0	1.0
theta[350,2]	0.13	0.0065	0.56	-0.77	0.12	1.1	7533.0	15.0	1.0
theta[351,2]	0.067	0.0063	0.54	-0.8	0.058	0.98	7538.0	15.0	1.0
theta[352,2]	-0.016	0.0069	0.55	-0.94	-0.021	0.91	6378.0	13.0	1.0
theta[353,2]	0.56	0.0077	0.6	-0.43	0.56	1.5	5946.0	12.0	1.0
theta[354,2]	0.36	0.0071	0.55	-0.53	0.36	1.3	6086.0	12.0	1.0
theta[355,2]	-0.45	0.0091	0.7	-1.7	-0.42	0.66	6038.0	12.0	1.0
theta[356,2]	-0.9	0.0093	0.76	-2.3	-0.85	0.3	6792.0	13.0	1.0
theta[357,2]	0.62	0.0075	0.6	-0.32	0.6	1.6	6418.0	13.0	1.0
theta[358,2]	1.0	0.0069	0.59	0.064	1.0	2.0	7377.0	14.0	1.0
theta[359,2]	0.36	0.0071	0.57	-0.55	0.34	1.3	6612.0	13.0	1.0
theta[360,2]	-0.22	0.0071	0.58	-1.2	-0.23	0.74	6693.0	13.0	1.0
theta[361,2]	-0.39	0.0067	0.54	-1.3	-0.39	0.5	6713.0	13.0	1.0
theta[362,2]	-1.1	0.0082	0.7	-2.4	-1.1	-0.054	7353.0	14.0	1.0
theta[363,2]	-1.0	0.0061	0.53	-1.9	-1.0	-0.17	7456.0	15.0	1.0
theta[364,2]	-1.7	0.0074	0.62	-2.8	-1.7	-0.78	7166.0	14.0	1.0
theta[365,2]	-0.77	0.0093	0.76	-2.0	-0.74	0.43	6639.0	13.0	1.0
theta[366,2]	0.12	0.0068	0.57	-0.8	0.1	1.1	7081.0	14.0	1.0
theta[367,2]	0.43	0.0068	0.6	-0.53	0.41	1.4	7715.0	15.0	1.0
theta[368,2]	0.47	0.0066	0.54	-0.39	0.46	1.4	6747.0	13.0	1.0
theta[369,2]	-0.77	0.0094	0.79	-2.1	-0.72	0.48	6996.0	14.0	1.0
theta[370,2]	0.12	0.0072	0.55	-0.79	0.12	1.0	5923.0	12.0	1.0
theta[371,2]	0.073	0.0076	0.66	-1.0	0.055	1.2	7562.0	15.0	1.0
theta[372,2]	0.36	0.0071	0.59	-0.58	0.34	1.4	7009.0	14.0	1.0
