item,subject,response,y_hat,y_pred,loo,ku
0,1111,0.0,0.06275,0.93812,-0.06836,0.108874
0,1112,0.0,0.08825,0.916213,-0.094283,0.047258
0,1113,0.0,0.5205,0.475858,-0.837572,0.299792
0,1114,1.0,0.98675,0.986049,-0.014206,0.08428
0,1115,1.0,0.90225,0.911225,-0.096855,0.122047
0,1116,0.0,0.037,0.965441,-0.037081,0.162473
0,1117,0.0,0.1565,0.838832,-0.192434,0.183719
0,1118,1.0,0.4125,0.410879,-1.028945,0.325465
0,1119,0.0,0.132,0.869943,-0.152297,0.16462
0,1120,0.0,0.379,0.610503,-0.54996,0.083593
0,1121,0.0,0.05425,0.942964,-0.062699,0.119221
0,1122,1.0,0.822,0.826742,-0.201427,0.233408
0,1123,1.0,0.57,0.58037,-0.604174,0.174793
0,1124,1.0,0.2685,0.265855,-1.597993,0.273449
0,1125,1.0,0.22375,0.223119,-1.848503,0.207421
0,1126,0.0,0.29375,0.716996,-0.370482,0.085176
0,1127,0.0,0.23975,0.768223,-0.290197,0.213764
0,1128,1.0,0.56475,0.56469,-0.6428,0.268502
0,1129,0.0,0.06875,0.932348,-0.075093,0.045132
0,1130,0.0,0.294,0.706894,-0.381727,0.193427
0,1131,0.0,0.33075,0.674473,-0.440449,0.169995
0,1132,0.0,0.109,0.890111,-0.126203,0.070745
0,1133,0.0,0.054,0.942419,-0.063387,-0.053311
0,1134,1.0,0.4995,0.491413,-0.800229,0.260467
0,1135,1.0,0.73125,0.740403,-0.321985,0.205934
0,1136,0.0,0.07375,0.928427,-0.079441,-0.08758
0,1138,1.0,0.1595,0.159442,-2.362191,0.064398
0,1139,0.0,0.2165,0.78974,-0.260107,0.125245
0,1140,1.0,0.95025,0.950527,-0.052192,0.077622
0,1141,0.0,0.05425,0.944754,-0.060622,0.101474
0,1142,0.0,0.14075,0.853859,-0.172378,0.131776
0,1144,1.0,0.69675,0.697863,-0.388273,0.074855
0,1145,0.0,0.58225,0.418537,-0.982228,0.183098
0,1146,0.0,0.657,0.337371,-1.217707,0.18728
0,1148,0.0,0.05525,0.944028,-0.061321,0.006656
0,1149,0.0,0.48025,0.522304,-0.725192,0.173713
0,1150,1.0,0.446,0.446801,-0.914407,0.2177
0,1151,0.0,0.45475,0.540829,-0.684849,0.127767
0,1152,1.0,0.92825,0.93247,-0.072475,0.020968
0,1153,0.0,0.76925,0.230054,-1.681316,0.272528
0,1154,1.0,0.97875,0.977118,-0.023464,-0.062771
0,1155,1.0,0.467,0.462178,-0.879601,0.286818
0,1156,0.0,0.0835,0.917907,-0.09193,0.058745
0,1157,0.0,0.066,0.933799,-0.0736,0.192299
0,1158,0.0,0.6065,0.396619,-1.052751,0.15733
