sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
39,13,16,26,31,27,32,30,32,35,32,37,28,34,21,20,17,14,14,14,16,15,22,9,5,9,2,9,3,7,3,5,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
40,4,21,32,33,30,33,25,31,24,32,27,28,31,20,23,24,24,21,9,16,6,13,15,8,10,7,5,4,8,3,3,3,2,2,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
41,8,19,29,21,34,40,39,25,37,25,30,22,26,26,27,18,12,16,11,22,14,13,11,9,11,6,6,5,4,5,2,1,2,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,12,17,36,27,37,35,28,30,37,21,24,33,21,17,21,25,21,20,17,10,14,8,7,14,8,5,5,5,6,5,1,3,3,2,2,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
43,13,21,26,31,26,29,25,33,29,36,31,22,31,25,33,16,24,18,16,12,6,6,9,8,10,6,11,5,3,6,3,3,3,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,14,17,24,41,31,35,30,27,32,26,34,18,25,27,11,17,20,18,17,22,13,12,11,11,7,8,7,10,4,1,3,4,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,7,20,24,27,36,34,27,31,31,29,30,25,27,24,32,21,19,23,13,15,14,7,6,9,13,4,11,5,0,3,0,5,1,1,2,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,14,18,29,34,41,35,29,33,26,25,23,23,20,19,23,26,16,16,18,16,18,11,9,12,6,4,9,6,5,6,1,3,4,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
47,12,24,27,31,26,30,38,37,33,24,33,20,30,22,19,10,20,13,26,11,22,12,9,8,9,11,1,3,3,3,4,0,5,2,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,16,30,33,26,33,30,22,36,37,25,28,24,22,17,20,20,17,14,13,18,13,11,13,7,11,5,2,8,11,3,2,4,1,2,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,11,21,23,26,33,30,32,30,30,28,29,21,32,35,12,28,17,20,12,19,18,9,13,11,9,5,3,5,3,4,3,0,4,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,10,24,32,33,22,28,32,17,30,33,28,25,28,23,30,19,21,17,20,19,12,15,10,5,15,6,6,3,2,6,2,3,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
51,12,20,16,31,43,32,36,27,36,27,21,18,27,20,21,30,20,17,7,14,19,15,11,10,4,7,9,5,7,3,1,4,6,0,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
52,17,18,32,30,34,30,26,34,26,26,30,27,25,23,25,16,17,16,16,16,12,16,22,9,6,3,6,6,0,6,1,2,2,0,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,12,16,29,32,36,36,25,26,33,23,30,29,32,22,20,22,13,16,15,20,15,13,10,8,6,9,9,3,1,4,4,3,4,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11,23,25,33,29,37,26,30,29,38,24,25,21,26,13,17,14,27,20,23,10,11,10,10,9,6,5,6,4,2,1,3,2,3,3,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
55,11,13,28,39,25,36,36,31,31,22,34,25,20,23,26,12,15,19,18,14,17,19,15,8,13,4,4,1,3,1,5,2,3,0,2,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,15,16,26,31,32,31,30,33,24,43,32,23,29,22,16,18,22,22,11,17,17,13,6,8,8,8,6,6,0,6,2,1,0,0,0,1,0,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
57,14,24,32,22,36,25,33,28,26,24,31,30,21,30,12,23,23,15,14,18,14,19,11,7,8,7,10,2,2,6,3,5,4,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,15,31,25,23,23,32,34,21,42,25,22,36,26,23,18,23,19,18,18,15,11,12,12,7,9,8,6,9,4,2,2,2,2,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,9,23,29,27,26,32,32,24,37,25,31,35,20,25,15,28,22,17,17,12,18,11,13,8,7,11,4,6,3,0,6,1,1,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
