name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,483]	0.32	0.00345	0.26	-0.12	0.329	0.743	5687.0	5.63	1.0
theta[2,483]	0.016	0.00639	0.507	-0.852	0.0259	0.815	6292.0	6.23	1.0
theta[3,483]	-0.701	0.009	0.7	-1.96	-0.636	0.306	6039.0	5.98	1.0
theta[1,484]	-1.2	0.00664	0.488	-2.06	-1.17	-0.462	5397.0	5.35	1.0
theta[2,484]	-0.295	0.0084	0.667	-1.39	-0.284	0.786	6301.0	6.24	0.999
theta[3,484]	-0.193	0.0105	0.884	-1.69	-0.151	1.21	7121.0	7.05	0.999
theta[1,485]	-1.42	0.00738	0.506	-2.31	-1.38	-0.641	4691.0	4.65	0.999
theta[2,485]	-0.916	0.00954	0.776	-2.25	-0.88	0.315	6613.0	6.55	1.0
theta[3,485]	1.47	0.00896	0.62	0.402	1.49	2.44	4797.0	4.75	0.999
theta[1,486]	1.16	0.00426	0.27	0.713	1.16	1.59	4025.0	3.99	1.0
theta[2,486]	1.93	0.00713	0.579	1.01	1.9	2.93	6599.0	6.54	0.999
theta[3,486]	-0.175	0.00572	0.448	-0.903	-0.166	0.549	6123.0	6.06	0.999
theta[1,487]	-0.134	0.00432	0.313	-0.668	-0.121	0.365	5254.0	5.2	1.0
theta[2,487]	-1.44	0.00799	0.671	-2.56	-1.42	-0.371	7059.0	6.99	0.999
theta[3,487]	-0.519	0.00993	0.775	-1.89	-0.453	0.642	6079.0	6.02	1.0
theta[1,488]	0.634	0.00379	0.259	0.198	0.639	1.05	4655.0	4.61	1.0
theta[2,488]	1.61	0.00614	0.506	0.774	1.6	2.46	6810.0	6.74	1.0
theta[3,488]	0.0539	0.0061	0.463	-0.725	0.0739	0.77	5767.0	5.71	1.0
theta[1,489]	0.418	0.00364	0.258	-0.0144	0.424	0.835	5003.0	4.96	1.0
theta[2,489]	0.488	0.00554	0.477	-0.298	0.491	1.26	7418.0	7.35	0.999
theta[3,489]	-0.751	0.00845	0.684	-1.99	-0.706	0.27	6549.0	6.49	1.0
