name	Mean	MCSE	StdDev	5%	50%	95%	N_Eff	N_Eff/s	R_hat
theta[1,157]	0.506	0.00532	0.298	0.0209	0.503	0.996	3152.0	0.554	1.0
theta[2,157]	0.0499	0.00957	0.628	-1.06	0.0893	1.01	4309.0	0.758	1.0
theta[3,157]	0.954	0.0105	0.764	-0.26	0.932	2.27	5277.0	0.928	0.999
theta[4,157]	-0.443	0.0113	0.846	-1.94	-0.405	0.895	5631.0	0.99	0.999
theta[5,157]	0.715	0.00937	0.589	-0.219	0.706	1.7	3953.0	0.695	1.0
theta[6,157]	-0.659	0.0107	0.673	-1.75	-0.665	0.445	3937.0	0.692	1.0
theta[7,157]	-0.791	0.0103	0.742	-2.07	-0.761	0.367	5143.0	0.904	0.999
theta[8,157]	0.0419	0.00869	0.612	-0.916	0.0191	1.11	4955.0	0.871	1.0
theta[9,157]	0.796	0.00778	0.451	0.0128	0.812	1.5	3356.0	0.59	1.0
theta[10,157]	-0.52	0.0108	0.77	-1.86	-0.473	0.656	5108.0	0.898	1.0
theta[11,157]	-0.0269	0.0131	1.05	-1.77	-0.0251	1.75	6503.0	1.14	1.0
theta[1,158]	0.0259	0.00512	0.315	-0.503	0.0282	0.544	3782.0	0.665	1.0
theta[2,158]	-0.34	0.0116	0.807	-1.73	-0.303	0.888	4827.0	0.849	0.999
theta[3,158]	1.07	0.0106	0.764	-0.142	1.05	2.37	5239.0	0.921	1.0
theta[4,158]	-0.149	0.0112	0.894	-1.67	-0.113	1.27	6352.0	1.12	1.0
theta[5,158]	0.792	0.00829	0.559	-0.102	0.78	1.73	4542.0	0.798	1.0
theta[6,158]	0.632	0.0111	0.724	-0.523	0.612	1.87	4245.0	0.746	1.0
theta[7,158]	-0.629	0.012	0.763	-1.99	-0.573	0.531	4055.0	0.713	1.0
theta[8,158]	0.832	0.00909	0.683	-0.216	0.802	2.01	5647.0	0.993	1.0
theta[9,158]	-0.354	0.0117	0.818	-1.77	-0.301	0.88	4880.0	0.858	1.0
theta[10,158]	-0.348	0.0121	0.848	-1.84	-0.282	0.944	4939.0	0.868	0.999
theta[11,158]	4.56e-05	0.012	0.956	-1.54	0.00282	1.51	6391.0	1.12	0.999
theta[1,159]	0.196	0.00594	0.318	-0.331	0.199	0.707	2871.0	0.505	1.0
theta[2,159]	-0.467	0.0118	0.789	-1.85	-0.421	0.752	4484.0	0.788	1.0
theta[3,159]	-0.119	0.0149	0.777	-1.41	-0.0985	1.13	2701.0	0.475	1.0
theta[4,159]	-0.228	0.0123	0.874	-1.7	-0.189	1.18	5012.0	0.881	1.0
theta[5,159]	-0.0468	0.00752	0.531	-0.895	-0.0568	0.83	4989.0	0.877	0.999
theta[6,159]	0.784	0.0112	0.764	-0.451	0.766	2.09	4617.0	0.812	1.0
theta[7,159]	-0.676	0.0107	0.753	-1.97	-0.613	0.443	4943.0	0.869	1.0
theta[8,159]	0.773	0.00993	0.702	-0.307	0.721	2.0	4993.0	0.878	0.999
theta[9,159]	-0.328	0.0111	0.76	-1.66	-0.288	0.82	4697.0	0.826	1.0
theta[10,159]	-0.401	0.0109	0.811	-1.82	-0.35	0.853	5534.0	0.973	1.0
theta[11,159]	-0.000389	0.0139	1.03	-1.71	0.00789	1.67	5507.0	0.968	1.0
theta[1,160]	0.242	0.00529	0.302	-0.255	0.248	0.741	3248.0	0.571	1.0
theta[2,160]	-0.466	0.0112	0.783	-1.84	-0.427	0.747	4891.0	0.86	1.0
theta[3,160]	-0.226	0.0161	0.764	-1.48	-0.234	1.0	2236.0	0.393	1.0
theta[4,160]	-0.273	0.0115	0.864	-1.78	-0.238	1.07	5689.0	1.0	0.999
theta[5,160]	1.11	0.00855	0.614	0.141	1.09	2.15	5163.0	0.908	0.999
theta[6,160]	-1.06	0.011	0.701	-2.24	-1.04	0.0678	4022.0	0.707	1.0
theta[7,160]	0.385	0.00863	0.543	-0.553	0.412	1.22	3952.0	0.695	1.0
theta[8,160]	0.253	0.00881	0.611	-0.698	0.222	1.31	4819.0	0.847	1.0
theta[9,160]	-0.436	0.0113	0.799	-1.85	-0.389	0.781	4966.0	0.873	1.0
theta[10,160]	-0.367	0.0106	0.796	-1.77	-0.321	0.851	5657.0	0.995	1.0
theta[11,160]	0.484	0.0185	0.957	-1.12	0.521	2.02	2677.0	0.471	1.0
theta[1,161]	1.15	0.0053	0.303	0.649	1.14	1.65	3270.0	0.575	1.0
theta[2,161]	1.2	0.00887	0.571	0.308	1.16	2.21	4149.0	0.729	1.0
theta[3,161]	-0.347	0.0154	0.752	-1.57	-0.353	0.889	2386.0	0.42	1.0
theta[4,161]	1.24	0.0109	0.671	0.155	1.22	2.36	3775.0	0.664	1.0
theta[5,161]	-1.05	0.00817	0.52	-1.91	-1.04	-0.215	4046.0	0.711	1.0
theta[6,161]	0.498	0.0119	0.875	-0.868	0.45	1.97	5390.0	0.948	1.0
theta[7,161]	0.705	0.00667	0.459	-0.0428	0.694	1.46	4741.0	0.833	1.0
theta[8,161]	0.347	0.00964	0.708	-0.754	0.306	1.56	5394.0	0.948	1.0
theta[9,161]	-0.649	0.0111	0.742	-1.98	-0.569	0.439	4438.0	0.78	1.0
theta[10,161]	-0.782	0.0102	0.697	-2.02	-0.718	0.253	4682.0	0.823	0.999
theta[11,161]	0.0502	0.0129	1.02	-1.64	0.0611	1.71	6218.0	1.09	1.0
theta[1,162]	-0.456	0.00542	0.363	-1.06	-0.442	0.108	4482.0	0.788	1.0
theta[2,162]	0.544	0.0111	0.719	-0.746	0.608	1.61	4196.0	0.738	1.0
theta[3,162]	0.439	0.0178	0.812	-0.937	0.461	1.75	2090.0	0.367	1.01
theta[4,162]	-0.226	0.0128	0.936	-1.82	-0.203	1.27	5381.0	0.946	0.999
theta[5,162]	-0.964	0.00986	0.653	-2.11	-0.916	0.0175	4383.0	0.771	1.0
theta[6,162]	0.254	0.017	0.735	-0.947	0.255	1.46	1870.0	0.329	1.0
theta[7,162]	-0.402	0.0119	0.8	-1.81	-0.338	0.82	4523.0	0.795	1.0
theta[8,162]	0.468	0.00849	0.593	-0.446	0.444	1.48	4876.0	0.857	1.0
theta[9,162]	-0.22	0.0118	0.858	-1.73	-0.161	1.11	5308.0	0.933	1.0
theta[10,162]	-0.169	0.0125	0.872	-1.66	-0.131	1.18	4857.0	0.854	0.999
theta[11,162]	-0.0476	0.0121	0.963	-1.69	-0.0182	1.51	6311.0	1.11	0.999
theta[1,163]	0.859	0.00503	0.297	0.384	0.853	1.35	3490.0	0.614	1.0
theta[2,163]	-0.0797	0.00908	0.619	-1.13	-0.0467	0.887	4643.0	0.816	1.0
theta[3,163]	0.491	0.0107	0.742	-0.684	0.464	1.75	4817.0	0.847	0.999
theta[4,163]	-0.59	0.0113	0.821	-2.01	-0.55	0.727	5234.0	0.92	0.999
theta[5,163]	0.115	0.00831	0.538	-0.739	0.102	1.03	4190.0	0.737	1.0
theta[6,163]	0.506	0.0131	0.863	-0.821	0.447	1.98	4359.0	0.766	1.0
theta[7,163]	-0.871	0.0108	0.705	-2.14	-0.803	0.193	4290.0	0.754	1.0
theta[8,163]	0.509	0.0101	0.712	-0.613	0.481	1.72	4942.0	0.869	1.0
theta[9,163]	-0.576	0.0126	0.764	-1.92	-0.492	0.542	3658.0	0.643	1.0
theta[10,163]	-0.659	0.0105	0.724	-1.92	-0.606	0.46	4760.0	0.837	1.0
theta[11,163]	-0.0138	0.0123	1.0	-1.63	-0.0167	1.61	6613.0	1.16	1.0
theta[1,164]	0.634	0.00477	0.279	0.172	0.638	1.09	3416.0	0.6	1.0
theta[2,164]	-0.0574	0.00936	0.634	-1.19	-0.0101	0.921	4593.0	0.808	0.999
theta[3,164]	-0.014	0.0214	0.777	-1.28	0.00104	1.24	1317.0	0.232	1.01
theta[4,164]	0.721	0.0114	0.693	-0.464	0.746	1.79	3689.0	0.649	1.0
theta[5,164]	-0.414	0.00683	0.507	-1.23	-0.414	0.425	5502.0	0.967	1.0
theta[6,164]	-0.528	0.011	0.69	-1.64	-0.544	0.666	3967.0	0.698	1.0
theta[7,164]	-0.837	0.00967	0.725	-2.07	-0.772	0.242	5625.0	0.989	0.999
theta[8,164]	0.639	0.00953	0.709	-0.46	0.601	1.87	5535.0	0.973	1.0
theta[9,164]	0.986	0.00588	0.397	0.33	0.992	1.63	4572.0	0.804	1.0
theta[10,164]	-0.181	0.0105	0.688	-1.42	-0.131	0.838	4311.0	0.758	1.0
theta[11,164]	0.00735	0.0131	0.995	-1.58	-0.000558	1.61	5786.0	1.02	1.0
theta[1,165]	-1.86	0.00948	0.625	-2.94	-1.82	-0.91	4348.0	0.764	0.999
theta[2,165]	-0.103	0.0125	1.0	-1.81	-0.0914	1.54	6421.0	1.13	0.999
theta[3,165]	-0.128	0.0114	0.892	-1.61	-0.116	1.3	6079.0	1.07	1.0
theta[4,165]	-0.0674	0.0131	0.996	-1.72	-0.0644	1.55	5788.0	1.02	1.0
theta[5,165]	-0.633	0.0104	0.728	-1.88	-0.592	0.468	4874.0	0.857	0.999
theta[6,165]	-0.0799	0.0115	0.918	-1.63	-0.0413	1.39	6414.0	1.13	0.999
theta[7,165]	-0.0181	0.0115	0.874	-1.56	0.0324	1.33	5810.0	1.02	1.0
theta[8,165]	-0.754	0.011	0.744	-2.07	-0.691	0.37	4572.0	0.804	0.999
theta[9,165]	-0.0496	0.0121	0.948	-1.67	-0.0303	1.47	6136.0	1.08	0.999
theta[10,165]	-0.0256	0.0119	0.965	-1.64	-0.0157	1.55	6533.0	1.15	0.999
theta[11,165]	-0.0191	0.0129	0.999	-1.63	-0.0299	1.62	5984.0	1.05	1.0
