k1,k2,stat,lb,ub,pval
26,25,0.047155,0.016825,0.050527,0.946
27,0,0.009328,-0.015078,0.016864,0.84975
27,1,0.007505,-0.014134,0.017324,0.7575
27,2,-0.002562,-0.012157,0.016258,0.331
27,3,0.008059,-0.011298,0.015546,0.81825
27,4,0.000273,-0.007574,0.007217,0.51175
27,5,-0.004025,-0.014166,0.015912,0.25175
27,6,-0.014975,-0.012021,0.014138,0.0075
27,7,-0.001022,-0.005684,0.005886,0.299
27,8,0.001515,-0.015304,0.019734,0.48525
27,9,-0.012946,-0.015802,0.015868,0.05
27,10,-0.018573,-0.015177,0.017866,0.01075
27,11,0.008459,-0.009456,0.009967,0.961
27,12,-0.007351,-0.008154,0.007839,0.04125
27,13,-0.00741,-0.006495,0.005664,0.01175
27,14,-0.020621,-0.022479,0.021985,0.03325
27,15,0.000476,-0.010996,0.011869,0.53675
27,16,0.003241,-0.014903,0.013256,0.694
27,17,0.003622,-0.01214,0.010423,0.771
27,18,-0.004182,-0.010382,0.009679,0.22125
27,19,-0.000457,-0.007298,0.007432,0.43475
27,20,0.002072,-0.012934,0.014142,0.61725
27,21,0.003789,-0.008344,0.009309,0.744
27,22,-0.000114,-0.006535,0.007025,0.421
27,23,-0.002334,-0.011143,0.010323,0.35875
27,24,-0.00411,-0.005525,0.005879,0.06425
27,25,0.016876,0.010656,0.045936,0.1
27,26,0.031114,0.007437,0.038726,0.8565
28,0,0.007944,-0.015692,0.016682,0.7905
28,1,0.030496,-0.015945,0.017057,0.99975
28,2,-0.000936,-0.013296,0.01563,0.43025
28,3,0.017649,-0.011862,0.014613,0.9935
28,4,0.001714,-0.007304,0.00833,0.66175
28,5,-0.004062,-0.014879,0.015399,0.277
28,6,-0.008621,-0.0132,0.013208,0.09025
28,7,-0.001902,-0.005878,0.005702,0.243
28,8,-0.009364,-0.01786,0.017433,0.14275
28,9,-0.00256,-0.01506,0.015695,0.36125
28,10,-0.011494,-0.017085,0.017323,0.086
28,11,0.008666,-0.009992,0.010193,0.95925
28,12,-0.006674,-0.00799,0.008473,0.05425
28,13,-0.00785,-0.006751,0.006235,0.011
28,14,-0.023945,-0.020288,0.022653,0.0165
28,15,-0.002355,-0.011631,0.012207,0.3065
28,16,0.002232,-0.014556,0.014348,0.635
28,17,-0.000902,-0.012729,0.01048,0.474
28,18,-0.008024,-0.010174,0.010357,0.052
28,19,-0.007157,-0.007541,0.007553,0.03325
28,20,0.000403,-0.012531,0.015315,0.492
